操作ID,主消息,子消息,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Param14,Param15,Param16,Param17,Param18
1,6,1,[1+0+1],[1+0+101],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+0],,,,,,,
2,6,2,[1+0+1],[1+0+101],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
3,6,1,[1+0+1],[1+0+102],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],,,,,,,
4,6,2,[1+0+1],[1+0+102],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
5,6,1,[1+0+1],[1+0+103],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],,,,,,,
6,6,2,[1+0+1],[1+0+103],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
7,10,1,[1+0+3],[1+0+1],,,,,,,,,,,,,,,,
8,4,1,[1+0+0],,,,,,,,,,,,,,,,,
9,10,2,[1+0+3],,,,,,,,,,,,,,,,,
10,6,1,[1+0+1],[1+0+104],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],,,,,,,
11,6,2,[1+0+1],[1+0+104],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
12,4,3,[1+0+1000],[1+0+1],,,,,,,,,,,,,,,,
13,4,5,[1+0+10000],[1+0+4],[1+0+1000004],[1+0+1],[1+0+1000001],[1+0+2],[1+0+1000002],[1+0+3],[1+0+1000003],[1+0+4],,,,,,,,
14,6,1,[1+0+1],[1+0+105],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],,,,,,,
15,6,2,[1+0+1],[1+0+105],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
16,6,1,[1+0+1],[1+0+106],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],,,,,,,
17,6,2,[1+0+1],[1+0+106],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
18,10,1,[1+0+6],[1+0+1],,,,,,,,,,,,,,,,
19,6,1,[1+0+101],[1+0+10101],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],,,,,,,
20,6,2,[1+0+101],[1+0+10101],[1+0+1],[1+0+1500],[1+0+10000],[1+0+10200],[1+0+30600],[1+0+30300],[1+0+0],[1+0+0],[1+0+0],[1+0+0],[1+0+89],[1+0+0],[1+0+97],[1+0+5],,
21,10,1,[1+0+501],[1+0+1],,,,,,,,,,,,,,,,
22,6,3,[1+0+101],[1+0+10101],[1+0+2],,,,,,,,,,,,,,,
23,4,4,[1+0+10000],,,,,,,,,,,,,,,,,
24,4,6,[1+0+10000],[1+0+2],,,,,,,,,,,,,,,,
25,2,2,[2+4+123],,,,,,,,,,,,,,,,,
26,20,1,[1+0+1],,,,,,,,,,,,,,,,,
27,7,1,[1+2+0],[1+0+1],[1+0+1500],[1+0+2],[1+0+10000],[1+0+10200],,,,,,,,,,,,
28,7,2,[1+0+100],,,,,,,,,,,,,,,,,
29,7,3,,,,,,,,,,,,,,,,,,
30,8,1,[1+0+0],[1+0+1],[1+1+0],[1+0+0],[1+0+0],[1+0+0],[1+0+0],,,,,,,,,,,
