楼层数,关卡士兵等级上限,关卡士兵等级下限,关卡士兵等级系数,本楼层备选的关卡ID,战斗事件发生的位置,战斗后的宝箱掉落
代表第几层,本关怪物和Boss的等级上限,本关怪物和Boss的等级下限,在基数的基础上增加的具体数值  敌等级=玩家当前等级+该系数,本层用到的关卡库,0.左 1 右,对应掉落ID
ID,MaxLevel,BasicLevel,EXLevel,StageID,Place,Event
index,int,int,int,json,int,int
1,20,20,0,[120010+120011+120012],0,0
2,25,25,0,[120020+120021+120022],1,120001
3,30,30,0,[120030+120031+120032],0,0
4,35,35,0,[120040+120041+120042],1,120002
5,40,40,0,[120050+120051+120052],0,120003
6,45,45,0,[120010+120011+120012],1,0
7,55,55,0,[120020+120021+120022],0,120004
8,65,65,0,[120030+120031+120032],1,0
9,75,75,0,[120040+120041+120042],0,120005
10,85,85,0,[120050+120051+120052],1,120006
