宝箱ID,策划描述,宝箱类别,宝箱T级,宝箱品质,宝箱出现等级上下限,宝箱出现权值,宝箱名,宝箱描述,宝箱关闭图标,宝箱开启图标,掉落ID
,,1普通2活动-1初始竞技场宝箱,7个等级,5个品质,,,对应语言包ID,对应语言包ID,,,对应道具掉落表
Arena_ChestID,Null,Arena_ChestType,Arena_ChestLevel,Arena_ChestQuality,Arena_ChestAppearLevel,Arena_ChestWeight,Arena_ChestName,Arena_ChestDesc,Arena_ChestIcon1,Arena_ChestIcon2,Arena_ChestDrop
int,null,int,int,int,json,int,int,int,string,string,int
1,,-1,1,1,[1+1],0,2130,2131,,,50101
2,,-1,1,2,[1+1],0,2132,2133,,,50102
3,,-1,1,3,[1+1],0,2134,2135,,,50103
4,,-1,1,4,[1+1],0,2136,2137,,,50104
5,,-1,1,1,[1+1],0,2130,2131,,,50105
6,,1,1,1,[1+14],5500,2130,2131,,,51001
7,,1,1,2,[1+14],3500,2132,2133,,,51002
8,,1,1,3,[1+14],1000,2134,2135,,,51003
9,,1,1,1,[15+29],5500,2130,2131,,,51101
10,,1,1,2,[15+29],3500,2132,2133,,,51102
11,,1,1,3,[15+29],1000,2134,2135,,,51103
12,,1,1,1,[30+100],5500,2130,2131,,,51201
13,,1,1,2,[30+100],3500,2132,2133,,,51202
14,,1,1,3,[30+100],1000,2134,2135,,,51203
15,,1,2,1,[1+14],5500,2130,2131,,,52001
16,,1,2,2,[1+14],3500,2132,2133,,,52002
17,,1,2,3,[1+14],1000,2134,2135,,,52003
18,,1,2,1,[15+29],5500,2130,2131,,,52101
19,,1,2,2,[15+29],3500,2132,2133,,,52102
20,,1,2,3,[15+29],1000,2134,2135,,,52103
21,,1,2,1,[30+44],5500,2130,2131,,,52201
22,,1,2,2,[30+44],3500,2132,2133,,,52202
23,,1,2,3,[30+44],1000,2134,2135,,,52203
24,,1,2,1,[45+100],5500,2130,2131,,,52301
25,,1,2,2,[45+100],3500,2132,2133,,,52302
26,,1,2,3,[45+100],1000,2134,2135,,,52303
27,,1,3,1,[1+14],5300,2130,2131,,,53001
28,,1,3,2,[1+14],3500,2132,2133,,,53002
29,,1,3,3,[1+14],500,2134,2135,,,53003
30,,1,3,4,[1+14],100,2136,2137,,,53004
31,,1,3,3,[1+14],500,2134,2135,,,53013
32,,1,3,4,[1+14],100,2136,2137,,,53014
33,,1,3,1,[15+29],5300,2130,2131,,,53101
34,,1,3,2,[15+29],3500,2132,2133,,,53102
35,,1,3,3,[15+29],500,2134,2135,,,53103
36,,1,3,4,[15+29],100,2136,2137,,,53104
37,,1,3,3,[15+29],500,2134,2135,,,53113
38,,1,3,4,[15+29],100,2136,2137,,,53114
39,,1,3,1,[30+44],5300,2130,2131,,,53201
40,,1,3,2,[30+44],3500,2132,2133,,,53202
41,,1,3,3,[30+44],500,2134,2135,,,53203
42,,1,3,4,[30+44],100,2136,2137,,,53204
43,,1,3,3,[30+44],500,2134,2135,,,53213
44,,1,3,4,[30+44],100,2136,2137,,,53214
45,,1,3,1,[45+100],5300,2130,2131,,,53301
46,,1,3,2,[45+100],3500,2132,2133,,,53302
47,,1,3,3,[45+100],500,2134,2135,,,53303
48,,1,3,4,[45+100],100,2136,2137,,,53304
49,,1,3,3,[45+100],500,2134,2135,,,53313
50,,1,3,4,[45+100],100,2136,2137,,,53314
51,,1,4,1,[1+14],5300,2130,2131,,,54001
52,,1,4,2,[1+14],1750,2132,2133,,,54002
53,,1,4,3,[1+14],500,2134,2135,,,54003
54,,1,4,4,[1+14],100,2136,2137,,,54004
55,,1,4,2,[1+14],1750,2132,2133,,,54012
56,,1,4,3,[1+14],500,2134,2135,,,54013
57,,1,4,4,[1+14],100,2136,2137,,,54014
58,,1,4,1,[15+29],5300,2130,2131,,,54101
59,,1,4,2,[15+29],1750,2132,2133,,,54102
60,,1,4,3,[15+29],500,2134,2135,,,54103
61,,1,4,4,[15+29],100,2136,2137,,,54104
62,,1,4,2,[15+29],1750,2132,2133,,,54112
63,,1,4,3,[15+29],500,2134,2135,,,54113
64,,1,4,4,[15+29],100,2136,2137,,,54114
65,,1,4,1,[30+44],5300,2130,2131,,,54201
66,,1,4,2,[30+44],1750,2132,2133,,,54202
67,,1,4,3,[30+44],500,2134,2135,,,54203
68,,1,4,4,[30+44],100,2136,2137,,,54204
69,,1,4,2,[30+44],1750,2132,2133,,,54212
70,,1,4,3,[30+44],500,2134,2135,,,54213
71,,1,4,4,[30+44],100,2136,2137,,,54214
72,,1,4,1,[45+100],5300,2130,2131,,,54301
73,,1,4,2,[45+100],1750,2132,2133,,,54302
74,,1,4,3,[45+100],500,2134,2135,,,54303
75,,1,4,4,[45+100],100,2136,2137,,,54304
76,,1,4,2,[45+100],1750,2132,2133,,,54312
77,,1,4,3,[45+100],500,2134,2135,,,54313
78,,1,4,4,[45+100],100,2136,2137,,,54314
79,,1,5,1,[1+14],5300,2130,2131,,,55001
80,,1,5,2,[1+14],1750,2132,2133,,,55002
81,,1,5,3,[1+14],500,2134,2135,,,55003
82,,1,5,4,[1+14],100,2136,2137,,,55004
83,,1,5,2,[1+14],1750,2132,2133,,,55012
84,,1,5,3,[1+14],500,2134,2135,,,55013
85,,1,5,4,[1+14],100,2136,2137,,,55014
86,,1,5,1,[15+29],5300,2130,2131,,,55101
87,,1,5,2,[15+29],1750,2132,2133,,,55102
88,,1,5,3,[15+29],500,2134,2135,,,55103
89,,1,5,4,[15+29],100,2136,2137,,,55104
90,,1,5,2,[15+29],1750,2132,2133,,,55112
91,,1,5,3,[15+29],500,2134,2135,,,55113
92,,1,5,4,[15+29],100,2136,2137,,,55114
93,,1,5,1,[30+44],5300,2130,2131,,,55201
94,,1,5,2,[30+44],1750,2132,2133,,,55202
95,,1,5,3,[30+44],500,2134,2135,,,55203
