,描述,动画文件,动画标签,动画生命周期,播放速率,是否循环,缩放,Zorder作用域,Zorder值,偏移量,色相饱和度明度,动画第1帧开始是否淡入,动画最后1帧是否淡出,音乐ID,播放速度影响因素
主键,通用效果不能随便乱加,csb文件的名称,动画文件下面的动画标签名,动画的最大播放时间（0代表永久毫秒）,播放加速或减速,0不正循负美决,[X缩放+Y缩放],0本地1全局2继承,请查看策划目录下的配置说明,[X+Y],[H+S+V],(0或空为不淡入)参数为毫秒,(0或空为不淡出)参数为毫秒,,0无1攻击速度影响2移动速度影响3回蓝速度影响。
Animation_ID,null,Animation_Name,Animation_Label,Animation_LifeTime,Animation_Speed,Animation_Loop,Animation_Scale,Animation_IsGlobalZorder,Animation_Zorder,Animation_Offset,Animation_AddColor,Animation_IsFadeInTime,Animation_IsFadeOutTime,Animation_AudioID,Animation_SpeedParam
index,null,string,string,int,float,int,json,int,int,json,json,int,int,int,int
1,通用击退(移动中心点为基点),203,Dust_Buff,0,1,0,[1.4+1.4],0,1,[0+-20],[],0,200,0,0
2,通用禁锢(移动中心点为基点),406,Block_Buff,0,1,1,[1.4+1.4],0,1,[0+-20],[],0,0,0,0
3,通用眩晕(头部为基点),203,Vertigo,0,1,1,[1.4+0.8],0,1,[0+0],[],0,0,0,0
4,通用流血(移动中心点为基点),405,Blood_Buff,0,1.5,1,[1.2+1.0],0,1,[0+0],[],0,100,0,0
5,通用护盾(被击点为基点),414,GeneralShield,0,1,1,[0.9+1.0],0,1,[0+0],[],0,100,0,0
6,通用护盾碎裂(被击点为基点),415,GeneralShield_Break,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
7,通用出生状态,201,Born_Buff,0,1.6,0,[1.0+1.0],0,3,[0+0],[],0,100,0,0
8,通用嗜血（boss用）,423,vampire_buff,0,1,1,[0.75+0.75],0,1,[0+0],[],0,100,0,0
9,通用嗜血,423,vampire_buff,0,1,1,[0.75+0.75],0,1,[0+0],[],0,100,0,0
10,通用燃烧(移动中心点为基点),201,Burning_Buff,0,1,1,[3.4+3.4],0,1,[0+0],[],0,100,0,0
11,通用减速(移动中心点为基点),202,SlowDown,0,1,1,[1.5+1.5],0,1,[0+80],[],0,100,0,0
12,通用武器命中(被击点为基点),203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[202+0],1
13,冰冻(移动中心点为基点),202,IceBlock,0,1,1,[1.3+1.3],0,-1,[0+0],[],800,0,0,0
14,冰冻底座(移动中心点为基点),202,IceBlock_d,0,1,1,[1.0+1.1],0,-100,[0+30],[],500,0,0,0
15,冰块碎裂上(移动中心点为基点),202,IceBlock_Death1,0,1,0,[1.3+1.3],0,3,[0+0],[],0,5001,0,0
16,冰块碎裂下(移动中心点为基点),202,IceBlock_Death1_u,0,1,0,[1.3+1.3],0,-100,[0+0],[],0,5001,0,0
17,冰块碎裂底座(移动中心点为基点),202,IceBlock_Death1_d,0,1,0,[1.0+1.1],0,-1,[0+0],[],0,5001,0,0
18,爆金币1,416,Gold_Hit1,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
19,爆金币2,416,Gold_Hit2,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
20,爆金币3,416,Gold_Hit3,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
21,爆金币4,416,Gold_Hit4,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
22,爆金币5,416,Gold_Hit5,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
23,爆金币6,416,Gold_Hit6,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
24,爆金币7,416,Gold_Hit7,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
25,爆金币8,416,Gold_Hit8,0,1,0,[1.0+1.0],0,3,[0+0],[],50,150,[220+0],0
26,爆金币9,416,Gold_Hit5,0,1,0,[1.5+1.5],0,3,[0+0],[],50,150,[220+0],0
27,爆金币10,416,Gold_Hit2,0,1,0,[2.0+2.0],0,3,[0+0],[],50,150,[220+0],0
28,爆金币11,416,Gold_Hit3,0,1,0,[2.0+2.0],0,3,[0+0],[],50,150,[220+0],0
29,爆金币12,416,Gold_Hit1,0,1,0,[1.5+1.5],0,3,[0+0],[],50,150,[220+0],0
30,魔攻光环,201,Hero_Export_Buff2,0,1,1,[1.2+1.2],0,-100,[-8+6],[],500,0,0,0
31,回蓝光环,201,Hero_Recover_Buff1,0,1,1,[0.95+0.95],0,-100,[4+10],[],500,0,0,0
32,暴击光环,201,Hero_Export_Buff1,0,1,1,[0.75+0.75],0,-100,[-10+15],[],500,0,0,0
33,坚韧光环,201,Hero_Defend_DeBuff2,0,1,1,[0.8+0.8],0,-100,[-5+15],[],500,0,0,0
34,加物攻光环,201,Hero_Attack_Buff1,0,1,1,[1.05+1.05],0,-100,[0+15],[],500,0,0,0
35,减双免伤,201,Soldier_Export_Buff1,0,1,1,[0.95+0.95],0,-100,[-5+0],[],500,0,0,0
36,护甲光环,201,Hero_Defend_Buff1,0,1,1,[0.95+0.95],0,-100,[0+0],[],500,0,0,0
37,闪避光环,201,Soldier_Defend_Buff4,0,1,1,[0.95+0.95],0,-100,[0+0],[],500,0,0,0
38,双抗光环,201,Soldier_Defend_Buff3,0,1,1,[0.95+0.95],0,-100,[0+0],[],500,0,0,0
39,魔抗光环,201,Soldier_Defend_Buff2,0,1,1,[0.95+0.95],0,-100,[0+0],[],500,0,0,0
40,回血光环,201,Hero_Recover_Buff2,0,1,1,[0.95+0.95],0,-100,[0+0],[],500,0,0,0
41,通用失败消失状态,201,Lose1,0,1,0,[5.0+5.0],0,500,[60+0],[],0,100,0,0
42,通用失败消失状态,201,Lose1,0,0.85,0,[4.0+4.0],0,500,[170+-80],[],400,100,0,0
43,通用失败消失状态,201,Lose1,0,0.7,0,[3.5+3.5],0,500,[-170+-120],[],800,100,0,0
44,通用失败消失状态,201,Lose1,0,0.85,0,[3.5+3.5],0,500,[100+-80],[],400,100,0,0
45,通用失败消失状态,201,Lose1,0,0.7,0,[5.0+5.0],0,500,[-60+-40],[],800,100,0,0
50,人族-通用光环,201,Hero_Recover_Buff4,0,1,1,[1.2+1.2],0,-100,[4+10],[],500,0,0,0
51,亡灵-通用光环,201,Soldier_Export_Buff1,0,1,1,[0.95+0.95],0,-100,[-5+0],[],500,0,0,0
52,亡灵-恐惧光环灭,201,Hero_Attack_Buff4,0,1,1,[0.75+0.75],0,-100,[-10+15],[],500,0,0,0
60,攻击加强BUFF,401,Attack_Enhanced,0,1,0,[1.2+1.2],0,1,[0+10],[],0,100,0,0
61,暴击加强BUFF,410,CriticalRate_Enhanced,0,1,0,[1.2+1.2],0,1,[0+40],[],0,100,0,0
62,防御加强BUFF,411,Defense_Enhanced,0,1,0,[1.2+1.2],0,1,[0+10],[],0,100,0,0
63,移速加强BUFF,418,MoveSpeed_Enhanced,0,1,0,[1.2+1.2],0,1,[0+10],[],0,100,0,0
64,通用加速(移动中心点为基点),201,Hero_Speed_Buff1,0,1,1,[1.0+1.0],0,-1,[0+10],[],0,100,0,0
72,减甲,412,Defense_reduction,0,1,1,[1.0+1.0],0,1,[0+10],[],0,100,0,0
103,通用匕首命中(被击点为基点),203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[203+0],1
104,通用双手重武器命中(被击点为基点),203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[204+0],1
105,通用弓箭命中(被击点为基点),203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[205+0],1
106,通用命中无声,203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,0,1
107,通用命中熊掌,203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[206+0],1
108,骷髅专用出生,201,Born_buff,0,1.6,0,[1.7+1.7],0,3,[0+0],[],0,100,0,0
109,死灵族通用复活特效,451,Reborn1,0,1,1,[1.5+1.5],0,3,[0+-20],[],0,100,0,0
1001,火法的火球,1006,1000_Skill1_FireBullet,0,2,1,[0.8+0.8],0,3,[0+0],[],0,100,0,0
1002,火法的火球命中,1005,1000_Skill1_Hit,0,1,0,[1.5+1.5],0,3,[0+0],[],0,100,[1002+0],0
1003,火法的火雨子弹,1004,FireRain,0,1,1,[1.5+1.5],0,1,[0+0],[],0,0,0,0
1004,火法的火雨子弹结束,1004,FireRain_Hit,0,0.7,0,[1.5+1.0],0,-1000,[0+0],[],0,500,0,0
1005,火焰残骸身后,1003,504100_HitBuff,7000,1,1,[1.8+1.8],0,-1,[0+0],[],1000,800,0,0
1006,火焰残骸身中,1003,504100_HitBuff,7000,1,1,[1.8+1.8],0,1,[0+0],[],1000,800,0,0
1007,火焰残骸身前,1003,504100_HitBuff,7000,1,1,[1.8+1.8],0,3,[0+0],[],1000,800,0,0
1008,火法的火雨命中,1005,1000_Skill1_Hit,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1009,火法的火雨子弹,1004,FireRain,0,1,1,[1.5+1.5],0,1,[0+0],[],0,0,0,0
1010,火法的火雨命中,1005,1000_Skill1_Hit,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1090,火法2技能特效,1001,1000_Skill2_Hit8,3000,1,1,[1.0+1.0],0,3,[0+0],[],0,100,0,0
1091,火法3技能特效,1001,1000_Skill3_Hit8,3950,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1092,火法4技能特效,1001,1000_Skill4_Hit8,3950,1,0,[1.0+1.0],0,3,[0+0],[],0,100,0,0
1101,冰法冰弹子弹,1103,1100_Skill1_IceBullet,0,1,1,[1.0+1.8],0,3,[60+0],[],0,0,0,0
1102,冰弹命中表现,1102,1100_Skill1_Hit,0,1,0,[1.5+1.5],0,3,[0+0],[],0,0,[1102+100],0
1103,暴风雪子弹,1105,1100_Skill3_IceRainzidan,0,0.8,0,[0.5+1.0],0,3,[-700+400],[],0,0,0,0
1104,暴风雪子弹结束表现,1104,1100_Skill3_IceRain,0,0.8,0,[1.0+1.0],0,-1,[0+0],[],0,1500,0,0
1105,暴风雪子弹结束1,1104,1100_Skill3_IceRain,0,0.8,0,[1.0+1.0],0,-1,[0+0],[],0,1500,0,0
1106,暴风雪子弹结束2,1104,1100_Skill3_IceRain,0,0.8,0,[1.0+1.0],0,-1,[0+0],[],0,1500,0,0
1107,暴风雪子弹结束表现,1104,1100_Skill3_IceRain,0,0.8,0,[1.0+1.0],0,-1,[0+0],[],0,1500,0,0
1111,巨冰出生上,1107,Birth1_u_1,0,1,0,[1.0+1.0],0,2,[0+0],[],0,100,0,0
1112,巨冰出生中,1107,Birth1_u_2,0,1,0,[1.0+1.0],0,-1,[0+0],[],0,100,0,0
1113,巨冰出生下,1107,Birth1_u_3,0,1,0,[1.0+1.0],0,-1,[0+0],[],0,100,0,0
1114,巨冰出生下,1107,Birth1_d,0,1,0,[1.0+1.0],0,-1000,[0+0],[],0,500,0,0
1115,巨冰待机上,1107,Stand1_u_1,0,1,1,[1.0+1.0],0,2,[0+0],[],0,0,0,0
1116,巨冰待机下,1107,Stand1_u_2,0,1,1,[1.0+1.0],0,-1,[0+0],[],0,0,0,0
1117,巨冰待机上,1107,Stand1_u_3,0,1,1,[1.0+1.0],0,-1,[0+0],[],0,0,0,0
1118,巨冰待机下,1107,Stand1_d,0,1,1,[1.0+1.0],0,-1000,[0+0],[],0,0,0,0
1119,巨冰爆炸上,1107,Death1_u,0,1,0,[1.0+1.0],0,3,[0+0],[],0,0,0,0
1120,巨冰爆炸下,1107,Death1_d,0,1,0,[1.0+1.0],0,-1000,[0+-20],[],0,0,0,0
