增益ID,描述,BUFF标识,层数,buff生命周期,回收添加新BUFF的条件,回收时添加的新buff_ID,Buff特效动画ID,buffUI表现ID,buff特效播放点,特效是否跟随移动,buff目标,首次生效时间,生效总次数,Buff触发类型,Buff触发类型参数,生效条件1,生效条件2,生效条件3,生效条件4,Buff生效时目标结算ID,Buff生效时对召唤师结算ID,Buff失效时目标结算ID,Buff失效时召唤师结算ID,是否加载技能
与层数一起作为联合ID                                                                      ,策划自己看,1正面2负面3不可驱散的BUFF,正整数1起始,"负数为永久,正整数代表毫秒        ","0为无条件,1为正常回收,2为强制回收",回收时候添加的Buff序列,对应动画表ID,对应UI特效表ID,1头2身3脚,0否1是,"：-1buff携带者,-2buff发出者,正整数代表搜索ID",单位毫秒,负数代表无限,1时间触发 2死亡触发 3玩家释放英雄技能 4暴击触发 5被暴击触发 6闪避触发 7被闪避触发 8治疗触发 9.破盾触发 10加盾触发 11发兵触发 12 受击触发 13攻击触发,,,,,,对BUFF目标进行结算的ID,对BUFF目标进行结算的ID,对BUFF目标进行结算的ID,对BUFF目标进行结算的ID,"对应技能ID,0为不加载"
Buff_ID,Null,Buff_Type,Buff_Stack,Buff_LifeTime,Buff_NextBuffCondition,Buff_NextBuffID,Buff_AnimationID,Buff_UIEffectID,Buff_EffectWhere,Buff_IsEffectMove,Buff_TargetType,Buff_FirstTime,Buff_MaxCount,Buff_TriggerType,Buff_TriggerTypePrarm,Buff_Condition1,Buff_Condition2,Buff_Condition3,Buff_Condition4,Buff_CountID,Buff_CountHeroID,Buff_LapseCountID,Buff_LapseCountHeroID,Buff_SkillID
index,null,index,int,int,int,json,json,int,int,bool,int,int,int,int,json,function,function,function,function,json,json,json,json,int
,,,,,,,,,,,,,,,,,,,,,,,,
0,测试特效用Buff,1,1,-1,0,[],[],0,3,1,-1,5,1,1,[],,,,,[],[],[],[],0
1,通用加移动速BUFF（LV1）,1,1,5000,0,[],[64],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[1],[1],[4],[4],0
1,通用加移动速BUFF（LV2）,1,2,5000,0,[],[64],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[2],[2],[5],[5],0
1,通用加移动速BUFF（LV3）,1,3,5000,0,[],[64],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[3],[3],[6],[6],0
2,通用减移动速BUFF（LV1）,2,1,5000,0,[],[11],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[4],[4],[1],[1],0
2,通用减移动速BUFF（LV2）,2,2,5000,0,[],[11],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[5],[5],[2],[2],0
2,通用减移动速BUFF（LV3）,2,3,5000,0,[],[11],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[6],[6],[3],[3],0
3,通用加攻击速BUFF（LV1）,1,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[11],[11],[14],[14],0
3,通用加攻击速BUFF（LV2）,1,2,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[12],[12],[15],[15],0
3,通用加攻击速BUFF（LV3）,1,3,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[13],[13],[16],[16],0
4,通用减攻击速BUFF（LV1）,2,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[14],[14],[11],[11],0
4,通用减攻击速BUFF（LV2）,2,2,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[15],[15],[12],[12],0
4,通用减攻击速BUFF（LV3）,2,3,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[16],[16],[13],[13],0
5,通用加物理免伤BUFF（LV1）,1,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[21],[21],[24],[24],0
6,通用减物理免伤BUFF（LV1）,2,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[24],[24],[21],[21],0
6,通用减物理免伤BUFF（LV2）,2,2,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[25],[25],[22],[22],0
6,通用减物理免伤BUFF（LV3）,2,3,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[26],[26],[23],[23],0
7,通用加魔法免伤BUFF（LV1）,1,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[31],[31],[34],[34],0
8,通用减魔法免伤BUFF（LV1）,2,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[34],[34],[31],[31],0
8,通用减魔法免伤BUFF（LV2）,2,2,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[35],[35],[32],[32],0
8,通用减魔法免伤BUFF（LV3）,2,3,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[36],[36],[33],[33],0
9,通用隐身buff,3,1,-1,0,[30],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[43],[43],[44],[44],0
10,通用三搜buff,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[41],[41],[42],[42],0
11,标志Buff永久,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
12,标志Buff持续5S,3,1,5000,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
13,标志Buff持续10S,3,1,10000,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
14,标志Buff持续20S,3,1,20000,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
15,标志Buff持续30S,3,1,30000,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
16,护盾标志Buff永久,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
19,求助标志,3,1,-1,0,[],[30999],0,1,1,-1,0,0,1,[5],,,,,[],[],[],[],0
20,冰冻2.5s请与ID6（+2） 8（+2） 21一起使用,2,1,2500,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[63],[63],0
21,冰冻2.5s请与ID6（+2） 8（+2） 20一起使用,2,1,2500,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[61],[61],[64],[64],0
22,冰冻5s请与减物理免疫魔法免疫（LV2）一起使用,2,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[62],[62],[],[],0
30,通用百分百暴击BUFF（2秒）,3,1,2000,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[47],[47],[48],[48],0
31,通用吟唱回蓝BUFF,3,1,-1,0,[],[],0,2,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[49],[49],[50],[50],0
32,辅助通用回蓝BUFF,3,1,-1,0,[],[],0,2,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[56],[56],[],[],0
40,复活通用三搜和隐藏血条buff,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[0],Is_HasBuffTarget(),,,,[],[],[42+40007],[42+40007],0
41,骷髅战士出生通用三搜buff,3,1,1700,0,[],[],0,2,1,-1,1,1,1,[0],Is_HasBuffTarget(),,,,[41],[41],[42],[42],0
42,僵尸出生通用三搜buff,3,1,3000,0,[],[],0,2,1,-1,1,1,1,[0],Is_HasBuffTarget(),,,,[41],[41],[42],[42],0
100,人族通用BUFF1（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
101,人族通用BUFF2（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
102,人族通用BUFF3（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
103,人族通用BUFF4（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
