卡片结算ID,描述,星级条件,,水晶条件,,种族条件,对应性别条件,职业条件,攻击方式条件,唯一性变动,变更水晶消耗,,变更CD,,变更卡牌锁
主键,无效列,"1大于,2等于,3小于",数值,"1大于,2等于,3小于",数值,1人族2亡灵3自然4其它,"1男,2女,3中",1战士2刺客3射手4法师5辅助6卫士,"1近战,2远程",0不变动   1变为唯一  2唯一变为不唯一,1还原2百分比3数值4赋值,参数,1还原2百分比变动,参数,
CardCountID,Null,StartCondition,StartConditionPrarm,CrystalCondition,CrystalConditionPrarm,RaceCondition,SexCondition,VocationCondition,AttackTypeCondition,SingoChange,CrystalChangeType,CrystalChangePrarm,CDChangeType,CDChangePrarm,CardLockChange
index,null,int,int,int,int,json,json,json,json,int,int,int,int,int,bool
916,遗产 死亡后 自然族卡片费用永久减少1点,0,0,0,0,[3],[],[],[],0,3,-1,0,0,0
921,士气 在场时 己方人族卡牌的CD减少3%,0,0,0,0,[1],[],[],[],0,0,0,2,-3,0
922,士气 在场时 己方人族卡牌的CD减少6%,0,0,0,0,[1],[],[],[],0,0,0,2,-6,0
923,士气 在场时 己方人族卡牌的CD减少9%,0,0,0,0,[1],[],[],[],0,0,0,2,-9,0
924,士气 在场时 己方人族卡牌的CD减少12%,0,0,0,0,[1],[],[],[],0,0,0,2,-12,0
925,士气 在场时 己方人族卡牌的CD减少15%,0,0,0,0,[1],[],[],[],0,0,0,2,-15,0
926,士气 在场时 己方人族卡牌的CD减少3%失效,0,0,0,0,[1],[],[],[],0,0,0,2,3,0
927,士气 在场时 己方人族卡牌的CD减少6%失效,0,0,0,0,[1],[],[],[],0,0,0,2,6,0
928,士气 在场时 己方人族卡牌的CD减少9%失效,0,0,0,0,[1],[],[],[],0,0,0,2,9,0
929,士气 在场时 己方人族卡牌的CD减少12%失效,0,0,0,0,[1],[],[],[],0,0,0,2,12,0
930,士气 在场时 己方人族卡牌的CD减少15%失效,0,0,0,0,[1],[],[],[],0,0,0,2,15,0
931,动员 在场时 己方人族卡牌的水晶消耗减少5点,0,0,0,0,[1],[],[],[],0,3,-5,0,0,0
932,动员 在场时 己方人族卡牌的水晶消耗减少10点,0,0,0,0,[1],[],[],[],0,3,-10,0,0,0
933,动员 在场时 己方人族卡牌的水晶消耗减少15点,0,0,0,0,[1],[],[],[],0,3,-15,0,0,0
934,动员 在场时 己方人族卡牌的水晶消耗减少20点,0,0,0,0,[1],[],[],[],0,3,-20,0,0,0
935,动员 在场时 己方人族卡牌的水晶消耗减少25点,0,0,0,0,[1],[],[],[],0,3,-25,0,0,0
936,动员 在场时 己方人族卡牌的水晶消耗减少5点失效,0,0,0,0,[1],[],[],[],0,3,5,0,0,0
937,动员 在场时 己方人族卡牌的水晶消耗减少10点失效,0,0,0,0,[1],[],[],[],0,3,10,0,0,0
938,动员 在场时 己方人族卡牌的水晶消耗减少15点失效,0,0,0,0,[1],[],[],[],0,3,15,0,0,0
939,动员 在场时 己方人族卡牌的水晶消耗减少20点失效,0,0,0,0,[1],[],[],[],0,3,20,0,0,0
940,动员 在场时 己方人族卡牌的水晶消耗减少25点失效,0,0,0,0,[1],[],[],[],0,3,25,0,0,0
941,知识 在场时 己方所有卡牌的水晶消耗减少3%,0,0,0,0,[],[],[],[],0,2,-3,0,0,0
942,知识 在场时 己方所有卡牌的水晶消耗减少6%,0,0,0,0,[],[],[],[],0,2,-6,0,0,0
943,知识 在场时 己方所有卡牌的水晶消耗减少9%,0,0,0,0,[],[],[],[],0,2,-9,0,0,0
944,知识 在场时 己方所有卡牌的水晶消耗减少12%,0,0,0,0,[],[],[],[],0,2,-12,0,0,0
945,知识 在场时 己方所有卡牌的水晶消耗减少15%,0,0,0,0,[],[],[],[],0,2,-15,0,0,0
946,知识 在场时 己方所有卡牌的水晶消耗减少3%失效,0,0,0,0,[],[],[],[],0,2,3,0,0,0
947,知识 在场时 己方所有卡牌的水晶消耗减少6%失效,0,0,0,0,[],[],[],[],0,2,6,0,0,0
948,知识 在场时 己方所有卡牌的水晶消耗减少9%失效,0,0,0,0,[],[],[],[],0,2,9,0,0,0
949,知识 在场时 己方所有卡牌的水晶消耗减少12%失效,0,0,0,0,[],[],[],[],0,2,12,0,0,0
950,知识 在场时 己方所有卡牌的水晶消耗减少15%失效,0,0,0,0,[],[],[],[],0,2,15,0,0,0
951,抑制 在场时 敌方所有卡牌的水晶消耗增加2%,0,0,0,0,[],[],[],[],0,2,2,0,0,0
952,抑制 在场时 敌方所有卡牌的水晶消耗增加4%,0,0,0,0,[],[],[],[],0,2,4,0,0,0
953,抑制 在场时 敌方所有卡牌的水晶消耗增加6%,0,0,0,0,[],[],[],[],0,2,6,0,0,0
954,抑制 在场时 敌方所有卡牌的水晶消耗增加8%,0,0,0,0,[],[],[],[],0,2,8,0,0,0
955,抑制 在场时 敌方所有卡牌的水晶消耗增加10%,0,0,0,0,[],[],[],[],0,2,10,0,0,0
956,抑制 在场时 敌方所有卡牌的水晶消耗增加2%失效,0,0,0,0,[],[],[],[],0,2,-2,0,0,0
