 搜索ID,描述,列表选取,距离类型,距离参数,是否搜索死亡,身份条件,去掉自己,角色血量,角色职业,角色性别,角色是否是近战,角色种族,角色星级,角色Buff,角色ID,角色状态,搜索类型,指定条件排序,搜索的角色个数
主键,策划自己看,0全部1敌人2盟友3自己4敌方召唤师5己方召唤师6高效找一个敌人7高效找己方伤兵8高效找伤兵,1单向选取2双向选取(aoe) ,0全场-1近范-2远范 正整数代表固定数值,0不1是,是否取反+身份参数,是否去掉自己,是否取反+血量浮点数,是否取反+职业(1战士2刺客3射手4法师5辅助6卫士),是否取反+性别,0全部1近战2远程,是否取反+种族(1人族2亡灵3自然4其它),是否取反+星级,是否取反+Buff序列,是否取反+角色ClassID序列,是否取反+状态ID序列,1 A类 2 B类 3 C类,0无条件 1血量  2 X轴排序 4反X轴排序 4随机搜索 5仇恨最大 6仇恨最小,
Search_ID,Null,Search_ListType,Search_RangeType,Search_RangeParam,Search_Death,Search_Identity ,Search_Self,Search_HP,Search_Career,Search_Sex,Search_AttackType,Search_Race,Search_Star,Search_Buff,Search_RoldID,Search_Status,Search_Type,Search_Reorder,Search_Num
index,null,int,int,int,int,json,bool,json,json,json,int,json,json,json,json,json,int,int,int
,,,,,,,,,,,,,,,,,,,
1,找自己（包括死亡）,3,0,0,1,[],0,[],[],[],0,[],[],[],,[],0,0,1
2,找己方召唤师,5,0,0,0,[],0,[],[],[],0,[],[],[],,[],0,0,1
3,找敌方召唤师,4,0,0,0,[],0,[],[],[],0,[],[],[],,[],0,0,1
4,敌方召唤师处于非出生状态,4,0,0,0,[],0,[],[],[],0,[],[],[],,[1+2],0,0,1
5,敌方召唤师处于非待机状态,4,0,0,0,[],0,[],[],[],0,[],[],[],,[1+3],0,0,1
11,近战找一个敌人（包括召唤师）,6,1,-1,0,[],0,[],[],[],0,[],[],[],,[],1,0,1
12,远程找一个敌人（包括召唤师）,6,1,-2,0,[],0,[],[],[],0,[],[],[],,[],1,0,1
13,近战找所有敌人（包括召唤师）,1,2,-1,0,[],0,[],[],[],0,[],[],[],,[],2,0,9999
14,远程找所有敌人（包括召唤师）,1,2,-2,0,[],0,[],[],[],0,[],[],[],,[],2,0,9999
15,全场找所有敌方士兵,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],2,0,9999
16,近战搜索敌方召唤师,1,1,-1,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,0,1
17,远程搜索敌方召唤师,1,1,-2,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,0,1
18,近战搜索敌方士兵,1,1,-1,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,1
19,远程搜索敌方士兵,1,1,-2,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,1
20,全场找所有士兵（不包括召唤师）,0,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],2,0,9999
21,找一个未满血友军（包括召唤师）,7,2,-2,0,[],1,[0+99.9],[],[],0,[],[],[],,[],3,0,1
22,找全场未满血友军（包括召唤师）,7,2,0,0,[],1,[0+99.9],[],[],0,[],[],[],,[],3,0,9999
23,找一个未满血友军士兵,7,2,-2,0,[1+1+4],1,[0+99.9],[],[],0,[],[],[],,[],3,0,1
24,找全场未满血友军士兵,7,2,0,0,[1+1+4],1,[0+99.9],[],[],0,[],[],[],,[],3,0,9999
25,找全场己方一个士兵,2,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],3,4,1
26,找全场己方士兵,2,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],3,0,9999
27,找全场己方单位,2,2,0,0,[],0,[],[],[],0,[],[],[],,[],3,0,9999
28,找未满血自己,3,2,0,0,[1+1+4],1,[0+99.9],[],[],0,[],[],[],,[],3,0,1
29,全场搜索距离最近的一个敌方单位,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,2,1
30,子弹双向50搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
31,子弹双向20搜索,1,2,20,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
50,刺客找一个后排士兵,6,1,-1,0,[1+1+4],0,[],[1+1+6],[],0,[],[],[],,[],2,0,1
51,刺客找敌方召唤师,6,1,-1,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,0,1
60,全场搜到对面召唤师处于非出生状态,1,2,0,1,[0+1+4],0,[],[],[],0,[],[],[],,[1+2],1,2,1
61,全场搜到对面召唤师处于非待机状态,1,2,0,1,[0+1+4],0,[],[],[],0,[],[],[],,[1+3],1,2,1
100,全场找人族友军士兵,2,2,0,0,[1+1+4],0,[],[],[],0,[0+1],[],[],,[],3,0,9999
200,全场找自然族友军士兵,2,2,0,0,[1+1+4],0,[],[],[],0,[0+3],[],[],,[],3,0,9999
201,搜索自然族友军（不包括自己）,2,2,0,0,[1+1+4],1,[],[],[],0,[0+3],[],[],,[],3,0,99
400,全场找死灵族友军士兵,2,2,0,0,[1+1+4],0,[],[],[],0,[0+2],[],[],,[],3,0,9999
401,近战搜索一个有诅咒的敌方士兵,1,1,-1,0,[1+1+4],0,[],[],[],0,[],[],[0+404],,[],1,2,1
402,远程搜索一个有诅咒的敌方士兵,1,2,-2,0,[1+1+4],0,[],[],[],0,[],[],[0+404],,[],1,2,1
403,全场搜索有诅咒的敌方士兵,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[0+404],,[],1,0,9999
404,全场搜索有诅咒的士兵,0,2,0,0,[1+1+4],1,[],[],[],0,[],[],[0+404],,[],1,0,9999
945,天赋75%血量触发,3,2,0,0,[],0,[0+75],[],[],0,[],[],[],,[],1,0,1
946,天赋50%血量触发,3,2,0,0,[],0,[0+50],[],[],0,[],[],[],,[],1,0,1
947,天赋25%血量触发,3,2,0,0,[],0,[0+25],[],[],0,[],[],[],,[],1,0,1
977,天赋 寻找吟唱的自己,3,2,0,0,[],0,[],[],[],0,[],[],[],,[0+7],1,0,1
978,天赋 寻找移动的自己,3,2,0,0,[],0,[],[],[],0,[],[],[],,[0+4],1,0,1
1001,火法火球搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1002,火法火雨搜索,1,2,125,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
1003,火雨残炎燃烧搜索,1,2,330,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
1004,火龙喷火搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1050,魔攻光环目标,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1050],,[],3,0,9999
1101,冰女冰弹冰冻搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
1102,冰女冰弹减速中心点搜索,2,2,300,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
1103,冰女暴风雪搜索,1,2,115,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
1104,冰女冰弹减速搜索,1,2,500,0,[1+1+4],0,[],[],[],0,[],[],[],,[],2,0,9999
1149,巨冰冰冻搜索,0,2,490,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
1150,回蓝光环目标,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1150],,[],3,0,9999
1160,冰盾减速,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],3,0,9999
1163,冰盾爆炸,1,2,550,0,[],1,[],[],[],0,[],[],[],,[],3,0,9999
1201,3找敌方召唤师,1,2,200,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,2,1
1202,刺客技能2目标搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,4,1
1203,刺客技能3刺杀搜索,1,1,0,0,[0+1+4],1,[],[],[],0,[],[],[],,[],1,2,1
1250,刺客信条光环目标,2,2,0,0,[1+1+4],1,[],[],[],1,[],[],[0+1264],,[],3,0,9999
1260,标记刺客,2,2,0,0,[1+1+4],1,[],[0+2],[],1,[],[],[1+1261],,[],3,0,9999
1300,坚韧光环搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1301],,[],3,0,9999
1301,精灵之光搜索,2,2,300,0,[],1,[],[],[],0,[],[],[],,[],3,0,9999
1322,艾丽卡熊出生击飞搜索,1,2,320,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
1323,熊普攻子弹搜索,1,2,60,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1360,找全场未满血友军（包括召唤师）,2,2,0,0,[],0,[0+99.9],[],[],0,[],[],[],,[],3,1,1
1400,搜索闪电印记,1,1,150,0,[1+1+4],1,[],[],[],0,[],[],[0+1400],,[],2,0,9999
1401,雷电风暴搜索闪电标记,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1403],,[],1,4,1
1402,1技能搜索,1,2,150,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
1403,搜索不带闪电印记,1,1,150,0,[],1,[],[],[],0,[],[],[1+1400],,[],2,0,9999
1404,闪电光环搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1412],,[],1,4,1
1405,电弧爆炸搜索,0,2,400,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,9999
1406,雷暴爆炸搜索,1,2,400,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
1407,全场雷暴搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[0+1400],,[],2,0,9999
1408,大招搜索三层印记,1,2,450,0,[1+1+4],1,[],[],[],0,[],[],[0+1412],,[],2,0,9999
1409,大招搜索,1,2,450,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
1410,大招只搜索召唤师,1,2,450,0,[0+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
1500,战魂光环搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1501],,[],3,0,9999
1502,莱奥是否觉醒搜索,2,2,0,0,[0+1+4],1,[],[],[],0,[],[],[0+1502],,[],3,2,1
1503,气流斩搜索,1,1,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1504,普攻子弹搜索,1,2,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1505,普攻终结子弹搜索,1,2,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1511,搜索全场己方单位,2,2,0,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
1600,庇护光环搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+1650],,[],3,0,9999
1601,圣光领域对敌,1,2,500,0,[],1,[],[],[],0,[],[],[1+1611],,[],1,0,9999
1602,圣光领域对友,2,2,500,0,[],1,[],[],[],0,[],[],[1+1612],,[],1,0,9999
1603,圣光救赎,1,2,500,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
1604,圣光制裁搜索,1,2,50,0,[],1,[],[],[],0,[],[],[1+1603],,[],1,2,1
10000,出生激励找己方召唤师,5,0,0,0,[],0,[],[],[],0,[],[],[1+10004],,[],0,0,1
10001,死亡激励找己方召唤师,5,0,0,0,[],0,[],[],[],0,[],[],[0+10001],,[],0,0,1
10200,火枪手加农炮释放搜索,1,1,750,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
10402,铁匠加护盾搜索,2,2,-2,0,[1+1+4],1,[],[],[],0,[],[],[1+10403],,[1+2],2,1,1
10403,铁匠兵工厂释放搜索,1,1,1500,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
10501,魔抗光环搜索,2,2,500,0,[1+1+4],0,[],[],[],0,[0+1],[],[],,[],2,0,9999
10502,封天锁地搜索敌我召唤师,0,2,0,0,[0+1+4],0,[],[],[],0,[],[],[],,[],3,0,999
10602,维京人冲锋搜索,1,1,1000,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
10603,维京人冲锋撞击搜索,1,1,260,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
10702,火环搜索周围敌人,1,2,200,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
10703,大火球aoe伤害搜索,1,2,240,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
10916,回血光环搜索,7,2,500,0,[1+1+4],0,[0+99],[],[],0,[0+1],[],[],,[],2,0,9999
11001,冲锋撞击次级目标范围击飞,2,2,250,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
11101,影舞者释放刀扇搜索,1,1,200,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
11102,全场找所有士兵（不包括召唤师和刺客）,0,2,0,0,[1+1+4],0,[],[],[],0,[],[],[1+9],,[],2,0,9999
11104,影舞者刀扇伤害搜索,1,2,70,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
11401,爆破工死亡爆炸搜索,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
11402,爆破工死亡爆炸单向搜索,1,1,300,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
20501,战争践踏搜索,1,2,250,0,[],1,[],[],[],0,[],[],[],,[],1,0,999
20502,超级践踏搜索,1,2,450,0,[],1,[],[],[],0,[],[],[],,[],1,0,999
20901,投石机AOE搜索,1,2,150,0,[],1,[],[],[],0,[],[],[],,[],1,0,999
30000,小精灵找一个敌人（包括召唤师）,6,1,-1,0,[],0,[],[],[],0,[],[],[],,[],3,0,1
30001,小精灵自爆搜索（友军）,2,2,500,0,[],1,[],[],[],0,[],[],[],,[],3,0,9999
30002,小精灵自爆搜索（敌军）,1,2,500,0,[],1,[],[],[],0,[],[],[],,[],3,0,9999
30101,精灵弓箭手后跳搜索,1,1,300,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
30102,后跳普攻搜索,1,1,1000,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
30104,箭雨AOE搜索,1,2,200,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
30305,群星搜索,1,1,650,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
30306,星落子弹搜索,1,2,80,0,[],1,[],[],[],0,[],[],[],,[],1,0,999
30400,冰箭子弹搜索,1,2,250,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
30508,夜刃潜行进入怒意,6,1,-2,0,[1+1+4],0,[],[1+1+6],[],0,[],[],[],,[],2,2,1
30509,夜刃潜行进入怒意,6,1,-2,0,[0+1+4],0,[],[],[],0,[],[],[],,[],2,2,1
30602,炽焰龙子弹群体命中搜索,1,2,80,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
30702,石头人捶地搜索,1,2,350,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
30703,岩石身躯搜索自己,3,2,0,0,[],0,[],[],[],0,[],[],[1+30702],,[],2,2,1
