技能ID,技能描述,技能释放类型,选位置施放技能范围,技能解锁类型,技能解锁参数,技能可否被打断,技能CD,默认技能CD百分比,技能消耗类型,技能消耗参数,技能循环次数,单次循环时间,对技能目标发射子弹序列,首次发射子弹时间,子弹序列内间隔时间,对技能目标添加Buff序列,对技能目标点发射子弹序列,首次发射子弹时间,子弹序列内间隔时间,在技能目标点召唤序列,子弹发射速率,技能名字语言包,技能消耗描述1,技能描述语言包,技能图标,状态跳转,技能消耗描述2,战斗技能图标
主键,,0无效1玩家释放2玩家选位置释放3玩家释放持续技能4玩家选位置持续释放,,1.水晶等级,,0不可 1可,毫秒,百分比（0-1）,0不消耗1水晶2血3怒4法力,,0为无限循环,代表毫秒数,,,,,,,,,0无1攻速联动2回蓝速度联动,对应语言包ID,对应语言包ID,对应语言包ID,对应的美术图标,对应的状态名称,对应语言包ID,对应的战斗时技能美术图标
Skill_ID,null,Skill_CastType,Skill_CastRange,Skill_LockType,Skill_LockTypePrarm,Skill_CanBreak,Skill_CD,Skill_CDPrarm,Skill_CostType,Skill_CostTypePrarm,Skill_MaxCast,Skill_CastTime,Skill_TargetBullet,Skill_TargetBulletDelay,Skill_TargetBulletInterval,Skill_Buff,Skill_PointBullet,Skill_PointBulletDelay,Skill_PointBulletInterval,Skill_Call,Skill_BulletPrarm,Skill_Name,Skill_UseDesc1,Skill_Desc,Skill_IconName,Skill_Status,Skill_UseDesc2,BattleSkill_IconName
index,null,int,int,int,int,bool,int,float,int,int,int,json,json,int,int,json,json,int,int,json,int,int,int,int,string,string,int,string
899,格挡天赋安全锁,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[943+-1]*[941+1],[],0,0,[],0,,,,,,,
900,士气失效,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[903+-1],[],0,0,[],0,,,,,,,
901,动员失效,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[910+-1],[],0,0,[],0,,,,,,,
905,士气 在场时 己方人族卡牌的CD减少3%,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[903+1],[],0,0,[],0,,,,,,,
906,动员 在场时 己方人族卡牌的水晶消耗减少5点,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[910+1],[],0,0,[],0,,,,,,,
921,怨念 每次受到攻击 增加5%的攻击力 持续5S（上限5层）,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[922+1],[],0,0,[],0,,,,,,,
983,知识失效,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[989+-1],[],0,0,[],0,,,,,,,
984,抑制失效,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[990+-1],[],0,0,[],0,,,,,,,
985,知识 在场时 己方所有卡牌的水晶消耗减少3%,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[989+1],[],0,0,[],0,,,,,,,
986,抑制 在场时 敌方所有卡牌的水晶消耗增加2%,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[990+1],[],0,0,[],0,,,,,,,
987,奉献 出场给召唤师回一次血 ,0,0,0,0,0,500,1,0,0,1,500,[],0,0,[988+1],[],0,0,[],0,,,,,,,
1000,魔攻光环,0,0,0,0,0,500,1,0,0,1,600,[],0,5,[1050+1],[],5,50,[],0,,,,,,,
1001,火法火球技能1,1,0,1,2,0,19000,1,1,0,1,1000,[],0,5,[],[1001],800,1,[],1,2001011,2000001,2001021,1000_PlayerSkill1_Icon.png,SkillStatus_31,,1000_PlayerSkill1_Icon_c.png
1002,火法火雨技能2,2,600,1,3,0,48000,1,1,0,1,3000,[],0,5,[],[1002+1003+1004+1005+1006+1007+1008+1009],1000,50,[],1,2001012,2000002,2001022,1000_PlayerSkill2_Icon.png,SkillStatus_32,,1000_PlayerSkill2_Icon_c.png
1003,火法火龙技能3,1,0,1,4,0,66000,1,1,0,1,5000,[],0,5,[],[],5,1,[],1,2001013,2000003,2001023,1000_PlayerSkill3_Icon.png,SkillStatus_33,,1000_PlayerSkill3_Icon_c.png
1004,火龙吐火,0,0,1,0,0,100,1,0,0,1,200,[],0,0,[],[1022+1021+1023],0,0,[],0,,,,,,,
1005,火龙出生,0,0,0,0,0,66000,1,1,0,1,4000,[],0,5,[],[1020],1000,1,[300000],0,,,,,,,
1066,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001010,,2001020,1000_Skill1_Icon.png,,,1000_Skill1_Icon_c.png
1100,回蓝光环,0,0,0,0,0,500,1,0,0,1,600,[],0,5,[1150+1],[],5,50,[],0,,,,,,,
1101,冰法冰弹技能1,1,0,1,2,0,18000,1,1,0,1,2400,[],0,5,[1101+1],[1101],1550,1,[],1,2001111,2000011,2001121,1100_PlayerSkill1_Icon.png,SkillStatus_31,,1100_PlayerSkill1_Icon_c.png
1102,冰法巨冰技能2,2,300,1,3,0,31000,1,1,0,1,14000,[],0,5,[],[],0,0,[300001],1,2001112,2000012,2001122,1100_PlayerSkill2_Icon.png,SkillStatus_32,,1100_PlayerSkill2_Icon_c.png
1103,冰法暴风雪技能3,1,0,1,4,0,60000,1,1,0,5,1400,[],0,5,[],[],0,100,[],1,2001113,2000013,2001123,1100_PlayerSkill3_Icon.png,SkillStatus_33,,1100_PlayerSkill3_Icon_c.png
1104,冰法暴风雪技能3+1,0,0,0,0,0,7900,1,0,0,5,1000,[],0,5,[],[1112+1113+1114+1115+1116+1117],350,100,[],1,,,,,,,
