UI特效ID,描述,闪屏动画,闪屏动画,背景动画,背景动画,场景变暗,场景变暗强度,场景变暗持续时间,变暗淡入过程时间,变暗淡出过程事件,屏幕震动开启时间,屏幕震动强度,震动持续时间,装饰物表现开启时间,装饰物表现标签,装饰物表现持续时间,装饰物表现回归标签,装饰物表现距离,表现是否循环,回归是否循环,是否删除
无意义，策划写给自己看的备注,基于UI层的动画,文件,标签,文件,标签,延长多少毫秒开启变暗,半透明度是多少1-100,单位毫秒，持续变暗的时间,,,延长多少毫秒开启震动,震动幅度,毫秒,延长多少毫秒切换装饰物表现,装饰物切换那个标签的表现,表现持续多久,切回那个标签的表现,距离UI特效载体的具体,,,
UI_ID,Null,UI_Blinking,UI_BlinkingName,UI_Back,UI_BackName,UI_Dark,UI_DarkP,UI_DarkTime,UI_DarkTime1,UI_DarkTime2,UI_ShakeStartTime,UI_ShakeLevel,UI_ShakeTime,UI_DoodadStartTime,UI_DoodadName,UI_DoodadContinuedTime,UI_DoodadBackName,UI_DoodadDistance,UI_DoodadLoop,UI_DoodadBackLoop,UI_DoodadRemove
index,null,string,string,string,string,int,int,int,,,int,int,int,int,string,int,string,int,int,int,int
1,,,,,,5000,70,1000,3000,3000,,,,,,,,,,,
2,,9,Dying,,,,,,,,,,,,,,,,,,
3,,,,10,BgSpeedEffect,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,500,Windy,5000,Normal,10000,,,
5,,,,,,100,70,2000,2000,2000,,,,,,,,,,,
10,,120005,hero_1200,,,100,70,2000,2000,2000,,,,,,,,,,,
13,,13,Normal,,,,,,,,,,,,,,,,,,
14,莱奥黑化震屏,,,,,,,,,,1800,8,2000,,,,,,,,
1000,,1007,hero_1000_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
1100,,1108,hero_1100_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
1200,,1207,hero_1200_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
1300,,1306,hero_1300_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
1400,,1412,hero_1400_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
1402,,39,Shining,,,,,,,,,,,,,,,,,,
1500,,1508,hero_1500_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
1600,,1608,hero_1600_Ult,,,100,70,2000,2000,200,,,,,,,,,,,
10401,铁匠兵工厂落地震屏,,,,,,,,,,3000,7,1000,,,,,,,,
10501,,14,Fog,,,,,,,,,,,,,,,,,,
20501,牛头人战争践踏震屏,,,,,,,,,,800,5,800,,,,,,,,
20901,投石车砸地震屏,,,,,,,,,,3000,7,1000,,,,,,,,
40701,死亡骑士死亡之盾震屏,,,,,,,,,,3000,7,1000,,,,,,,,
60002,石头人锤地震屏（已配）,,,,,,,,,,1500,6,2500,,,,,,,,
60100,海巨人砸地震屏（已配）,,,,,,,,,,1000,4,800,,,,,,,,
162700,莱奥解冻震屏,,,,,,,,,,1800,8,2000,,,,,,,,
100300,神像碎块落地震屏（已配）,,,,,,,,,,200,4,500,,,,,,,,
101003,,101003,boss_101000_Ult,,,100,70,2000,2000,2000,,,,,,,,,,,
108601,骨龙出生（已配）,,,,,,,,,,1000,9,800,,,,,,,,
108602,骨龙死亡（已配）,,,,,,,,,,1000,6,800,,,,,,,,
301301,艾丽卡大熊落地震屏（已配）,,,,,,,,,,200,9,800,,,,,,,,
310499,吊灯晃动,,,,,,,,,,,,,500,Skill1,6000,Normal,10000,,,
310500,铁匠机关释放,,,,,,,,,,,,,500,Skill2,8000,Normal,10000,,,
