表情ID,表情名称,表情资源标签名称,表情输入符
主键,策划看,,
Expression_ID,Null,Expression_Res,Expression_Input
index,null,string,string
1,,ui_new/g_gamehall/c_chat/expression/zayan.csb,[#1]
2,,ui_new/g_gamehall/c_chat/expression/piezui.csb,[#2]
3,,ui_new/g_gamehall/c_chat/expression/se.csb,[#3]
4,,ui_new/g_gamehall/c_chat/expression/liubiti.csb,[#4]
5,,ui_new/g_gamehall/c_chat/expression/deyi.csb,[#5]
6,,ui_new/g_gamehall/c_chat/expression/liulei.csb,[#6]
7,,ui_new/g_gamehall/c_chat/expression/haixiu.csb,[#7]
8,,ui_new/g_gamehall/c_chat/expression/jinyan.csb,[#8]
9,,ui_new/g_gamehall/c_chat/expression/keshui.csb,[#9]
10,,ui_new/g_gamehall/c_chat/expression/daku.csb,[#10]
11,,ui_new/g_gamehall/c_chat/expression/rehan.csb,[#11]
12,,ui_new/g_gamehall/c_chat/expression/fabiao.csb,[#12]
13,,ui_new/g_gamehall/c_chat/expression/shenshetou.csb,[#13]
14,,ui_new/g_gamehall/c_chat/expression/zixiao.csb,[#14]
15,,ui_new/g_gamehall/c_chat/expression/jingya.csb,[#15]
16,,ui_new/g_gamehall/c_chat/expression/beiai.csb,[#16]
17,,ui_new/g_gamehall/c_chat/expression/lenghan.csb,[#17]
18,,ui_new/g_gamehall/c_chat/expression/zhuakuang.csb,[#18]
19,,ui_new/g_gamehall/c_chat/expression/tu.csb,[#19]
20,,ui_new/g_gamehall/c_chat/expression/wanxiao.csb,[#20]
21,,ui_new/g_gamehall/c_chat/expression/kawayi.csb,[#21]
22,,ui_new/g_gamehall/c_chat/expression/baiyan.csb,[#22]
23,,ui_new/g_gamehall/c_chat/expression/gaoao.csb,[#23]
24,,ui_new/g_gamehall/c_chat/expression/hungry.csb,[#24]
25,,ui_new/g_gamehall/c_chat/expression/kun.csb,[#25]
26,,ui_new/g_gamehall/c_chat/expression/jingkong.csb,[#26]
27,,ui_new/g_gamehall/c_chat/expression/hanyan.csb,[#27]
28,,ui_new/g_gamehall/c_chat/expression/daxiao.csb,[#28]
29,,ui_new/g_gamehall/c_chat/expression/dabing.csb,[#29]
30,,ui_new/g_gamehall/c_chat/expression/fendou.csb,[#30]
31,,ui_new/g_gamehall/c_chat/expression/mihuo.csb,[#31]
32,,ui_new/g_gamehall/c_chat/expression/bizhui.csb,[#32]
33,,ui_new/g_gamehall/c_chat/expression/yun.csb,[#33]
34,,ui_new/g_gamehall/c_chat/expression/shuai.csb,[#34]
35,,ui_new/g_gamehall/c_chat/expression/kulou.csb,[#35]
36,,ui_new/g_gamehall/c_chat/expression/qiaoda.csb,[#36]
37,,ui_new/g_gamehall/c_chat/expression/byebye.csb,[#37]
38,,ui_new/g_gamehall/c_chat/expression/han.csb,[#38]
39,,ui_new/g_gamehall/c_chat/expression/wabikong.csb,[#39]
40,,ui_new/g_gamehall/c_chat/expression/daogao.csb,[#40]
41,,ui_new/g_gamehall/c_chat/expression/chou.csb,[#41]
