当日购买次数,购买金币消耗钻石数,1倍概率,2倍概率,5倍暴击概率,10倍暴击概率,购买体力消耗钻石数,购买挑战次数消耗钻石数,爬塔试练宝箱付费开启次数对应消耗的钻石,刷新商店次数与价格,解锁背包第N行花费         
主键,, 单位：%, 单位：%, 单位：%, 单位：%,,,,,
BuyTimes,GoldCost,NorRate,DoubleRate,QuintupleRate,DecupleRate,EnergyCost,ChallengeCost,TowerTreasureCost,FreshShopCost,BagCost
index,int ,int,int,int,int,json,int ,int,int ,int
1,10,6500,2750,500,250,[50+50],25,10,10,0
2,10,6500,2750,500,250,[50+50],50,20,10,0
3,20,6500,2750,500,250,[100+50],100,40,20,0
4,20,6500,2750,500,250,[100+50],200,80,20,0
5,40,6500,2750,500,250,[200+50],400,160,40,0
6,40,6500,2750,500,250,[200+50],800,320,40,0
7,80,6500,2750,500,250,[400+50],1600,640,80,0
8,80,6500,2750,500,250,[400+50],1600,1280,80,0
9,160,6500,2750,500,250,[800+50],1600,1280,120,0
10,160,6500,2750,500,250,[800+50],1600,1280,120,0
11,320,6500,2750,500,250,[1600+50],1600,1280,120,0
12,320,6500,2750,500,250,[1600+50],1600,1280,120,0
13,320,6500,2750,500,250,[1600+50],1600,1280,160,0
14,320,6500,2750,500,250,[1600+50],1600,1280,160,0
15,320,6500,2750,500,250,[1600+50],1600,1280,160,0
16,320,6500,2750,500,250,[1600+50],1600,1280,160,0
17,320,6500,2750,500,250,[1600+50],1600,1280,200,0
18,320,6500,2750,500,250,[1600+50],1600,1280,200,0
19,320,6500,2750,500,250,[1600+50],1600,1280,200,0
20,320,6500,2750,500,250,[1600+50],1600,1280,200,0
21,320,6500,2750,500,250,[1600+50],1600,1280,240,50
22,320,6500,2750,500,250,[1600+50],1600,1280,240,100
23,320,6500,2750,500,250,[1600+50],1600,1280,240,100
24,320,6500,2750,500,250,[1600+50],1600,1280,240,200
25,320,6500,2750,500,250,[1600+50],1600,1280,280,200
26,320,6500,2750,500,250,[1600+50],1600,1280,280,300
27,320,6500,2750,500,250,[1600+50],1600,1280,280,300
28,320,6500,2750,500,250,[1600+50],1600,1280,280,300
29,320,6500,2750,500,250,[1600+50],1600,1280,320,300
30,320,6500,2750,500,250,[1600+50],1600,1280,320,300
31,320,6500,2750,500,250,[1600+50],1600,1280,320,400
32,320,6500,2750,500,250,[1600+50],1600,1280,320,400
33,320,6500,2750,500,250,[1600+50],1600,1280,320,400
34,320,6500,2750,500,250,[1600+50],1600,1280,320,400
35,320,6500,2750,500,250,[1600+50],1600,1280,320,400
36,320,6500,2750,500,250,[1600+50],1600,1280,320,400
37,320,6500,2750,500,250,[1600+50],1600,1280,320,400
38,320,6500,2750,500,250,[1600+50],1600,1280,320,400
39,320,6500,2750,500,250,[1600+50],1600,1280,320,400
40,320,6500,2750,500,250,[1600+50],1600,1280,320,400
41,320,6500,2750,500,250,[1600+50],1600,1280,320,500
42,320,6500,2750,500,250,[1600+50],1600,1280,320,500
43,320,6500,2750,500,250,[1600+50],1600,1280,320,500
44,320,6500,2750,500,250,[1600+50],1600,1280,320,500
45,320,6500,2750,500,250,[1600+50],1600,1280,320,500
46,320,6500,2750,500,250,[1600+50],1600,1280,320,500
47,320,6500,2750,500,250,[1600+50],1600,1280,320,500
48,320,6500,2750,500,250,[1600+50],1600,1280,320,500
49,320,6500,2750,500,250,[1600+50],1600,1280,320,500
50,320,6500,2750,500,250,[1600+50],1600,1280,320,500
51,320,6500,2750,500,250,[1600+50],1600,1280,320,600
52,320,6500,2750,500,250,[1600+50],1600,1280,320,600
53,320,6500,2750,500,250,[1600+50],1600,1280,320,600
54,320,6500,2750,500,250,[1600+50],1600,1280,320,600
55,320,6500,2750,500,250,[1600+50],1600,1280,320,600
56,320,6500,2750,500,250,[1600+50],1600,1280,320,600
57,320,6500,2750,500,250,[1600+50],1600,1280,320,600
58,320,6500,2750,500,250,[1600+50],1600,1280,320,600
59,320,6500,2750,500,250,[1600+50],1600,1280,320,600
60,320,6500,2750,500,250,[1600+50],1600,1280,320,600
61,320,6500,2750,500,250,[1600+50],1600,1280,320,700
62,320,6500,2750,500,250,[1600+50],1600,1280,320,700
63,320,6500,2750,500,250,[1600+50],1600,1280,320,700
64,320,6500,2750,500,250,[1600+50],1600,1280,320,700
65,320,6500,2750,500,250,[1600+50],1600,1280,320,700
66,320,6500,2750,500,250,[1600+50],1600,1280,320,700
67,320,6500,2750,500,250,[1600+50],1600,1280,320,700
68,320,6500,2750,500,250,[1600+50],1600,1280,320,700
69,320,6500,2750,500,250,[1600+50],1600,1280,320,700
70,320,6500,2750,500,250,[1600+50],1600,1280,320,700
71,320,6500,2750,500,250,[1600+50],1600,1280,320,800
72,320,6500,2750,500,250,[1600+50],1600,1280,320,800
73,320,6500,2750,500,250,[1600+50],1600,1280,320,800
74,320,6500,2750,500,250,[1600+50],1600,1280,320,800
75,320,6500,2750,500,250,[1600+50],1600,1280,320,800
76,320,6500,2750,500,250,[1600+50],1600,1280,320,800
77,320,6500,2750,500,250,[1600+50],1600,1280,320,0
78,320,6500,2750,500,250,[1600+50],1600,1280,320,0
79,320,6500,2750,500,250,[1600+50],1600,1280,320,0
80,320,6500,2750,500,250,[1600+50],1600,1280,320,0
81,320,6500,2750,500,250,[1600+50],1600,1280,320,0
82,320,6500,2750,500,250,[1600+50],1600,1280,320,0
83,320,6500,2750,500,250,[1600+50],1600,1280,320,0
84,320,6500,2750,500,250,[1600+50],1600,1280,320,0
85,320,6500,2750,500,250,[1600+50],1600,1280,320,0
86,320,6500,2750,500,250,[1600+50],1600,1280,320,0
87,320,6500,2750,500,250,[1600+50],1600,1280,320,0
88,320,6500,2750,500,250,[1600+50],1600,1280,320,0
89,320,6500,2750,500,250,[1600+50],1600,1280,320,0
90,320,6500,2750,500,250,[1600+50],1600,1280,320,0
91,320,6500,2750,500,250,[1600+50],1600,1280,320,0
92,320,6500,2750,500,250,[1600+50],1600,1280,320,0
93,320,6500,2750,500,250,[1600+50],1600,1280,320,0
94,320,6500,2750,500,250,[1600+50],1600,1280,320,0
95,320,6500,2750,500,250,[1600+50],1600,1280,320,0
96,320,6500,2750,500,250,[1600+50],1600,1280,320,0
97,320,6500,2750,500,250,[1600+50],1600,1280,320,0
98,320,6500,2750,500,250,[1600+50],1600,1280,320,0
99,320,6500,2750,500,250,[1600+50],1600,1280,320,0
100,320,6500,2750,500,250,[1600+50],1600,1280,320,0
101,320,6500,2750,500,250,[1600+50],1600,1280,320,0
102,320,6500,2750,500,250,[1600+50],1600,1280,320,0
103,320,6500,2750,500,250,[1600+50],1600,1280,320,0
104,320,6500,2750,500,250,[1600+50],1600,1280,320,0
