佣兵等级,佣兵时间收益,最大时间收益,雇佣收益,最大雇佣次数,公会收益
主键,,上限,,,
MercenaryLv,MercenaryTimeProfit,MaxProfile,MercenaryUseProfit,MaxUseProfit,MercenaryGuildProfit
index,int,int,int,int,int
1,8,10080,384,5,
2,8,10080,384,5,
3,9,10080,432,5,
4,9,10080,432,5,
5,10,10080,480,5,
6,10,10080,480,5,
7,11,10080,528,5,
8,11,10080,528,5,
9,12,10080,576,5,
10,12,10080,576,5,
11,13,10080,624,5,
12,13,10080,624,5,
13,14,10080,672,5,
14,14,10080,672,5,
15,15,10080,720,5,
16,15,10080,720,5,
17,16,10080,768,5,
18,16,10080,768,5,
19,17,10080,816,5,
20,17,10080,816,5,
21,18,10080,864,5,
22,18,10080,864,5,
23,19,10080,912,5,
24,19,10080,912,5,
25,20,10080,960,5,
26,20,10080,960,5,
27,21,10080,1008,5,
28,21,10080,1008,5,
29,22,10080,1056,5,
30,22,10080,1056,5,
31,23,10080,1104,5,
32,23,10080,1104,5,
33,24,10080,1152,5,
34,24,10080,1152,5,
35,25,10080,1200,5,
36,25,10080,1200,5,
37,26,10080,1248,5,
38,26,10080,1248,5,
39,27,10080,1296,5,
40,27,10080,1296,5,
41,28,10080,1344,5,
42,28,10080,1344,5,
43,29,10080,1392,5,
44,29,10080,1392,5,
45,30,10080,1440,5,
46,30,10080,1440,5,
47,31,10080,1488,5,
48,31,10080,1488,5,
49,32,10080,1536,5,
50,32,10080,1536,5,
51,33,10080,1584,5,
52,33,10080,1584,5,
53,34,10080,1632,5,
54,34,10080,1632,5,
55,35,10080,1680,5,
56,35,10080,1680,5,
57,36,10080,1728,5,
58,36,10080,1728,5,
59,37,10080,1776,5,
60,37,10080,1776,5,
61,38,10080,1824,5,
62,38,10080,1824,5,
63,39,10080,1872,5,
64,39,10080,1872,5,
65,40,10080,1920,5,
66,40,10080,1920,5,
67,41,10080,1968,5,
68,41,10080,1968,5,
69,42,10080,2016,5,
70,42,10080,2016,5,
71,43,10080,2064,5,
72,43,10080,2064,5,
73,44,10080,2112,5,
74,44,10080,2112,5,
75,45,10080,2160,5,
76,45,10080,2160,5,
77,46,10080,2208,5,
78,46,10080,2208,5,
79,47,10080,2256,5,
80,47,10080,2256,5,
81,48,10080,2304,5,
82,48,10080,2304,5,
83,49,10080,2352,5,
84,49,10080,2352,5,
85,50,10080,2400,5,
86,50,10080,2400,5,
87,51,10080,2448,5,
88,51,10080,2448,5,
89,52,10080,2496,5,
90,52,10080,2496,5,
91,53,10080,2544,5,
92,53,10080,2544,5,
93,54,10080,2592,5,
94,54,10080,2592,5,
95,55,10080,2640,5,
96,55,10080,2640,5,
97,56,10080,2688,5,
98,56,10080,2688,5,
99,57,10080,2736,5,
