通知ID,通知类型,通知语言包,跑马灯显示,聊天室显示,聊天室头像
主键,,,,,
NoticesID,Type,Content,Highlight,Chatroom,Chathead
index,int,int,int,int,string
1,1,101,2,9,h_soldierhead_21300.png
2,3,201,0,2,h_soldierhead_21300.png
3,3,202,0,2,h_soldierhead_21300.png
4,3,203,0,2,h_soldierhead_21300.png
5,3,204,0,2,h_soldierhead_21300.png
6,3,205,0,2,h_soldierhead_21300.png
7,3,206,1,2,h_soldierhead_21300.png
8,3,207,1,2,h_soldierhead_21300.png
9,3,208,1,2,h_soldierhead_21300.png
10,3,209,1,2,h_soldierhead_21300.png
11,3,210,1,2,h_soldierhead_21300.png
12,4,301,1,1,h_soldierhead_21300.png
13,4,302,1,1,h_soldierhead_21300.png
14,4,303,1,1,h_soldierhead_21300.png
15,4,304,1,1,h_soldierhead_21300.png
16,2,401,2,9,h_soldierhead_21300.png
17,2,402,0,9,h_soldierhead_21300.png
