推送ID,备注说明,默认开启,第几天数生效,第几天数失效,推送时刻,推送条件,生效后开启的推送ID,推送语言包ID,区间
主键,策划自己看,0不开启  1开启,距离玩家登录游戏的第几天（玩家登录的天数为第1天）,-1代表永不失效,24时制,0无条件 1有任务奖励没有领取 2有竞技场任务没完成 3今日到此时未登陆 4连续2天没有登录游戏,推送生效1次即自动关闭，开启的推送在下一天生效,老慧卿,
Push_ID,Null,Push_On,Push_StartTime,Push_StopTime,Push_Time,Push_Condition,Push_Next,Push_LanID,Push_Range
int,null,int,int,int,int,int,json,int,int
1,中午12点提醒领体力,1,1,-1,12,1,[1],101,1
2,晚上20点提醒竞技场,1,1,-1,20,2,[2],102,1
3,第二天登录送十连抽抽卡券11点发,1,2,3,11,3,[],103,0
4,第二天登录送十连抽抽卡券16点发,1,2,3,16,3,[],104,0
5,第二天登录送十连抽抽卡券21点发,1,2,3,21,3,[],105,0
6,第三天登录送金色装备,1,3,4,10,3,[],106,0
7,第三天登录送金色装备,1,3,4,17,3,[],107,0
8,第四天登录送？？,1,4,5,10,3,[],108,0
9,第四天登录送？？,1,4,5,17,3,[],109,0
10,第五天登录送？？,1,5,6,10,3,[],110,0
11,第五天登录送？？,1,5,6,17,3,[],111,0
12,第六天登录送？？,1,6,7,10,3,[],112,0
13,第六天登录送？？,1,6,7,17,3,[],113,0
14,第七天登录送？？,1,7,8,10,3,[],114,0
15,第七天登录送？？,1,7,8,17,3,[],115,0
16,连续2天没登陆游戏，回归劝话1,1,3,-1,11,4,[18],116,7
17,连续2天没登陆游戏，回归劝话1,1,3,-1,21,4,[19],117,7
18,连续2天没登陆游戏，回归劝话2,0,4,-1,11,4,[20],118,7
19,连续2天没登陆游戏，回归劝话2,0,4,-1,21,4,[21],119,7
20,连续2天没登陆游戏，回归劝话3,0,5,-1,11,4,[22],120,7
21,连续2天没登陆游戏，回归劝话3,0,5,-1,21,4,[23],121,7
22,连续2天没登陆游戏，回归劝话4,0,6,-1,11,4,[24],122,7
23,连续2天没登陆游戏，回归劝话4,0,6,-1,21,4,[25],123,7
24,连续2天没登陆游戏，回归劝话5,0,7,-1,11,4,[26],124,7
25,连续2天没登陆游戏，回归劝话5,0,7,-1,21,4,[27],125,7
26,连续2天没登陆游戏，回归劝话6,0,8,-1,11,4,[28],126,7
27,连续2天没登陆游戏，回归劝话6,0,8,-1,21,4,[29],127,7
28,连续2天没登陆游戏，回归劝话7,0,9,-1,11,4,[16],128,7
29,连续2天没登陆游戏，回归劝话7,0,9,-1,21,4,[17],129,7
