英雄等级,吃经验消耗金币,所需经验
主键,,
SoldierLv,LvUpCost,Exp
index,int,int
1,100,0
2,150,10
3,200,10
4,250,20
5,300,20
6,350,40
7,400,40
8,450,60
9,500,60
10,550,80
11,600,80
12,650,100
13,700,100
14,750,100
15,800,100
16,850,100
17,900,100
18,950,100
19,1000,100
20,1100,200
21,1200,200
22,1300,200
23,1400,200
24,1500,200
25,1600,200
26,1700,200
27,1800,200
28,1900,200
29,2000,200
30,2100,300
31,2200,300
32,2300,300
33,2400,300
34,2500,300
35,2600,400
36,2700,400
37,2800,400
38,2900,400
39,3000,400
40,3100,500
41,3200,500
42,3300,500
43,3400,500
44,3500,500
45,3600,500
46,3700,500
47,3800,500
48,3900,500
49,4000,500
50,4100,600
51,4200,600
