英雄稀有度,对应界面边框资源,头像界面边框资源,水晶文字底框资源,下边框U型花纹资源,唯一标识资源,大头像界面边框资源,战士职业圆圈,刺客职业圆圈,射手职业圆圈,法师职业圆圈,辅助职业圆圈,卫士职业圆圈,背景,职业圆圈背景颜色
主键,,,,,,,,,,,,,,
SoldierRare,UiRes,HeadboxRes,UnderboxRes,BorderboxRes,CircleboxRes,BigHeadboxRes,warrior,assassin,archer,mage,assistant,knight,bg,jobcirclebgcolor
index,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,herobar_white.png,herobar_u_grey.png,herobar_d_wood.png,herobar_m_wood.png,card_lv_bar_grey.png,card_main_bar_grey.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_grey.png,card_profesion_bar_grey.png
2,herobar_green.png,herobar_u_green.png,herobar_d_green.png,herobar_m_green.png,card_lv_bar_green.png,card_main_bar_green.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_green.png,card_profesion_bar_green.png
3,herobar_blue.png,herobar_u_blue.png,herobar_d_blue.png,herobar_m_blue.png,card_lv_bar_blue.png,card_main_bar_blue.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_blue.png,card_profesion_bar_blue.png
4,herobar_voilet.png,herobar_u_voilet.png,herobar_d_voilet.png,herobar_m_voilet.png,card_lv_bar_voilet.png,card_main_bar_voilet.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_voilet.png,card_profesion_bar_voilet.png
5,herobar_yellow.png,herobar_u_golden.png,herobar_d_golden.png,herobar_m_golden.png,card_lv_bar_yellow.png,card_main_bar_yellow.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_yellow.png,card_profesion_bar_yellow.png
6,herobar_orange.png,herobar_u_orange.png,herobar_d_orange.png,herobar_m_orange.png,card_lv_bar_red.png,card_main_bar_red.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_red.png,card_profesion_bar_red.png
7,herobar_colorful.png,herobar_u_white.png,herobar_d_white.png,herobar_m_white.png,card_lv_bar_colorfull.png,card_main_bar_colorfull.png,card_profesion_warrior.png,card_profesion_assassin.png,card_profesion_archer.png,card_profesion_mage.png,card_profesion_assistant.png,card_profesion_shiled.png,card_bg_colorfull.png,card_profesion_bar_colorfull.png
