序号,字库,内容
主键
SysnameID,CharacterID,content
index,int,string
1,1,诚实的
2,1,友好的
3,1,热情的
4,1,开朗的
5,1,豪放的
6,1,小气的
7,1,温柔的
8,1,乐观的
9,1,聪明的
10,1,迅捷的
11,1,执着的
12,1,专注的
13,1,勤劳的
14,1,勇敢的
15,1,健谈的
16,1,易怒的
17,1,悲伤的
18,1,懒惰的
19,1,倔强的
20,1,超凡的
21,1,善变的
22,1,敏感的
23,1,狡猾的
24,1,幽默的
25,1,睿智的
26,1,朴素的
27,1,保守的
28,1,暴躁的
29,1,忠厚的
30,1,混沌的
31,1,美丽的
32,1,残忍的
33,1,绝望的
34,1,正义的
35,1,卑鄙的
36,1,谨慎的
37,1,烦恼的
38,1,不安的
39,1,强壮的
40,1,英俊的
41,1,守序
42,1,中立
43,1,混乱
44,1,高级
45,1,中级
46,1,初级
47,1,隐秘
48,1,传奇
49,1,非凡
50,1,史诗
51,2,善良
52,2,邪恶
53,2,混血
54,2,半神
55,2,权贵
56,2,愤怒
57,2,荣耀
58,2,王者
59,2,英雄
60,2,欲望
61,2,特攻
62,2,先锋
63,2,联盟
64,2,部落
65,2,先驱
66,2,先知
67,2,狂人
68,2,天启
69,2,铂金
70,2,海蓝宝
71,2,祖母绿
72,2,紫水晶
73,2,玛瑙石
74,2,石英砂
75,2,荧光石
76,2,翡翠
77,2,钻石
78,2,迷迭香
79,2,紫罗兰
80,2,风信子
81,2,曼陀罗
82,2,康乃馨
83,2,山茶花
84,2,郁金香
85,2,三色堇
86,2,含羞草
87,2,夜来香
88,2,琉璃苣
89,2,四叶草
90,2,珊瑚藤
91,2,象牙白
92,2,低调灰
93,2,碳素黑
94,2,孔雀蓝
95,2,原野绿
96,2,玫瑰红
97,2,夕阳橙
98,2,柠檬黄
99,2,丁香紫
100,2,橄榄棕
101,3,战士
102,3,辅助
103,3,法师
104,3,刺客
105,3,射手
106,3,斥候
107,3,护卫
108,3,矮人
109,3,矿工
110,3,祭司
111,3,骑士
112,3,剑士
113,3,神偷
114,3,巫师
115,3,工匠
116,3,富商
117,3,农民
118,3,海盗
119,3,龙族
120,3,恶魔
121,3,天使
122,3,猎人
123,3,牧师
124,3,盗贼
125,3,长老
126,3,使者
127,3,水手
128,3,园丁
129,3,随从
130,3,管家
131,3,厨师
132,3,渔夫
133,3,裁缝
134,3,萨满
135,3,诗人
136,3,神父
137,3,魔药师
138,3,雇佣兵
139,3,掘墓人
140,3,驯兽师
141,3,铸甲师
142,3,嗜血者
143,3,猎魔人
144,3,召唤师
145,3,神枪手
146,3,龙骑士
147,3,牧羊人
148,3,狂战士
149,3,半兽人
150,3,发明家
