头像位置索引,头像文件名,头像解锁描述
主键,,
SysHeadID,IconName,IconTips
index,string,int
1,icon_summoner_1000.png,1653
2,icon_summoner_1100.png,1654
3,icon_summoner_1200.png,1655
4,icon_summoner_1300.png,1656
5,icon_summoner_1400.png,1657
6,icon_summoner_1500.png,-1
7,icon_summoner_1600.png,1658
8,h_soldierhead_100002.png,-1
9,h_soldierhead_100100.png,-1
10,h_soldierhead_100200.png,-1
11,h_soldierhead_100300.png,-1
12,h_soldierhead_100400.png,-1
13,h_soldierhead_21300.png,1659
14,h_soldierhead_50002.png,1660
15,h_soldierhead_301304.png,1661
16,h_soldierhead_100900.png,1662
17,h_soldierhead_100600.png,1663
18,h_soldierhead_100701.png,1664
19,h_soldierhead_100800.png,1850
20,h_soldierhead_11300.png,1851
21,h_soldierhead_10004.png,1852
22,h_soldierhead_10505.png,1853
