玩家等级,升级所需经验,该等级购买金币取值范围,召唤师血量
主键,,,
Level,Exp,BuyCoin,SummonerHP
index,int,json,int
1,10,[2000+2001],20000
2,10,[2000+2001],20450
3,10,[2000+2001],20900
4,30,[2000+2001],21350
5,30,[2000+2001],21800
6,30,[2000+2001],22250
7,30,[2000+2001],22700
8,30,[2000+2001],23150
9,30,[2000+2001],23600
10,30,[2000+2001],24050
11,30,[2000+2001],24500
12,30,[2000+2001],24950
13,30,[2000+2001],25400
14,30,[2000+2001],25850
15,30,[2000+2001],26300
16,30,[2000+2001],26750
17,30,[2000+2001],27200
18,30,[2000+2001],27650
19,30,[2000+2001],28100
20,50,[2000+2001],28550
21,70,[2000+2001],29000
22,90,[2000+2001],29450
23,110,[2000+2001],29900
24,130,[2000+2001],30350
25,150,[2000+2001],30800
26,170,[2000+2001],31250
27,190,[2000+2001],31700
28,210,[2000+2001],32150
29,230,[2000+2001],32600
30,250,[2000+2001],33050
31,270,[2000+2001],33500
32,290,[2000+2001],33950
33,310,[2000+2001],34400
34,405,[2000+2001],34850
35,415,[2000+2001],35300
36,425,[2000+2001],35750
37,435,[2000+2001],36200
38,445,[2000+2001],36650
39,455,[2000+2001],37100
40,465,[2000+2001],37550
41,475,[2000+2001],38000
42,485,[2000+2001],38450
43,495,[2000+2001],38900
44,505,[2000+2001],39350
45,515,[2000+2001],39800
46,525,[2000+2001],40250
47,535,[2000+2001],40700
48,545,[2000+2001],41150
49,705,[2000+2001],41600
50,705,[2000+2001],42050
