镜头ID,镜头横移到 x值,镜头横移到召唤师 1己方 2是敌方,镜头横移时间,拉伸比例到某值1%-100%,拉伸时间,镜头动作总时间,后续镜头ID,备注
主键,,,,,,,,
ID,MoveX,MoveType,MoveTime,Scale,ScaleTime,Time,NextCamera,
index,int,,int,int,int,int,int,
1,,2,1500,60,0,2000,2,
2,,1,1500,60,0,2000,5,
3,,1,500,90,500,600,0,
4,,2,500,90,500,600,0,
5,630,,1000,1,1000,1000,0,
6,,2,200,60,0,500,0,
7,0,,1000,80,1000,1000,0,
8,1020,,15000,80,0,15000,0,
9,,2,200,60,200,400,0,
10,0,,1700,1,1250,1700,0,
,,,,,,,,
101,2000,,2000,60,0,3000,102,
102,0,,2000,60,0,3000,0,
103,2000,,2000,60,0,2000,0,
104,0,,2000,60,0,2000,0,
105,0,,0,60,200,200,106,
106,1600,,4500,60,0,4500,0,
107,2000,,1000,60,0,1000,0,
108,0,,1000,60,0,1000,0,
109,2000,,4000,60,0,4000,0,
110,2000,,4000,5,0,4500,0,
111,2000,,0,5,600,600,0,
112,2000,,2000,60,0,2000,0,
113,0,,2000,5,0,2000,0,
