引导ID,开始消息：,开始条件1,条件1参数,开始条件2,条件2参数,开始条件3,条件3参数,开始条件4,条件4参数,跳过条件1,跳过条件1参数,跳过条件2,跳过条件2参数,结束后激活，0=没有,引导完成后关闭的引导,说明1,说明2
主键,,,,,,,,,,,,,,,,,
ID,Listen,Condition1,Cond1param,Condition2,Cond2param,Condition3,Cond3param,Condition4,Cond4param,SkipConditon1,SkipCond1param,SkipConditon2,SkipCond2param,Nexts,Closes,null,null
index,int,int,json,int,json,int,json,int,json,int,json,int,json,json,json,null,null
1,1,13,[100],,,,,,,,,,,,,新手关教学,
2,9,,,,,,,,,,,,,,,莱奥自动开大,
3,8,13,[100],,,,,,,,,,,,[1+2+3],艾丽卡死亡,
,,,,,,,,,,,,,,,,,
11,701,7,[14],,,,,,,,,,,[12+14+15],[3+11],关闭新手关卡引导，开启主线引导,
12,0,,,,,,,,,,,,,,[3+12],关闭新手关卡引导，开启主线引导,
13,701,7,[1],,,,,,,,,,,,,123关防掉线强制引导,
,,,,,,,,,,,,,,,,,
14,701,7,[14],,,,,,,,,,,[16],[14],强制引导进入第一关循环1,
15,701,11,[101+1+1],,,,,,,,,,,[17+18],[3+11+14+15+16],第一关通关，关闭强制循环，开启第二关强制引导,
16,701,7,[14],,,,,,,,,,,[14],[16],强制引导进入第一关循环2,
,,,,,,,,,,,,,,,,,
17,701,7,[14],,,,,,,,,,,[19],[17],第二关强制引导循环1,
18,701,11,[102+1+1],,,,,,,,,,,[20+21],[17+18+19],第二关通关，关闭强制循环，开启第三关强制引导,
19,701,7,[14],,,,,,,,,,,[17],[19],第二关强制引导循环2,
,,,,,,,,,,,,,,,,,
20,701,7,[14],,,,,,,,,,,[22],[20],第三关强制引导循环1,
21,701,11,[103+1+1],,,,,,,,,,,[23+24],[13+20+21+22],第三关通关消息，用于开启返回大厅的抽卡引导,
22,701,7,[14],,,,,,,,,,,[20],[22],第三关强制引导循环2,
,,,,,,,,,,,,,,,,,
23,701,7,[14],,,,,,,,,,,,[23],第三关通关回到世界地图，引导返回大厅,
,,,,,,,,,,,,,,,,,
24,701,7,[1],,,,,,,,,,,[25],[23+24],抽卡引导,
25,713,,,,,,,,,,,,,[26+281],[25],任务引导,
,,,,,,,,,,,,,,,,,
26,713,11,[104+1+1],,,,,,,,,,,[27+271+272+28],[26],升级引导,
27,0,11,[104+1+1],5,[10000+0+15],2,[0+16],,,,,,,[29],[27+271+272+28],林克等级小于15级引导穿装备,
271,0,11,[104+1+1],5,[10000+1+15],2,[0+16],,,,,,,[29],[27+271+272+28],林克等级大于15级引导穿装备,
272,0,11,[104+1+1],2,[1+16],,,,,,,,,[29],[27+271+272+28],召唤师等级大于15级关闭穿装备引导,
,,,,,,,,,,,,,,,,,
28,713,11,[104+1+1],,,,,,,,,,,[29],[27+271+272+28],穿装备备胎,
,,,,,,,,,,,,,,,,,
281,701,7,[11],,,,,,,,,,,,[281],装备牧师,
,,,,,,,,,,,,,,,,,
29,713,11,[108+1+1],,,,,,,,,,,[30],[29],召唤师引导解锁,
,,,,,,,,,,,,,,,,,
30,713,11,[108+1+1],,,,,,,,,,,[301+302],[30],竞技场引导解锁并引导进入训练场,
301,701,7,[48],11,[108+1+1],,,,,,,,,[31],[301+302],真人竞技提示引导,
302,713,11,[108+1+1],,,,,,,,,,,,,真人竞技提示引导备胎,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
31,713,11,[112+1+1],,,,,,,,,,,[33],[31],通关12解锁金币试炼系统,
,,,,,,,,,,,,,,,,,
33,713,11,[115+1+1],,,,,,,,,,,[34],[33],通关15关解锁公会系统（同时解锁公会商店）,
,,,,,,,,,,,,,,,,,
34,713,11,[201+1+1],,,,,,,,,,,[35],[34],通关201关解锁铁匠铺系统,
,,,,,,,,,,,,,,,,,
35,713,11,[209+1+1],,,,,,,,,,,,[35],通关209关解锁英雄试炼,
,,,,,,,,,,,,,,,,,
36,713,11,[303+1+1],,,,,,,,,,,,[36],通关303关解锁爬塔试炼,
,,,,,,,,,,,,,,,,,
1101,1,13,[101],,,,,,,,,,,[11011],[1101],第一章第一关,
11011,8,13,[101],,,,,,,,,,,[1102],[11011],第一章第1关结束,
,,,,,,,,,,,,,,,,,
1102,1,13,[102],,,,,,,,,,,[11021],[1102],第一章第二关,
11021,8,13,[102],,,,,,,,,,,[1103],[11021],第一章第2关结束,
,,,,,,,,,,,,,,,,,
