成就ID,说明 ,成就标题,成就图标,完成条件描述,解锁等级,是否显示,完成条件 ,条件参数1,条件参数2 ,条件参数3 ,完成次数,未完成提示 ,奖励经验,奖励金币,奖励钻石,奖励体力,奖励道具,结束后启动,位置类型,完成后星星,关闭后是否显示
ID不可超过65535,策划看不用解析,0=没标题,0=没图标,0=没描述,,0=不显示    1=显示,10=玩家等级达到X级             11=升级任意英雄到X级      12=升星任意英雄到X星              13=升级任意英雄技能到X星                          14=拥有X件Ｘ色XX装备          15=拥有X个不同的英雄          16=拥有X个召唤师             17=获得XXX召唤师               18=玩家关卡获得XXX个星星 19=累计获得XXXX金币,0=没有,0=没有,0=没有,,0=没有,,,,,[]=没有,[0]=没有    ,填一样数字在界面中同一个列中刷出             0=不显示,0=不显示，没星星, 0=不显示             1=显示
ID,Null,Title,Icon,Desc,UnLockLv,Show,FinishCondition,FinishParameters,FinishParameters,FinishParameters,CompleteTimes,Tips,AwardExp,AwardCoin,AwardDiamond,AwardEnergy,AwardItems,EndStartID,PosType,AchieveStar,CloseDisplay
index,null,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,item,json,int,int,int
1,累计抽卡5次,60200,,60201,1,1,6,0,0,0,5,0,0,0,100,0,[],[2],1,1,0
2,累计抽卡50次,60202,,60203,1,1,6,0,0,0,50,0,0,0,300,0,[],[3],1,2,0
3,累计抽卡150次,60204,,60205,1,1,6,0,0,0,150,0,0,0,800,0,[],[],1,3,1
4,取得3场竞技胜利,60206,,60207,1,1,23,1,0,0,3,0,0,0,50,0,[],[5],2,1,0
5,取得25场竞技胜利,60208,,60209,1,1,23,1,0,0,25,0,0,0,100,0,[],[6],2,2,0
6,取得150场竞技胜利,60210,,60211,1,1,23,1,0,0,150,0,0,0,200,0,[300101+1],[],2,3,1
7,关卡累计获得15颗星星,60212,,60213,1,1,18,0,0,0,15,0,0,0,50,0,[],[8],3,1,0
8,关卡累计获得60颗星星,60214,,60215,1,1,18,0,0,0,60,0,0,0,100,0,[],[9],3,2,0
9,关卡累计获得105颗星星,60216,,60217,1,1,18,0,0,0,105,0,0,0,150,0,[300102+1],[],3,3,1
10,拥有10个不同的英雄,60218,,60219,1,1,15,0,0,0,10,0,0,0,50,0,[],[11],4,1,0
11,拥有20个不同的英雄,60220,,60221,1,1,15,0,0,0,20,0,0,0,100,0,[],[12],4,2,0
12,拥有35个不同的英雄,60222,,60223,1,1,15,0,0,0,35,0,0,0,150,0,[],[],4,3,1
13,拥有2个不同的召唤师,60224,,60225,1,1,16,0,0,0,2,0,0,0,50,0,[],[14],5,1,0
14,拥有4个不同的召唤师,60226,,60227,1,1,16,0,0,0,4,0,0,0,100,0,[],[15],5,2,0
15,拥有7个不同的召唤师,60228,,60229,1,1,16,0,0,0,7,0,0,0,200,0,[],[],5,3,1
16,创建或加入一个公会,60230,,60231,1,1,30,0,0,0,1,0,0,0,100,0,[],[],6,3,1
17,在竞技场取得1次3连胜,60236,,60237,1,1,34,0,0,0,3,0,0,0,50,0,[],[18],7,1,0
18,在竞技场取得1次5连胜,60238,,60239,1,1,34,0,0,0,5,0,0,0,100,0,[],[19],7,2,0
19,在竞技场取得1次8连胜,60240,,60241,1,1,34,0,0,0,8,0,0,0,200,0,[300103+1],[],7,3,1
20,在商店购买10件商品,60242,,60243,1,1,31,0,0,0,10,0,0,0,50,0,[],[21],8,1,0
21,在商店购买40件商品,60244,,60245,1,1,31,0,0,0,40,0,0,0,100,0,[],[22],8,2,0
22,在商店购买100件商品,60246,,60247,1,1,31,0,0,0,100,0,0,0,150,0,[],[],8,3,1
23,累计点金10次,60248,,60249,1,1,8,0,0,0,10,0,0,0,50,0,[],[24],9,1,0
24,累计点金50次,60250,,60251,1,1,8,0,0,0,50,0,0,0,100,0,[],[25],9,2,0
25,累计点金150次,60252,,60253,1,1,8,0,0,0,150,0,0,0,200,0,[],[],9,3,1
26,拥有3个5星英雄,60254,,60255,1,1,32,5,0,0,3,0,0,0,100,0,[],[27],10,1,0
27,拥有7个5星英雄,60256,,60257,1,1,32,5,0,0,7,0,0,0,200,0,[],[28],10,2,0
28,拥有12个5星英雄,60258,,60259,1,1,32,5,0,0,12,0,0,0,500,0,[300104+1],[],10,3,1
29,只用人族英雄取得10场竞技胜利,60260,,60261,1,1,33,1,0,0,10,0,0,0,50,0,[],[30],11,1,0
30,只用人族英雄取得50场竞技胜利,60262,,60263,1,1,33,1,0,0,50,0,0,0,100,0,[],[31],11,2,0
31,只用人族英雄取得150场竞技胜利,60264,,60265,1,1,33,1,0,0,150,0,0,0,200,0,[300105+1],[],11,3,1
32,只用自然族英雄取得10场竞技胜利,60266,,60267,1,1,33,3,0,0,10,0,0,0,50,0,[],[33],12,1,0
33,只用自然族英雄取得50场竞技胜利,60268,,60269,1,1,33,3,0,0,50,0,0,0,100,0,[],[34],12,2,0
34,只用自然族英雄取得150场竞技胜利,60270,,60271,1,1,33,3,0,0,150,0,0,0,200,0,[300106+1],[],12,3,1
35,只用死灵族英雄取得10场竞技胜利,60272,,60273,1,1,33,2,0,0,10,0,0,0,50,0,[],[36],13,1,0
36,只用死灵族英雄取得50场竞技胜利,60274,,60275,1,1,33,2,0,0,50,0,0,0,100,0,[],[37],13,2,0
37,只用死灵族英雄取得150场竞技胜利,60276,,60277,1,1,33,2,0,0,150,0,0,0,200,0,[300107+1],[],13,3,1
38,取得100以上的竞技积分,60278,,60279,1,1,35,0,0,0,100,0,0,0,50,0,[],[39],14,1,0
39,取得300以上的竞技积分,60280,,60281,1,1,35,0,0,0,300,0,0,0,100,0,[],[40],14,2,0
40,取得500以上的竞技积分,60282,,60283,1,1,35,0,0,0,500,0,0,0,150,0,[300108+1],[41],14,3,1
41,取得750以上的竞技积分,60284,,60285,1,1,35,0,0,0,750,0,0,0,200,0,[],[42],15,1,0
42,取得1000以上的竞技积分,60286,,60287,1,1,35,0,0,0,1000,0,0,0,250,0,[],[43],15,2,0
43,取得1500以上的竞技积分,60288,,60289,1,1,35,0,0,0,1500,0,0,0,300,0,[300109+1],[44],15,3,1
44,取得2000以上的竞技积分,60290,,60291,1,1,35,0,0,0,2000,0,0,0,400,0,[],[45],16,1,0
45,取得2500以上的竞技积分,60292,,60293,1,1,35,0,0,0,2500,0,0,0,500,0,[],[46],16,2,0
46,取得3000以上的竞技积分,60294,,60295,1,1,35,0,0,0,3000,0,0,0,600,0,[300110+1],[],16,3,1
1001,预留成就：创角触发（隐藏）,,,,999,0,16,0,0,0,999,0,0,0,0,0,[],[],999,3,0
