副本ID,副本名称,副本标题,副本简介,入口图标,图标排列优先级                                   越大排越前，一样的按ID越大排越前,完成后入口图标,副本类型          1常开启日常副本    2限时开启日常副本  3周常             4节日副本             ,入口图标显示时间参数,副本开启时间参数,副本结束时间参数,完成次数限制,每日可购买挑战次数,挑战次数恢复,挑战次数恢复时间,挑战次数恢复次数,简单难度关卡ID,简单关卡士兵等级上限,简单关卡士兵等级基数-1代表玩家等级 其他正整数或0代表具体等级数值,简单关卡士兵等级系数在基数的基础上增加的具体数值,普通难度关卡ID,普通关卡士兵等级上限,普通关卡士兵等级基数,普通关卡士兵等级系数,困难难度关卡ID,困难关卡士兵等级上限,困难关卡士兵等级基数,困难关卡士兵等级系数,地狱难度关卡ID,地狱关卡士兵等级上限,地狱关卡士兵等级基数,地狱关卡士兵等级系数,传说难度关卡ID,传说关卡士兵等级上限,传说关卡士兵等级基数,传说关卡士兵等级系数
,策划用,,,,,0=不显示                    1=显示,1常开启日常副本,[0]=没有参数,[0]=没有参数,[0]=没有参数,,, -2=开启后每隔多少秒     -1=开启时恢复           0=不恢复              1=日恢复                    2=周恢复,[0]=没参数,0=不恢复    ,指对应关卡ID，填0表示没有对应难度关卡,,,,指对应关卡ID,,,,指对应关卡ID,,,,指对应关卡ID,,,,指对应关卡ID,,,
ID,null,Title,Desc,Pic,Place,Show,Type,PlaceTime,StartTime,EndTime,CompleteTimes,BuyTimes,RecoverType,RecoverTime,RecoverParam,DiffID,MaxLevel,BasicLevel,ExLevel,DiffID,MaxLevel,BasicLevel,ExLevel,DiffID,MaxLevel,BasicLevel,ExLevel,DiffID,MaxLevel,BasicLevel,ExLevel,DiffID,MaxLevel,BasicLevel,ExLevel
index,null,int,int,string,int,int,int,json,json,json,int,int,int,json,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
20001,伊莱克斯,46001,46002,activity_icon_01.png,1,1,1,[0],[0],[0],3,5,1,[5],3,101,70,-1,10,101,70,-1,10,101,70,-1,10,101,70,-1,10,101,70,-1,10
20002,伊娃格林,46003,46004,activity_icon_02.png,1,1,1,[0],[0],[0],5,5,-2,[7200],1,102,71,-1,11,102,71,-1,11,102,71,-1,11,102,71,-1,11,102,71,-1,11
20003,地下城魔窟,46005,46006,activity_icon_03.png,1,0,2,[14+50],[15+0],[15+30],3,0,0,[0],0,103,72,50,12,103,72,50,12,103,72,50,12,103,72,50,12,103,72,50,12
20004,兽族龙巢,46007,46008,activity_icon_03.png,1,1,3,[1+9+50],[1+10+0],[3+23+59],3,5,1,[5+5+5],3,104,73,50,13,104,73,50,13,104,73,50,13,104,73,50,13,104,73,50,13
20005,精灵神树,46009,46010,activity_icon_03.png,2,1,3,[10+9+50],[10+10+0],[01+12+30],3,5,1,[5+5+6],3,105,74,60,14,105,74,60,14,105,74,60,14,105,74,60,14,105,74,60,14
20006,冰封山,46011,46012,activity_icon_03.png,2,1,4,[11+11+8+50],[11+13+23+59],[1+12+30],3,5,1,[5+5+7],3,106,75,60,15,106,75,60,15,106,75,60,15,106,75,60,15,106,75,60,15
20007,新年派送,46013,46014,activity_icon_03.png,2,1,4,[2+5+6+0],[2+5+10+0],[2+20+23+59],3,5,1,[5+5+8],3,107,76,60,16,107,76,60,16,107,76,60,16,107,76,60,16,107,76,60,16
