ResID,角色备注,动作标签组合1,动作标签组合2,动作标签组合3,动作标签组合4,动作标签组合5,动作标签组合6,动作标签组合7,动作标签组合8,动作标签组合9
主键,,,,,,,,,,
resID,null,vecAnimations,vecAnimations,vecAnimations,vecAnimations,vecAnimations,vecAnimations,vecAnimations,vecAnimations,vecAnimations
index,null,json,json,json,json,json,json,json,json,json
449,传送镜子,[1300-Delivery0],[1300-Delivery0],[1300-Delivery0],,,,,,
1000,火法（人）,[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],,,,,
1100,冰法（人）,[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],,,,,
1201,刺客（自然）,[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],,,,,
1300,艾丽卡（自然）,[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],,,,,
1400,约修亚（人？亡灵）,[Skill1],[Skill3+Skill4],,[Move1+Move1+Move1],,,,,
1500,莱奥（人）,[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],,,,,
1600,罗迪亚克（人）,[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],,,,,
10000,勇士2,[Attack1+Attack2],[Skill1],[Move1+Move1+Move1],[Move2+Move2+Move2],[Vertigo1],,,,
10001,勇士3,[Attack1+Attack2],[Skill1],[Move2+Move2+Move2],[Move1+Move1+Move1],[Vertigo1],,,,
10002,勇士4,[Attack1+Attack2],[Skill1],[Move2+Move2+Move2],[Move1+Move1+Move1],[Vertigo1],,,,
10200,矮人火枪手2,[Attack1],[Skill1],[Move1+Move1+Move1],[Vertig1],,,,,
10201,矮人火枪手3,[Attack1],[Skill1],[Move1+Move1+Move1],[Vertig1],,,,,
10202,矮人火枪手4,[Attack1],[Skill1],[Move1+Move1+Move1],[Vertig1],,,,,
10300,盗贼2,[Attack1+Attack2+Attack3+Attack4],[Move1+Move1+Move1],[Vertigo1],,,,,,
10301,盗贼3,[Attack1+Attack2+Attack3+Attack4],[Move1+Move1+Move1],[Vertigo1],,,,,,
10302,盗贼4,[Attack1+Attack2+Attack3+Attack4],[Move1+Move1+Move1],[Vertigo1],,,,,,
10400,老铁匠2,[Attack1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
10401,老铁匠3,[Attack1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
10402,老铁匠4,[Attack1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
