活动ID,活动任务,活动名称,任务名称语言包,任务描述语言包,活动类型,前置条件,条件参数1,奖励3道具,重置是否
双主键之1,双主键之2,,,,,,,,
BlueDiamondID,BlueTaskID,Null,BlueName,BlueDes,BlueType,UserConditions,ConditionsType1,Reward3,ResetType
index,index,null,int,int,int,int,int,item,int
1001,1,每日礼包,1001,1002,1,1,1,[1+1000],1
1001,2,每日礼包,1001,1002,1,1,2,[1+1200]*[100003+1],1
1001,3,每日礼包,1001,1002,1,1,3,[1+1500]*[100003+2],1
1001,4,每日礼包,1001,1002,1,1,4,[1+1800]*[100003+3],1
1001,5,每日礼包,1001,1002,1,1,5,[1+2000]*[100002+1],1
1001,6,每日礼包,1001,1002,1,1,6,[1+2200]*[100002+2],1
1001,7,每日礼包,1001,1002,1,1,7,[1+2500]*[100002+3],1
,,,,,,,,,
1009,1,每日礼包,1003,1004,1,2,0,[120013+5],1
1010,1,每日礼包,1005,1006,1,3,0,[120009+5],1
,,,,,,,,,
2001,1,新手礼包,1007,1008,2,1,0,[201027+1]*[251+2]*[253+2]*[100001+2]*[1+5000],0
3001,1,升级礼包,1009,1010,3,1,15,[211002+1]*[100003+2],0
3001,2,升级礼包,1009,1010,3,1,25,[211018+1]*[100003+5]*[1+5000],0
3001,3,升级礼包,1009,1010,3,1,35,[201030+1]*[100002+2]*[1+10000]*[10+1],0
3001,4,升级礼包,1009,1010,3,1,40,[231031+1]*[100002+5]*[1+15000]*[10+2],0
3001,5,升级礼包,1009,1010,3,1,45,[221031+1]*[100005+2]*[1+20000]*[10+3],0
3001,6,升级礼包,1009,1010,3,1,50,[251059+1]*[100005+5]*[1+25000]*[10+4],0
,,,,,,,,,
4001,1,大厅每日礼包,1001,1002,1,0,0,[1+1500]*[120013+2]*[100003+1],1
,,,,,,,,,
5001,1,大厅新手礼包,1007,1008,2,0,0,[201015+1]*[251+2]*[253+2]*[100001+2]*[1+5000],0
,,,,,,,,,
6001,1,大厅成长礼包,1007,1008,3,0,15,[221002+1]*[100003+2],0
6001,2,大厅成长礼包,1007,1008,3,0,25,[221014+1]*[100003+5]*[1+5000],0
6001,3,大厅成长礼包,1007,1008,3,0,35,[201038+1]*[100002+2]*[1+10000]*[10+1],0
6001,4,大厅成长礼包,1007,1008,3,0,40,[211043+1]*[100002+5]*[1+15000]*[10+2],0
6001,5,大厅成长礼包,1007,1008,3,0,45,[221039+1]*[100005+2]*[1+20000]*[10+3],0
6001,6,大厅成长礼包,1007,1008,3,0,50,[241059+1]*[100005+5]*[1+25000]*[10+4],0
,,,,,,,,,
7001,1,续费礼包,1011,1012,4,5,0,[120015+1]*[120016+1]*[120017+1]*[120018+1]*[120019+1],0
