士兵卡ID,士兵卡稀有度,士兵卡星级,描述,抽取概率,抽取系数
主键,1白2绿3蓝4紫5金,,,,
soldier_id,soldier_rare,soldier_star,null,gamble_rate,gamble_ratio
index,int,int,null,int,int
40000,1,1,骷髅战士,1000,1
40200,1,1,骷髅弓手,500,1
40100,1,1,木乃伊,125,1
10000,1,1,勇士,1000,1
10200,1,1,矮人火枪手,750,1
10300,1,1,盗贼,125,1
30100,1,1,精灵射手,500,1
30000,1,1,生命精灵,750,1
30400,1,1,水元素,250,1
40300,3,1,幽灵,250,1
40400,3,1,死灵召唤师,1000,1
40600,3,1,屠夫,750,1
40700,3,1,死亡骑士,125,1
12000,3,1,盾卫,750,1
10900,3,1,牧师,1000,1
11000,3,1,圣骑士,500,1
20000,3,1,嗜血狼人,125,1
30300,3,1,小鹿,750,1
31100,3,1,火元素,1000,1
30700,3,1,石巨人,65,1
41000,4,1,黑寡妇,250,1
40900,4,1,吸血鬼勋爵,125,1
10600,4,1,维京人之盾,750,1
10400,4,1,老铁匠,65,1
11100,4,1,影舞者,500,1
20900,4,1,投石车,65,1
31000,4,1,精灵女王,500,1
30900,4,1,森巨人,250,1
20500,4,1,牛头人,125,1
40800,5,1,巫妖,250,1
40500,5,1,雪女,125,1
10700,5,1,火焰女王,1000,1
10500,5,1,魔剑士,65,1
30500,5,1,夜刃,750,1
30800,5,1,海巨人,65,1
30600,5,1,赤焰幼龙,500,1
