签到奖励ID,月份,说明,道具ID,道具数量,道具数量角标显示,VIP等级领取双倍
双主键1,双主键2,策划,,,,（-1：为不论是否Vip都不双倍）
Checkin_ID,Checkin_Month,null,nGoodsID,nGoodsNum,nShowNum,nVipDoubleNeed
index,index,null,int,int,int,int
1,1,1月第1次,100005,1,1,1
2,1,1月第2次,2,50,50,2
3,1,1月第3次,103,3,3,-1
4,1,1月第4次,10,1,1,-1
5,1,1月第5次,50003,2,2,-1
6,1,1月第6次,2,50,50,-1
7,1,1月第7次,103,4,4,2
8,1,1月第8次,100005,1,1,1
9,1,1月第9次,2,50,50,2
10,1,1月第10次,103,5,5,-1
11,1,1月第11次,10,1,1,-1
12,1,1月第12次,50003,4,4,-1
13,1,1月第13次,2,50,50,-1
14,1,1月第14次,103,6,6,2
15,1,1月第15次,100005,2,2,1
16,1,1月第16次,2,50,50,2
17,1,1月第17次,103,7,7,-1
18,1,1月第18次,10,1,1,-1
19,1,1月第19次,50003,6,6,-1
20,1,1月第20次,2,50,50,-1
21,1,1月第21次,103,8,8,2
22,1,1月第22次,100005,2,2,1
23,1,1月第23次,2,50,50,2
24,1,1月第24次,103,9,9,-1
25,1,1月第25次,10,1,1,-1
26,1,1月第26次,50003,8,8,-1
1,2,2月第1次,100005,1,1,-1
2,2,2月第2次,2,50,50,-1
3,2,2月第3次,103,3,3,-1
4,2,2月第4次,10,1,1,-1
5,2,2月第5次,50035,2,2,-1
6,2,2月第6次,2,50,50,-1
7,2,2月第7次,103,4,4,-1
8,2,2月第8次,100005,1,1,-1
9,2,2月第9次,2,50,50,-1
10,2,2月第10次,103,5,5,-1
11,2,2月第11次,10,1,1,-1
12,2,2月第12次,50035,4,4,-1
13,2,2月第13次,2,50,50,-1
14,2,2月第14次,103,6,6,-1
15,2,2月第15次,100005,2,2,-1
16,2,2月第16次,2,50,50,-1
17,2,2月第17次,103,7,7,-1
18,2,2月第18次,10,1,1,-1
19,2,2月第19次,50035,6,6,-1
20,2,2月第20次,2,50,50,-1
21,2,2月第21次,103,8,8,-1
22,2,2月第22次,100005,2,2,-1
23,2,2月第23次,2,50,50,-1
24,2,2月第24次,103,9,9,-1
25,2,2月第25次,10,1,1,-1
26,2,2月第26次,50035,8,8,-1
1,3,3月第1次,100005,1,1,-1
2,3,3月第2次,2,50,50,-1
3,3,3月第3次,103,3,3,-1
4,3,3月第4次,10,1,1,-1
5,3,3月第5次,50023,2,2,-1
6,3,3月第6次,2,50,50,-1
7,3,3月第7次,103,4,4,-1
8,3,3月第8次,100005,1,1,-1
9,3,3月第9次,2,50,50,-1
10,3,3月第10次,103,5,5,-1
11,3,3月第11次,10,1,1,-1
12,3,3月第12次,50023,4,4,-1
13,3,3月第13次,2,50,50,-1
14,3,3月第14次,103,6,6,-1
15,3,3月第15次,100005,2,2,-1
16,3,3月第16次,2,50,50,-1
17,3,3月第17次,103,7,7,-1
18,3,3月第18次,10,1,1,-1
19,3,3月第19次,50023,6,6,-1
20,3,3月第20次,2,50,50,-1
21,3,3月第21次,103,8,8,-1
22,3,3月第22次,100005,2,2,-1
23,3,3月第23次,2,50,50,-1
24,3,3月第24次,103,9,9,-1
25,3,3月第25次,10,1,1,-1
26,3,3月第26次,50023,8,8,-1
1,4,4月第1次,100005,1,1,-1
2,4,4月第2次,2,50,50,-1
3,4,4月第3次,103,3,3,-1
4,4,4月第4次,10,1,1,-1
5,4,4月第5次,50033,2,2,-1
6,4,4月第6次,2,50,50,-1
7,4,4月第7次,103,4,4,-1
8,4,4月第8次,100005,1,1,-1
9,4,4月第9次,2,50,50,-1
10,4,4月第10次,103,3,3,-1
11,4,4月第11次,10,1,1,-1
12,4,4月第12次,50033,4,4,-1
13,4,4月第13次,2,50,50,-1
14,4,4月第14次,103,5,5,-1
15,4,4月第15次,100005,2,2,-1
16,4,4月第16次,2,50,50,-1
17,4,4月第17次,103,7,7,-1
18,4,4月第18次,10,1,1,-1
19,4,4月第19次,50033,6,6,-1
20,4,4月第20次,2,50,50,-1
21,4,4月第21次,103,8,8,-1
22,4,4月第22次,100005,2,2,-1
23,4,4月第23次,2,50,50,-1
24,4,4月第24次,103,9,9,-1
25,4,4月第25次,10,1,1,-1
26,4,4月第26次,50033,8,8,-1
1,5,5月第1次,100001,2,2,-1
2,5,5月第2次,100002,4,4,-1
3,5,5月第3次,100003,6,6,-1
4,5,5月第4次,100004,2,2,-1
5,5,5月第5次,100005,4,4,-1
6,5,5月第6次,100005,6,6,-1
7,5,5月第7次,201001,2,2,-1
8,5,5月第8次,201002,4,4,-1
9,5,5月第9次,201005,6,6,-1
10,5,5月第10次,201006,2,2,-1
11,5,5月第11次,201009,4,4,-1
12,5,5月第12次,201010,6,6,-1
13,5,5月第13次,201013,2,2,-1
14,5,5月第14次,201014,4,4,-1
15,5,5月第15次,201017,6,6,-1
16,5,5月第16次,201018,2,2,-1
17,5,5月第17次,201019,4,4,-1
18,5,5月第18次,201020,6,6,-1
19,5,5月第19次,201021,2,2,-1
20,5,5月第20次,201022,4,4,-1
21,5,5月第21次,201023,6,6,-1
22,5,5月第22次,201024,2,2,-1
23,5,5月第23次,201025,4,4,-1
24,5,5月第24次,201026,6,6,-1
25,5,5月第25次,201027,2,2,-1
26,5,5月第26次,201028,4,4,-1
1,6,6月第1次,100001,2,2,-1
2,6,6月第2次,100002,4,4,-1
3,6,6月第3次,100003,6,6,-1
4,6,6月第4次,100004,2,2,-1
5,6,6月第5次,100005,4,4,-1
6,6,6月第6次,100005,6,6,-1
7,6,6月第7次,201001,2,2,-1
8,6,6月第8次,201002,4,4,-1
9,6,6月第9次,201005,6,6,-1
10,6,6月第10次,201006,2,2,-1
11,6,6月第11次,201009,4,4,-1
12,6,6月第12次,201010,6,6,-1
13,6,6月第13次,201013,2,2,-1
14,6,6月第14次,201014,4,4,-1
15,6,6月第15次,201017,6,6,-1
16,6,6月第16次,201018,2,2,-1
17,6,6月第17次,201019,4,4,-1
18,6,6月第18次,201020,6,6,-1
19,6,6月第19次,201021,2,2,-1
20,6,6月第20次,201022,4,4,-1
21,6,6月第21次,201023,6,6,-1
22,6,6月第22次,201024,2,2,-1
23,6,6月第23次,201025,4,4,-1
24,6,6月第24次,201026,6,6,-1
25,6,6月第25次,201027,2,2,-1
26,6,6月第26次,201028,4,4,-1
1,7,7月第1次,100001,2,2,-1
2,7,7月第2次,100002,4,4,-1
