累计签到奖励ID,说明,累计天数,道具1ID,道具1数量,道具1数量角标显示,道具2ID,道具2数量,道具2数量角标显示,道具3ID,道具3数量,道具3数量角标显示
主键,策划,,,,,,,,,,
ConCheckin_ID,null,DayNeeds,nGoodsID,nGoodsNum,nShowNum,nGoodsID,nGoodsNum,nShowNum,nGoodsID,nGoodsNum,nShowNum
index,null,int,int,int,int,int,int,int,int,int,int
1,累计3天奖励,3,2,50,50,100003,5,5,103,2,2
2,累计5天奖励,5,2,50,50,100002,5,5,103,4,4
3,累计7天奖励,7,2,100,100,100001,5,5,103,6,6
4,累计10天奖励,10,2,100,100,100005,5,5,103,8,8
5,累计15天奖励,15,2,150,150,100004,5,5,103,10,10
6,累计30天奖励,30,2,200,200,100006,5,5,103,15,15
7,累计45天奖励,45,2,200,200,100006,5,5,103,15,15
8,累计60天奖励,60,2,200,200,100006,5,5,103,15,15
9,累计75天奖励,75,2,200,200,100006,5,5,103,15,15
10,累计90天奖励,90,2,200,200,100006,5,5,103,15,15
11,累计105天奖励,105,2,200,200,100006,5,5,103,15,15
12,累计120天奖励,120,2,200,200,100006,5,5,103,15,15
13,累计135天奖励,135,2,200,200,100006,5,5,103,15,15
14,累计150天奖励,150,2,200,200,100006,5,5,103,15,15
15,累计165天奖励,165,2,200,200,100006,5,5,103,15,15
16,累计180天奖励,180,2,200,200,100006,5,5,103,15,15
17,累计195天奖励,195,2,200,200,100006,5,5,103,15,15
18,累计210天奖励,210,2,200,200,100006,5,5,103,15,15
19,累计225天奖励,225,2,200,200,100006,5,5,103,15,15
20,累计240天奖励,240,2,200,200,100006,5,5,103,15,15
21,累计255天奖励,255,2,200,200,100006,5,5,103,15,15
22,累计270天奖励,270,2,200,200,100006,5,5,103,15,15
23,累计285天奖励,285,2,200,200,100006,5,5,103,15,15
24,累计300天奖励,300,2,200,200,100006,5,5,103,15,15
25,累计315天奖励,315,2,200,200,100006,5,5,103,15,15
26,累计330天奖励,330,2,200,200,100006,5,5,103,15,15
27,累计345天奖励,345,2,200,200,100006,5,5,103,15,15
28,累计360天奖励,360,2,200,200,100006,5,5,103,15,15
