装备ID,装备备注,套装ID,装配等级,装配部位,装等,装配职业限制,装备分解材料1,材料1数量,装备分解材料2,材料2数量,装备分解材料3,材料3数量,装备分解材料4,材料4数量,分解所需金币,附带额外Buff,激活几星天赋
,无效列，策划自己看,为套装效果预留的接口，0为无套装,多少级可以装备,1武器2头3衣服4鞋子5饰品6 宝具,程序对比数值用,1战士2刺客3射手4法师5辅助6卫士,对应的道具ID,,,,,,,,,2维数组[BuffID+层数]*[],1维数组[士兵ID+星级]
ID,null,Suit,Level,Parts,Rank,Vocation,Decomposit,DecompositionParam,Decomposit,DecompositionParam,Decomposit,DecompositionParam,Decomposit,DecompositionParam,Gold,Eq_ExtraBuff,Eq_ExtraTalent
index,null,int,int,int,int,json,int,int,int,int,int,int,int,int,int,json,json
20001,手斧(白),0,1,1,,[1+2+3+6],120013,1,,,,,,,100,[],
20002,手斧(绿),0,1,1,,[1+2+3+6],120013,1,,,,,,,100,[],
20005,短杖(白),0,1,1,,[4+5],120013,1,,,,,,,100,[],
20006,短杖(绿),0,1,1,,[4+5],120013,1,,,,,,,100,[],
20009,短剑(白),0,20,1,,[2],120013,3,120001,3,,,,,250,[],
20010,短剑(绿),0,20,1,,[2],120013,3,120001,3,,,,,250,[],
20011,短剑(蓝),0,20,1,,[2],120013,3,120001,3,,,,,250,[],
20012,短剑(紫),0,20,1,,[2],120013,3,120001,3,,,,,250,[],
20013,精灵杖(白),0,20,1,,[5],120013,3,120001,3,,,,,250,[],
20014,精灵杖(绿),0,20,1,,[5],120013,3,120001,3,,,,,250,[],
20015,精灵杖(蓝),0,20,1,,[5],120013,3,120001,3,,,,,250,[],
20016,精灵杖(紫),0,20,1,,[5],120013,3,120001,3,,,,,250,[],
20017,大锤(白),0,20,1,,[1],120013,3,120001,3,,,,,250,[],
20018,大锤(绿),0,20,1,,[1],120013,3,120001,3,,,,,250,[],
20019,大锤(蓝),0,20,1,,[1],120013,3,120001,3,,,,,250,[],
20020,大锤(紫),0,20,1,,[1],120013,3,120001,3,,,,,250,[],
20021,折叠弓(白),0,20,1,,[3],120013,3,120001,3,,,,,250,[],
20022,折叠弓(绿),0,20,1,,[3],120013,3,120001,3,,,,,250,[],
20023,折叠弓(蓝),0,20,1,,[3],120013,3,120001,3,,,,,250,[],
20024,折叠弓(紫),0,20,1,,[3],120013,3,120001,3,,,,,250,[],
20025,魔法杖(白),0,20,1,,[4],120013,3,120001,3,,,,,250,[],
20026,魔法杖(绿),0,20,1,,[4],120013,3,120001,3,,,,,250,[],
20027,魔法杖(蓝),0,20,1,,[4],120013,3,120001,3,,,,,250,[],
20028,魔法杖(紫),0,20,1,,[4],120013,3,120001,3,,,,,250,[],
20029,冲锋之斧(白),0,35,1,,[1],120013,9,120001,6,,,,,625,[],
20030,冲锋之斧(绿),0,35,1,,[1],120013,9,120001,6,,,,,625,[],
20031,冲锋之斧(蓝),0,35,1,,[1],120013,9,120001,6,,,,,625,[],
20032,冲锋之斧(紫),0,35,1,,[1],120013,9,120001,6,,,,,625,[],
20037,鹰之弓(白),0,35,1,,[3],120013,9,120001,6,,,,,625,[],
20038,鹰之弓(绿),0,35,1,,[3],120013,9,120001,6,,,,,625,[],
20039,鹰之弓(蓝),0,35,1,,[3],120013,9,120001,6,,,,,625,[],
20040,鹰之弓(紫),0,35,1,,[3],120013,9,120001,6,,,,,625,[],
20041,破甲刃(白),0,35,1,,[2],120013,9,120001,6,,,,,625,[],
20042,破甲刃(绿),0,35,1,,[2],120013,9,120001,6,,,,,625,[],
20043,破甲刃(蓝),0,35,1,,[2],120013,9,120001,6,,,,,625,[],
20044,破甲刃(紫),0,35,1,,[2],120013,9,120001,6,,,,,625,[],
20045,术士之杖(白),0,35,1,,[4],120013,9,120001,6,,,,,625,[],
20046,术士之杖(绿),0,35,1,,[4],120013,9,120001,6,,,,,625,[],
20047,术士之杖(蓝),0,35,1,,[4],120013,9,120001,6,,,,,625,[],
20048,术士之杖(紫),0,35,1,,[4],120013,9,120001,6,,,,,625,[],
20049,祭司之杖(白),0,35,1,,[5],120013,9,120001,6,,,,,625,[],
20050,祭司之杖(绿),0,35,1,,[5],120013,9,120001,6,,,,,625,[],
20051,祭司之杖(蓝),0,35,1,,[5],120013,9,120001,6,,,,,625,[],
20052,祭司之杖(紫),0,35,1,,[5],120013,9,120001,6,,,,,625,[],
20053,荣耀之剑(白),0,50,1,,[1],120013,18,120002,12,,,,,1250,[],
20054,荣耀之剑(绿),0,50,1,,[1],120013,18,120002,12,,,,,1250,[],
20055,荣耀之剑(蓝),0,50,1,,[1],120013,18,120002,12,,,,,1250,[],
20056,荣耀之剑(紫),0,50,1,,[1],120013,18,120002,12,,,,,1250,[],
20061,王牌火枪(白),0,50,1,,[3],120013,18,120002,12,,,,,1250,[],
20062,王牌火枪(绿),0,50,1,,[3],120013,18,120002,12,,,,,1250,[],
20063,王牌火枪(蓝),0,50,1,,[3],120013,18,120002,12,,,,,1250,[],
20064,王牌火枪(紫),0,50,1,,[3],120013,18,120002,12,,,,,1250,[],
20065,暗影之刃(白),0,50,1,,[2],120013,18,120002,12,,,,,1250,[],
20066,暗影之刃(绿),0,50,1,,[2],120013,18,120002,12,,,,,1250,[],
20067,暗影之刃(蓝),0,50,1,,[2],120013,18,120002,12,,,,,1250,[],
20068,暗影之刃(紫),0,50,1,,[2],120013,18,120002,12,,,,,1250,[],
20069,水晶之杖(白),0,50,1,,[4],120013,18,120002,12,,,,,1250,[],
20070,水晶之杖(绿),0,50,1,,[4],120013,18,120002,12,,,,,1250,[],
20071,水晶之杖(蓝),0,50,1,,[4],120013,18,120002,12,,,,,1250,[],
20072,水晶之杖(紫),0,50,1,,[4],120013,18,120002,12,,,,,1250,[],
20073,祝福之杖(白),0,50,1,,[5],120013,18,120002,12,,,,,1250,[],
20074,祝福之杖(绿),0,50,1,,[5],120013,18,120002,12,,,,,1250,[],
20075,祝福之杖(蓝),0,50,1,,[5],120013,18,120002,12,,,,,1250,[],
20076,祝福之杖(紫),0,50,1,,[5],120013,18,120002,12,,,,,1250,[],
20077,狂傲之剑(白),0,65,1,,[1],120013,30,120002,18,,,,,2500,[],
20078,狂傲之剑(绿),0,65,1,,[1],120013,30,120002,18,,,,,2500,[],
20079,狂傲之剑(蓝),0,65,1,,[1],120013,30,120002,18,,,,,2500,[],
20080,狂傲之剑(紫),0,65,1,,[1],120013,30,120002,18,,,,,2500,[],
20085,狩魂火枪(白),0,65,1,,[3],120013,30,120002,18,,,,,2500,[],
20086,狩魂火枪(绿),0,65,1,,[3],120013,30,120002,18,,,,,2500,[],
20087,狩魂火枪(蓝),0,65,1,,[3],120013,30,120002,18,,,,,2500,[],
20088,狩魂火枪(紫),0,65,1,,[3],120013,30,120002,18,,,,,2500,[],
20089,神行之刃(白),0,65,1,,[2],120013,30,120002,18,,,,,2500,[],
20090,神行之刃(绿),0,65,1,,[2],120013,30,120002,18,,,,,2500,[],
20091,神行之刃(蓝),0,65,1,,[2],120013,30,120002,18,,,,,2500,[],
20092,神行之刃(紫),0,65,1,,[2],120013,30,120002,18,,,,,2500,[],
20093,魔导之杖(白),0,65,1,,[4],120013,30,120002,18,,,,,2500,[],
20094,魔导之杖(绿),0,65,1,,[4],120013,30,120002,18,,,,,2500,[],
20095,魔导之杖(蓝),0,65,1,,[4],120013,30,120002,18,,,,,2500,[],
20096,魔导之杖(紫),0,65,1,,[4],120013,30,120002,18,,,,,2500,[],
20097,星语之杖(白),0,65,1,,[5],120013,30,120002,18,,,,,2500,[],
20098,星语之杖(绿),0,65,1,,[5],120013,30,120002,18,,,,,2500,[],
