装备生成ID,装备备注,生成道具ID,装备基础效果1,装备基础效果1参数,装备基础效果1描述,装备基础效果2,装备基础效果2参数,装备基础效果2描述,装备基础效果3,装备基础效果3参数,装备基础效果3描述,装备基础效果4,装备基础效果4参数,装备基础效果4描述,装备基础效果5,装备基础效果5参数,装备基础效果5描述,装备基础效果6,装备基础效果6参数,装备基础效果6描述,装备基础效果7,装备基础效果7参数,装备基础效果7描述,装备基础效果8,装备基础效果8参数,装备基础效果8描述,装备备选效果1,备选效果1权值,装备备选效果1参数,装备备选效果1描述,装备备选效果2,备选效果2权值,装备备选效果2参数,装备备选效果2描述,装备备选效果3,备选效果3权值,装备备选效果3参数,装备备选效果3描述,装备备选效果4,备选效果4权值,装备备选效果4参数,装备备选效果4描述,装备备选效果5,备选效果5权值,装备备选效果5参数,装备备选效果5描述,装备备选效果6,备选效果6权值,装备备选效果6参数,装备备选效果6描述,装备备选效果7,备选效果7权值,装备备选效果7参数,装备备选效果7描述,装备备选效果8,备选效果8权值,装备效果8参数,装备效果8描述
主键,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EqCreat_ID,null,nEquipID,Eq_Normal1,Eq_Normal1Param,Eq_Normal1Desc,Eq_Normal2,Eq_Normal2Param,Eq_Normal2Desc,Eq_Normal3,Eq_Normal3Param,Eq_Normal3Desc,Eq_Normal4,Eq_Normal4Param,Eq_Normal4Desc,Eq_Normal5,Eq_Normal5Param,Eq_Normal5Desc,Eq_Normal6,Eq_Normal6Param,Eq_Normal6Desc,Eq_Normal7,Eq_Normal7Param,Eq_Normal7Desc,Eq_Normal8,Eq_Normal8Param,Eq_Normal8Desc,Eq_Ability1,Eq_Chance1,Eq_Ability1Param,Eq_Ability1Desc,Eq_Ability2,Eq_Chance2,Eq_Ability2Param,Eq_Ability2Desc,Eq_Ability3,Eq_Chance3,Eq_Ability3Param,Eq_Ability3Desc,Eq_Ability4,Eq_Chance4,Eq_Ability4Param,Eq_Ability4Desc,Eq_Ability5,Eq_Chance5,Eq_Ability5Param,Eq_Ability5Desc,Eq_Ability6,Eq_Chance6,Eq_Ability6Param,Eq_Ability6Desc,Eq_Ability7,Eq_Chance7,Eq_Ability7Param,Eq_Ability7Desc,Eq_Ability8,Eq_Chance8,Eq_Ability8Param,Eq_Ability8Desc
index,null,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,int,json,int,int,int,json,int,int,int,json,int,int,int,json,int,int,int,json,int,int,int,json,int,int,Int,json,int,int,Int,json,int
201001,手斧生成器(白),20001,6,[23+33],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201002,手斧生成器(绿),20002,6,[27+39],34006,,,,,,,,,,,,,,,,,,,,,,6,5000,[3+5],34006,11,5000,[2+4],34011,,,,,,,,,,,,,,,,,,,,,,,,
201005,短杖生成器(白),20005,8,[23+33],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201006,短杖生成器(绿),20006,8,[27+39],34008,,,,,,,,,,,,,,,,,,,,,,8,5000,[3+5],34008,14,5000,[2+4],34014,,,,,,,,,,,,,,,,,,,,,,,,
201009,短剑生成器(白),20009,6,[54+78],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201010,短剑生成器(绿),20010,6,[63+91],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201011,短剑生成器(蓝),20011,6,[72+104],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201012,短剑生成器(紫),20012,6,[83+120],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201013,精灵杖生成器(白),20013,8,[61+88],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201014,精灵杖生成器(绿),20014,8,[71+102],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
201015,精灵杖生成器(蓝),20015,8,[81+118],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
201016,精灵杖生成器(紫),20016,8,[94+135],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
201017,大锤生成器(白),20017,6,[67+97],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201018,大锤生成器(绿),20018,6,[78+113],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
