活动ID,活动类型,活动名称,活动参与等级,时间类型,开启时间,关闭时间,活动目录按钮图标,活动目录名,备注1,备注2,备注3
,（1/2/3）,(语言包ID),,填0无限制，填1按时间戳，填2按创角时间,(年+月+日+时+分),(年+月+日+时+分),,,,,
GameOp_ID,GameOp_kinds,GameOp_name,GameOp_Lv,Game_Type,GameOp_starttime,GameOp_endtime,GameOp_MenuPic,GameOp_MenuName,null,null,null
index,int,int,int,int,int,json,string,int,null,null,null
1001,3,2074,1,2,0,259200,icon_recharge_04.png,2073,钜惠庆典,,创角时间——持续3天
1002,3,2077,1,2,0,259200,icon_flashcard_02.png,2076,欧皇养成总动员,,创角时间——持续3天
1003,3,2080,1,2,0,518400,icon_recharge_03.png,2079,消费献礼嘉年华,,创角时间——持续6天
1004,3,2083,1,2,0,86400,icon_button_exchange.png,2082,福到礼到欢乐到1,,创角当天——24H持续
1005,3,2083,1,2,86400,172800,icon_button_exchange.png,2082,福到礼到欢乐到2,,创角第2天——24H持续
1006,3,2083,1,2,172800,259200,icon_button_exchange.png,2082,福到礼到欢乐到3,,创角第3天——24H持续
1007,3,2083,1,2,259200,345600,icon_button_exchange.png,2082,福到礼到欢乐到4,,创角第4天——24H持续
1008,3,2083,1,2,345600,432000,icon_button_exchange.png,2082,福到礼到欢乐到5,,创角第5天——24H持续
1009,3,2083,1,2,432000,518400,icon_button_exchange.png,2082,福到礼到欢乐到6,,创角第6天——24H持续
1010,3,2083,1,2,518400,604800,icon_button_exchange.png,2082,福到礼到欢乐到7,,创角第7天——24H持续
1011,3,2083,1,2,604800,691200,icon_button_exchange.png,2082,福到礼到欢乐到8,,创角第8天——24H持续
1012,3,2083,1,2,691200,777600,icon_button_exchange.png,2082,福到礼到欢乐到9,,创角第9天——24H持续
1013,3,2083,1,2,777600,864000,icon_button_exchange.png,2082,福到礼到欢乐到10,,创角第10天——24H持续
1014,3,2083,1,2,864000,950400,icon_button_exchange.png,2082,福到礼到欢乐到11,,创角第11天——24H持续
1015,3,2083,1,2,950400,1036800,icon_button_exchange.png,2082,福到礼到欢乐到12,,创角第12天——24H持续
1016,3,2083,1,2,1036800,1123200,icon_button_exchange.png,2082,福到礼到欢乐到13,,创角第13天——24H持续
1017,3,2083,1,2,1123200,1209600,icon_button_exchange.png,2082,福到礼到欢乐到14,,创角第14天——24H持续
1018,3,2083,1,2,1209600,1296000,icon_button_exchange.png,2082,福到礼到欢乐到15,,创角第15天——24H持续
1019,3,2083,1,2,1296000,1382400,icon_button_exchange.png,2082,福到礼到欢乐到16,,创角第16天——24H持续
1020,3,2083,1,2,1382400,1468800,icon_button_exchange.png,2082,福到礼到欢乐到17,,创角第17天——24H持续
1021,3,2083,1,2,1468800,1555200,icon_button_exchange.png,2082,福到礼到欢乐到18,,创角第18天——24H持续
1022,3,2083,1,2,1555200,1641600,icon_button_exchange.png,2082,福到礼到欢乐到19,,创角第19天——24H持续
1023,3,2083,1,2,1641600,1728000,icon_button_exchange.png,2082,福到礼到欢乐到20,,创角第20天——24H持续
1024,3,2083,1,2,1728000,1814400,icon_button_exchange.png,2082,福到礼到欢乐到21,,创角第21天——24H持续
1025,3,2083,1,2,1814400,1900800,icon_button_exchange.png,2082,福到礼到欢乐到22,,创角第22天——24H持续
1026,3,2083,1,2,1900800,1987200,icon_button_exchange.png,2082,福到礼到欢乐到23,,创角第23天——24H持续
1027,3,2083,1,2,1987200,2073600,icon_button_exchange.png,2082,福到礼到欢乐到24,,创角第24天——24H持续
1028,3,2083,1,2,2073600,2160000,icon_button_exchange.png,2082,福到礼到欢乐到25,,创角第25天——24H持续
1029,3,2083,1,2,2160000,2246400,icon_button_exchange.png,2082,福到礼到欢乐到26,,创角第26天——24H持续
1030,3,2083,1,2,2246400,2332800,icon_button_exchange.png,2082,福到礼到欢乐到27,,创角第27天——24H持续
1031,3,2083,1,2,2332800,2419200,icon_button_exchange.png,2082,福到礼到欢乐到28,,创角第28天——24H持续
1032,3,2083,1,2,2419200,2505600,icon_button_exchange.png,2082,福到礼到欢乐到29,,创角第29天——24H持续
1033,3,2083,1,2,2505600,2592000,icon_button_exchange.png,2082,福到礼到欢乐到30,,创角第30天——24H持续
,,,,,,,,,,,
1034,3,2090,1,0,0,0,icon_recharge_06.png,2089,基金,,永久
,,,,,,,,,,,
1066,3,2096,1,2,259200,432000,220012.png,2095,感恩回馈七重奏,,创角第4天——创角第6天
,,,,,,,,,,,
1067,1,1381,1,2,172800,259200,220012.png,1381,超值抢购1,,创角第3天——24H持续
1068,1,1381,1,2,259200,345600,220012.png,1381,超值抢购2,,创角第4天——24H持续
1069,1,1381,1,2,345600,432000,220012.png,1381,超值抢购3,,创角第5天——24H持续
1070,1,1381,1,2,432000,518400,220012.png,1381,超值抢购4,,创角第6天——24H持续
,,,,,,,,,,,
1071,3,2105,1,2,518400,691200,icon_treasurechest_03.png,2104,多重大奖送不停,,创角第7天——创角第9天
,,,,,,,,,,,
1072,3,2077,1,2,259200,432000,icon_flashcard_02.png,2076,欧皇养成总动员2,,创角第4天——创角第6天
,,,,,,,,,,,
1073,3,2077,1,2,518400,691200,icon_flashcard_02.png,2076,欧皇养成总动员3,,创角第7天——创角第9天
,,,,,,,,,,,
1074,3,2150,1,1,1485360000,1486137599,icon_button_exchange.png,2149,春节累计登陆,,1/26-2/03
,,,,,,,,,,,
1075,3,2152,1,1,1485360000,1486137599,icon_recharge_04.png,2151,春节感恩充值,,1/26-2/03
,,,,,,,,,,,
1076,1,2154,1,1,1485360000,1485532799,220012.png,2153,新年特惠礼包,,1/26-1/27/2359
,,,,,,,,,,,
1077,1,2154,1,1,1485532800,1485705599,220012.png,2153,新年特惠礼包2,,1/28-1/29/2359
,,,,,,,,,,,
1078,1,2154,1,1,1485705600,1485878399,220012.png,2153,新年特惠礼包3,,1/30-1/31/2359
,,,,,,,,,,,
1079,1,2154,1,1,1485878400,1486051199,220012.png,2153,新年特惠礼包4,,2/1-2/3/2359
,,,,,,,,,,,
4001,4,2108,1,0,0,0,icon_monthcard.png,2107,月卡,,永久
,,,,,,,,,,,
5001,5,2147,1,1,1485360000,1486137599,operate_newyear_hb.png,2146,红包,,1/26-2/03
