活动ID,礼包ID,道具1,道具2,道具3,道具4,礼包原价,礼包现价折扣,礼包购买次数
主键,,,,,,,,
GameOp_ID,GameOpGoodsID,Goods1,Goods2,Goods3,Goods4,GameOp_price,GameOp_priceNew,GameOp_shoplimit
index,int,json,json,json,json,json,int,int
1067,1,[201028+1],[211028+1],[221028+1],[231028+1],[4+1600],80,1
1067,2,[50001+5],[50002+5],[50003+5],[50006+5],[4+1500],50,1
1067,3,[203+1],[203+1],[203+1],[203+1],[4+40],50,3
,,,,,,,,
1068,1,[201012+1],[211012+1],[221012+1],[231012+1],[4+1600],80,1
1068,2,[50022+5],[50023+5],[50024+5],[50025+5],[4+1500],50,1
1068,3,[203+1],[203+1],[203+1],[203+1],[4+40],50,3
,,,,,,,,
1069,1,[201039+1],[211039+1],[221039+1],[231039+1],[4+2000],80,1
1069,2,[50029+5],[50031+5],[50030+5],[50033+5],[4+1500],50,1
1069,3,[203+1],[203+1],[203+1],[203+1],[4+40],50,3
,,,,,,,,
1070,1,[201051+1],[211051+1],[221051+1],[231051+1],[4+2000],80,1
1070,2,[50015+5],[50009+5],[50035+5],[50006+5],[4+2000],50,1
1070,3,[203+1],[203+1],[203+1],[203+1],[4+40],50,3
,,,,,,,,
1076,1,[50030+5],[50024+5],[50025+5],[50009+5],[4+1500],50,1
1076,2,[203+1],[203+1],[203+1],[203+1],[4+40],50,1
,,,,,,,,
1077,1,[201024+1],[211024+1],[221024+1],[231024+1],[4+1600],50,1
1077,2,[203+1],[203+1],[203+1],[203+1],[4+40],50,1
,,,,,,,,
1078,1,[50006+5],[50033+5],[50022+5],[50035+5],[4+2000],50,1
1078,2,[203+1],[203+1],[203+1],[203+1],[4+40],50,1
,,,,,,,,
1079,1,[201016+1],[211016+1],[221016+1],[231016+1],[4+1600],50,1
1079,2,[203+1],[203+1],[203+1],[203+1],[4+40],50,1
,,,,,,,,
2051,1,[201020+1],[211020+1],[221020+1],[231020+1],[4+2000],14,1
2052,1,[120015+10],[120016+10],[120017+10],[120018+10],[4+2000],25,1
2053,1,[50032+40],[],[],[],[4+2000],34,1
2054,1,[9+1],[],[],[],[4+1800],50,1
2055,1,[1002+1],[211044+1],[221044+1],[],[4+3000],32,1
2056,1,[241032+1],[251032+1],[],[],[4+4000],30,1
2057,1,[50028+40],[],[],[],[4+6000],30,1
