活动ID,活动任务,名称,活动任务图标,任务描述语言包,完成条件,条件参数1,条件参数2,奖励1钻石,奖励2金币,奖励3道具,奖励4体力,宣传图,立即前往,每日成长标示,备注,,,
双主键之1,双主键之2,,,,,,,,,,,,,0不是每日成长1是每日成长,,,,
GameOp_ID,GameOp_taskID,Null,GameOptask_Pic,GameOptask_des,GameOp_condition,GameOp_conditionNum1,GameOp_conditionNum2,GameOp_award1,GameOp_award2,GameOp_award3,GameOp_award4,GameOp_Pic,Goto,Tag,null,,,
index,index,null,string,int,int,int,int,int,int,item,int,string,json,int,null,,,
1001,1,充值0,icon_task_01.png,2118,102,0,0,100,10000,[100002+2],,operate_charge.png,,,钻石100、金币10000、香蕉,,,
1001,2,充值300钻石,icon_task_01.png,2075,102,300,0,200,30000,[100001+2],,,,,钻石200、金币30000、凤梨2,,,
1001,3,充值500钻石,icon_task_01.png,2075,102,500,0,300,50000,[100001+3],,,,,钻石300、金币50000、凤梨3,,,
1001,4,充值880钻石,icon_task_01.png,2075,102,880,0,500,80000,[100001+4],,,,,钻石500、金币80000、凤梨4,,,
1001,5,充值3000钻石,icon_task_01.png,2075,102,3000,0,,100000,[50008+10]*[100001+5],,,,,牧师碎片10、凤梨5、金币100000,,,
1001,6,充值6000钻石,icon_task_01.png,2075,102,6000,0,,150000,[50008+15]*[100001+8],,,,,牧师碎片15、凤梨8、金币150000,,,
1001,7,充值10000钻石,icon_task_01.png,2075,102,10000,0,,200000,[50008+25]*[100001+12],,,,,牧师碎片25、凤梨12、金币200000,,,
,,,,,,,,,,,,,,,,,,
1002,1,抽卡5次,icon_task_01.png,2078,6,5,0,100,10000,[100003+5],,operate_draw.png,,,樱桃5、钻石100、金币10000,,,
1002,2,抽卡10次,icon_task_01.png,2078,6,10,0,150,20000,[100002+5],,,,,香蕉5、钻石150、金币20000,,,
1002,3,抽卡20次,icon_task_01.png,2078,6,20,0,200,30000,[100002+10],,,,,香蕉10、钻石200、金币30000,,,
1002,4,抽卡30次,icon_task_01.png,2078,6,30,0,,30000,[50023+10]*[100001+10],,,,,射手碎片10、凤梨 10、金币30000,,,
1002,5,抽卡50次,icon_task_01.png,2078,6,50,0,,40000,[50023+15]*[100001+15],,,,,射手碎片15、凤梨15、金币40000,,,
1002,6,抽卡80次,icon_task_01.png,2078,6,80,0,,50000,[50023+25]*[100005+10],,,,,射手碎片25、面包10、金币50000,,,
,,,,,,,,,,,,,,,,,,
1003,1,消费500钻石,icon_task_01.png,2081,47,500,,,10000,[100003+5],,operate_diamend.png,,,樱桃5、金币10000,,,
1003,2,消费1000钻石,icon_task_01.png,2081,47,1000,,,20000,[100002+5],,,,,香蕉5、金币20000,,,
1003,3,消费2000钻石,icon_task_01.png,2081,47,2000,,,30000,[100002+10],,,,,香蕉10、金币30000,,,
1003,4,消费5000钻石,icon_task_01.png,2081,47,5000,,,40000,[50036+5]*[100001+10],,,,,死骑碎片5、金币40000,,,风梨*10
1003,5,消费10000钻石,icon_task_01.png,2081,47,10000,,,50000,[50036+10]*[100001+15],,,,,死骑碎片10、金币50000,,,风梨*15
1003,6,消费20000钻石,icon_task_01.png,2081,47,20000,,,60000,[50036+15]*[100001+20],,,,,死骑碎片15、金币60000,,,风梨*20
1003,7,消费30000钻石,icon_task_01.png,2081,47,30000,,,80000,[50036+20]*[100005+20],,,,,死骑碎片20、金币80000,,,面包*20
1003,8,消费50000钻石,icon_task_01.png,2081,47,50000,,,100000,[50036+25]*[100005+30],,,,,死骑碎片25、金币100000,,,面包*30
,,,,,,,,,,,,,,,,,,
1004,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1004,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1004,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1004,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1004,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1004,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1004,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1004,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1005,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1005,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1005,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1005,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1005,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1005,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1005,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1005,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1006,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1006,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1006,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1006,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1006,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1006,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1006,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1006,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1007,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1007,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1007,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1007,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1007,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1007,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1007,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1007,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1008,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1008,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1008,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1008,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
