商品ID,说明,所属商店,道具ID,道具数量,所需货币 1金币 2竞技币 3塔币 4钻石 5公会币,价格,商品权值,折扣 1-100,商品稀有度,商品刷新等级下限,商品刷新等级上限
主键,商品ID不能超过65535,,,,,,,,,,
Goods_ID,Null,Goods_Shop,Goods_ItemID,Goods_ItemINumber,Goods_PriceType,Goods_Price,Goods_Desc,Goods_PriceOff,Goods_kinds,Goods_LvDown,Goods_LvUp
int,,int,int,int,int,int,int,int,int,int,int
1,樱桃(20),1,100003,20,1,200,937,100,0,0,14
2,香蕉(50),1,100002,10,1,625,468,100,0,0,14
3,凤梨(100),1,100001,5,1,1500,375,100,0,0,14
4,面包(150),1,100005,5,1,3000,47,100,0,0,14
5,火腿(200),1,100004,5,1,5000,47,100,0,0,14
16,樱桃(20),1,100003,20,1,200,500,100,0,15,29
17,香蕉(50),1,100002,10,1,625,500,100,0,15,29
18,凤梨(100),1,100001,5,1,1500,375,100,0,15,29
19,面包(150),1,100005,5,1,3000,375,100,0,15,29
20,火腿(200),1,100004,5,1,5000,125,100,0,15,29
21,鸡肉(300),1,100006,5,1,9000,125,100,0,15,29
22,初级经验书(500),1,100007,2,1,20000,65,100,0,15,29
23,樱桃(20),1,100003,20,1,200,250,100,0,30,44
24,香蕉(50),1,100002,10,1,625,375,100,0,30,44
25,凤梨(100),1,100001,5,1,1500,500,100,0,30,44
26,面包(150),1,100005,5,1,3000,375,100,0,30,44
27,火腿(200),1,100004,5,1,5000,125,100,0,30,44
28,鸡肉(300),1,100006,5,1,9000,125,100,0,30,44
29,初级经验书(500),1,100007,2,1,20000,65,100,0,30,44
30,樱桃(20),1,100003,20,1,200,125,100,0,45,59
31,香蕉(50),1,100002,10,1,625,250,100,0,45,59
32,凤梨(100),1,100001,5,1,1500,500,100,0,45,59
33,面包(150),1,100005,5,1,3000,375,100,0,45,59
34,火腿(200),1,100004,5,1,5000,125,100,0,45,59
35,鸡肉(300),1,100006,5,1,9000,125,100,0,45,59
36,初级经验书(500),1,100007,2,1,20000,125,100,0,45,59
37,手斧生成器(白),1,201001,1,1,15000,200,100,0,0,29
38,手斧生成器(绿),1,201002,1,1,25000,20,100,0,0,29
39,短杖生成器(白),1,201005,1,1,15000,200,100,0,0,29
40,短杖生成器(绿),1,201006,1,1,25000,20,100,0,0,29
41,头巾生成器(白),1,211001,1,1,15000,200,100,0,0,29
42,头巾生成器(绿),1,211002,1,1,25000,20,100,0,0,29
43,皮衣生成器(白),1,221001,1,1,15000,200,100,0,0,29
44,皮衣生成器(绿),1,221002,1,1,25000,20,100,0,0,29
45,皮靴生成器(白),1,231001,1,1,15000,200,100,0,0,29
46,皮靴生成器(绿),1,231002,1,1,25000,20,100,0,0,29
47,赤铜,1,120001,10,1,400,500,100,0,0,44
48,绢布,1,120005,10,1,400,500,100,0,0,44
49,锻造石,1,120013,20,1,400,500,100,0,0,44
50,赤铜,1,120001,20,1,400,500,100,0,45,100
51,钢铁,1,120002,20,1,800,250,100,0,45,100
52,绢布,1,120005,20,1,400,500,100,0,45,100
53,蚕丝,1,120006,20,1,800,250,100,0,45,100
54,锻造石,1,120013,30,1,400,500,100,0,45,100
55,骷髅战士碎片,1,50029,2,1,15000,50,100,0,0,100
56,骷髅弓手碎片,1,50031,2,1,15000,50,100,0,0,100
57,木乃伊碎片,1,50030,2,1,15000,50,100,0,0,100
58,勇士碎片,1,50001,2,1,15000,50,100,0,0,100
59,矮人火枪手碎片,1,50002,2,1,15000,50,100,0,0,100
60,盗贼碎片,1,50003,2,1,15000,50,100,0,0,100
61,精灵射手碎片,1,50023,2,1,15000,50,100,0,0,100
62,生命精灵碎片,1,50022,2,1,15000,50,100,0,0,100
63,水元素碎片,1,50025,2,1,15000,50,100,0,0,100
64,20级利刃图纸,1,120101,10,1,1200,100,100,0,0,29
65,20级手杖图纸,1,120102,10,1,1200,100,100,0,0,29
66,20级铸剑图纸,1,120103,10,1,1200,100,100,0,0,29
67,20级枪弓图纸,1,120104,10,1,1200,100,100,0,0,29
68,20级法杖图纸,1,120105,10,1,1200,100,100,0,0,29
69,20级重锤图纸,1,120197,10,1,1200,100,100,0,0,29
70,20级兜帽图纸,1,120121,10,1,1200,100,100,0,0,29
71,20级头环图纸,1,120122,10,1,1200,100,100,0,0,29
72,20级战盔图纸,1,120123,10,1,1200,100,100,0,0,29
73,20级毡帽图纸,1,120124,10,1,1200,100,100,0,0,29
74,20级高帽图纸,1,120125,10,1,1200,100,100,0,0,29
75,20级头盔图纸,1,120201,10,1,1200,100,100,0,0,29
76,20级披风图纸,1,120141,10,1,1200,100,100,0,0,29
77,20级软袍图纸,1,120142,10,1,1200,100,100,0,0,29
78,20级铠甲图纸,1,120143,10,1,1200,100,100,0,0,29
79,20级外套图纸,1,120144,10,1,1200,100,100,0,0,29
80,20级法袍图纸,1,120145,10,1,1200,100,100,0,0,29
81,20级铠甲图纸,1,120205,10,1,1200,100,100,0,0,29
82,20级筒靴图纸,1,120161,10,1,1200,100,100,0,0,29
83,20级软靴图纸,1,120162,10,1,1200,100,100,0,0,29
