道具ID,描述,道具名称,道具描述,道具图标名称,道具品质      ,道具类型,道具类型参数,出售价格,使用等级限制,快速前往关卡,掉落系数,背包界面所属标签
,策划用不用解析注意：1-100为资源预留用。不处理行为逻辑,语言包ID,语言包ID,,1白 2绿 3蓝 4紫 5金 6橙 7白金,1=装备 2=装备材料 3=英雄 4=召唤师 5=经验书 6=技能书 7=金币袋子 8=体力袋子 9=经验袋子 10=钻石袋子 11=宝箱 12=升星道具 13=装备生成器 14=资源 15=英雄碎片,当Type为装备时，参数代表对应装备ID,<=0为不可出售，其他正整数为出售金币价格,最低多少等级可以使用<=0为不限制其它正整数为限制等级,,,
ID,null,Name,Desc,Icon,Quality,Type,TypeParam,SellPrice,UseLevel,QuickToStage,Ratio,BagLabel
index,null,int,int,string,int,int,json,int,int,jsons,float,int
1,金币,30021,30022,pub_gold.png,1,14,[],0,1,[],1,0
2,钻石,30023,30024,pub_gem.png,1,14,[],0,1,[],1,0
3,竞技币,30025,30026,pub_fightcoin.png,1,14,[],0,1,[],1,0
4,能量碎片,30027,30028,pub_enfragment.png,1,14,[],0,1,[],1,0
5,体力,30029,30030,pub_energy.png,1,14,[],0,1,[],1,0
6,公会币,30031,30032,pub_points.png,1,14,[],0,1,[],1,0
7,玩家经验,30033,30034,icon_exp.png,1,14,[],0,1,[],1,0
9,十连抽卡券,30096,30097,icon_flashcard_02.png,5,14,[],0,1,[],1,0
10,单抽卡券,30035,30036,icon_flashcard_01.png,1,14,[],0,1,[],1,0
11,月卡,30037,30038,icon_monthcard.png,1,14,[],0,1,[],1,0
12,公会声望,30039,30040,pub_points.png,1,14,[],0,1,[],1,0
101,金币袋(小),30001,30002,icon_gold_01.png,1,7,[50+150],10,1,[],1,4
102,金币袋(中),30003,30004,icon_gold_02.png,2,7,[500+1500],10,1,[],1,4
103,金币袋(大),30005,30006,icon_gold_03.png,3,7,[4000+6000],10,1,[],1,4
111,钻石袋(小),30007,30008,icon_diamond_01.png,1,10,[5+15],10,1,[],1,4
112,钻石袋(中),30009,30010,icon_diamond_02.png,2,10,[40+60],10,1,[],1,4
113,钻石袋(大),30011,30012,icon_diamond_03.png,3,10,[80+120],10,1,[],1,4
121,体力瓶(小),30070,30071,icon_energybottle_01.png,1,8,[30+30],10,1,[],1,4
122,体力瓶(中),30072,30073,icon_energybottle_02.png,2,8,[60+60],10,1,[],1,4
123,体力瓶(大),30074,30075,icon_energybottle_03.png,3,8,[120+120],10,1,[],1,4
124,红包,35003,35004,operate_newyear_hb.png,1,7,[5+15],1,1,[],1,4
125,红包2,35005,35006,icon_gold_02.png,2,7,[6+15],1,1,[],1,4
126,红包3,35007,35008,icon_gold_03.png,3,7,[7+15],1,1,[],1,4
127,红包4,35009,35010,icon_gold_03.png,3,7,[8+15],1,1,[],1,4
201,新手礼包,30013,30014,icon_treasurebox_01.png,7,11,[101],10,1,[],1,4
202,GM礼包,30015,30016,icon_treasurebox_01.png,7,11,[1],10,1,[],1,4
203,2500金币礼包,30017,30018,icon_gold_03.png,3,7,[2500+2500],10,1,[],1,4
204,远征桑德利尔第1名宝箱,30076,30077,icon_treasurechest_03.png,5,11,[210001],10,1,[],1,4
205,远征桑德利尔第2名宝箱,30078,30079,icon_treasurechest_02.png,4,11,[210002],10,1,[],1,4
206,远征桑德利尔第3名宝箱,30080,30081,icon_treasurechest_01.png,3,11,[210003],10,1,[],1,4
207,远征桑德利尔第4-10名宝箱,30082,30083,icon_treasurechest_01.png,2,11,[210004],10,1,[],1,4
208,远征亚特兰第1名宝箱,30084,30085,icon_treasurechest_03.png,5,11,[220001],10,1,[],1,4
209,远征亚特兰第2名宝箱,30086,30087,icon_treasurechest_02.png,4,11,[220002],10,1,[],1,4
210,远征亚特兰第3名宝箱,30088,30089,icon_treasurechest_01.png,3,11,[220003],10,1,[],1,4
211,远征亚特兰第4-10名宝箱,30090,30091,icon_treasurechest_01.png,2,11,[220004],10,1,[],1,4
212,远征桑德利尔通关宝箱,30092,30093,icon_treasurechest_01.png,1,11,[205001],10,1,[],1,4
213,远征亚特兰通关宝箱,30094,30095,icon_treasurechest_01.png,1,11,[205002],10,1,[],1,4
251,符石袋子,30411,30412,icon_materialbag_01.png,5,11,[30001],10,1,[],1,4
252,人族技能福袋,30413,30414,icon_skillstone.png,5,11,[30002],10,1,[],1,4
253,装备材料礼盒,30417,30418,icon_package_07.png,3,11,[30003],10,1,[],1,4
1000,火法,1001000,1001002,icon_summoner_1000.png,5,4,[1000+1],0,1,[],1,0
1001,冰霜女皇,1001100,1001102,icon_summoner_1100.png,5,4,[1100+1],0,1,[],1,0
1002,刺客,1001200,1001202,icon_summoner_1200.png,5,4,[1200+1],0,1,[],1,0
1003,艾丽卡,1001300,1001302,icon_summoner_1300.png,5,4,[1300+1],0,1,[],1,0
1004,约修亚,1001400,1001402,icon_summoner_1400.png,5,4,[1400+1],0,1,[],1,0
1005,莱奥,1001500,1001502,icon_summoner_1500.png,5,4,[1500+1],0,1,[],1,0
1006,罗迪亚克,1001600,1001602,icon_summoner_1600.png,5,4,[1600+1],0,1,[],1,0
10034,1星盗贼,1010300,1010302,h_soldierhead_10304.png,1,3,[10300+1],0,1,[],1,0
10086,3星牛头人,1020500,1020502,h_soldierhead_20505.png,3,3,[20500+3],0,1,[],1,0
10131,1星盾卫,1012000,1012002,h_soldierhead_12004.png,3,3,[12000+1],0,1,[],1,0
10132,1星小鹿,1030300,1030302,h_soldierhead_30304.png,3,3,[30300+1],0,1,[],1,0
10133,1星炽焰幼龙,1050000,1050002,h_soldierhead_50004.png,5,3,[30600+1],0,1,[],1,0
20001,手斧(白),32017,32018,200003.png,1,1,[20001],300,1,[55+1],1,2
20002,手斧(绿),32017,32018,200003.png,2,1,[20002],500,1,[55+1],1,2
20005,短杖(白),32003,32004,200029.png,1,1,[20005],300,1,[55+1],1,2
20006,短杖(绿),32003,32004,200029.png,2,1,[20006],500,1,[55+1],1,2
20009,粗制短刃(白),32001,32002,200051.png,1,1,[20009],1250,20,[],1,2
20010,粗制短刃(绿),32001,32002,200051.png,2,1,[20010],2000,20,[],1,2
20011,粗制短刃(蓝),32001,32002,200051.png,3,1,[20011],2750,20,[],1,2
20012,粗制短刃(紫),32001,32002,200051.png,4,1,[20012],3500,20,[],1,2
20013,祈福手杖(白),32019,32020,200058.png,1,1,[20013],1250,20,[],1,2
20014,祈福手杖(绿),32019,32020,200058.png,2,1,[20014],2000,20,[],1,2
20015,祈福手杖(蓝),32019,32020,200058.png,3,1,[20015],2750,20,[],1,2
20016,祈福手杖(紫),32019,32020,200058.png,4,1,[20016],3500,20,[],1,2
20017,单手剑(白),32033,32034,200050.png,1,1,[20017],1250,20,[],1,2
20018,单手剑(绿),32033,32034,200050.png,2,1,[20018],2000,20,[],1,2
20019,单手剑(蓝),32033,32034,200050.png,3,1,[20019],2750,20,[],1,2
20020,单手剑(紫),32033,32034,200050.png,4,1,[20020],3500,20,[],1,2
20021,藤蔓长弓(白),32035,32036,200017.png,1,1,[20021],1250,20,[],1,2
20022,藤蔓长弓(绿),32035,32036,200017.png,2,1,[20022],2000,20,[],1,2
20023,藤蔓长弓(蓝),32035,32036,200017.png,3,1,[20023],2750,20,[],1,2
20024,藤蔓长弓(紫),32035,32036,200017.png,4,1,[20024],3500,20,[],1,2
20025,学徒法杖(白),32037,32038,200036.png,1,1,[20025],1250,20,[],1,2
20026,学徒法杖(绿),32037,32038,200036.png,2,1,[20026],2000,20,[],1,2
20027,学徒法杖(蓝),32037,32038,200036.png,3,1,[20027],2750,20,[],1,2
