掉落规则ID,单次掉落种类数量,可否暴击,可否重复,额外掉落,玩家经验,金币,钻石,竞技币,能量碎片,公会贡献,抽卡券,掉落1ID,掉落1概率,掉落1数量,掉落2ID,掉落2概率,掉落2数量,掉落3ID,掉落3概率,掉落3数量,掉落4ID,掉落4概率,掉落4数量,掉落5ID,掉落5概率,掉落5数量,掉落6ID,掉落6概率,掉落6数量,掉落7ID,掉落7概率,掉落7数量,掉落8ID,掉落8概率,掉落8数量,掉落9ID,掉落9概率,掉落9数量,掉落10ID,掉落10概率,掉落10数量,掉落11ID,掉落11概率,掉落11数量,掉落12ID,掉落12概率,掉落12数量,掉落13ID,掉落13概率,掉落13数量,掉落14ID,掉落14概率,掉落14数量,掉落15ID,掉落15概率,掉落15数量,掉落16ID,掉落16概率,掉落16数量,掉落17ID,掉落17概率,掉落17数量,掉落18ID,掉落18概率,掉落18数量,掉落19ID,掉落19概率,掉落19数量,掉落20ID,掉落20概率,掉落20数量,掉落21ID,掉落21概率,掉落21数量,掉落22ID,掉落22概率,掉落22数量,掉落23ID,掉落23概率,掉落23数量,掉落24ID,掉落24概率,掉落24数量,掉落25ID,掉落25概率,掉落25数量,掉落26ID,掉落26概率,掉落26数量,掉落27ID,掉落27概率,掉落27数量,掉落28ID,掉落28概率,掉落28数量,掉落29ID,掉落29概率,掉落29数量,掉落30ID,掉落30概率,掉落30数量
其他系统通过此ID决定如何掉落,每次执行同时选出n个物品,0不可以1可以,同物品ID0不可以1可以,规则ID,F至L列填写规则[资源道具ID+下限量+上限量]加新资源时必须找程序加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DropRuleID,MeanwhileDropNum,IsCrit,IsRepeat,ExtraDropRuleID,Exp,Gold,Diamond,PvpCoin,TowerCoin,GuildContribution,Flashcrad,Drop1ID,Drop1Rate,Drop1Num,Drop2ID,Drop2Rate,Drop2Num,Drop3ID,Drop3Rate,Drop3Num,Drop4ID,Drop4Rate,Drop4Num,Drop5ID,Drop5Rate,Drop5Num,Drop6ID,Drop6Rate,Drop6Num,Drop7ID,Drop7Rate,Drop7Num,Drop8ID,Drop8Rate,Drop8Num,Drop9ID,Drop9Rate,Drop9Num,Drop10ID,Drop10Rate,Drop10Num,Drop11ID,Drop11Rate,Drop11Num,Drop12ID,Drop12Rate,Drop12Num,Drop13ID,Drop13Rate,Drop13Num,Drop14ID,Drop14Rate,Drop14Num,Drop15ID,Drop15Rate,Drop15Num,Drop16ID,Drop16Rate,Drop16Num,Drop17ID,Drop17Rate,Drop17Num,Drop18ID,Drop18Rate,Drop18Num,Drop19ID,Drop19Rate,Drop19Num,Drop20ID,Drop20Rate,Drop20Num,Drop21ID,Drop21Rate,Drop21Num,Drop22ID,Drop22Rate,Drop22Num,Drop23ID,Drop23Rate,Drop23Num,Drop24ID,Drop24Rate,Drop24Num,Drop25ID,Drop25Rate,Drop25Num,Drop26ID,Drop26Rate,Drop26Num,Drop27ID,Drop27Rate,Drop27Num,Drop28ID,Drop28Rate,Drop28Num,Drop29ID,Drop29Rate,Drop29Num,Drop30ID,Drop30Rate,Drop30Num
index,json,int,int,json,json,json,json,json,json,json,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json,int,int,json
1,[0+0],0,0,,,[1+999999+999999],[2+999999+999999],[3+999999+999999],[4+999999+999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,[1+1],0,0,,,,,,,,,124,10000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,[0+0],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,[3+3],0,0,,[7+10+10],[1+200+200],,,,,,100003,3333,[1+1],211002,3333,[1+1],10132,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,[3+3],0,0,,[7+10+10],[1+200+200],,,,,,100003,3333,[1+1],221002,3333,[1+1],10131,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,[3+3],0,0,,[7+10+10],[1+400+400],,,,,,100003,3333,[1+1],100002,3333,[1+1],231002,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,[3+3],0,0,,[7+20+20],[1+200+200],,,,,,100003,3333,[1+1],201005,3333,[1+1],201002,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
