天数,备注1,图标,描述,时间,活动类型1,活动每日福利,活动类型1,活动每日任务,活动类型1,活动一折礼包,登录奖励预览,任务奖励预览,折扣贩卖预览
,,图标美术资源,语言包ID,开启+结束 1为第一天零点零分1秒 2为第二天零点零分1秒,（1礼包/2掉落/3任务）,活动ID,（1礼包/2掉落/3任务）,活动ID,（1礼包/2掉落/3任务）,活动ID,道具表ID,道具表ID,道具表ID
Days,null,Icon,Desc,Time,Type1,OpID1,Type2,OpID2,Type3,OpID3,ForeGoods1,ForeGoods2,ForeGoods3
index,null,string,int,json,int,int,int,int,int,int,json,json,json
1,第1天,pub_gem.png,30023,[1+2],3,2001,3,2002,1,2051,[2+22501+21501+23501],[211010+201010+231010+100003],[201020+211020+221020+231020]
2,第2天,icon_flashcard_02.png,30096,[2+3],3,2003,3,2004,1,2052,[9+50024+1],[221022+100002+120013+120005],[120015+120016+120017+120018]
3,第3天,h_soldierhead_40304.png,33063,[3+4],3,2005,3,2006,1,2053,[50032+1],[120013+120005+120001+120102],[50032]
4,第4天,h_soldierhead_30000.png,33043,[4+5],3,2007,3,2008,1,2054,[50024+50022+1],[120013+120005+10+2],[9]
5,第5天,icon_summoner_1200.png,35001,[5+6],3,2009,3,2010,1,2055,[50024+120013+120001+1],[1+2+100002],[1002+211044+221044]
6,第6天,h_soldierhead_40105.png,33059,[6+7],3,2011,3,2012,1,2056,[50030+50024+1],[120013+120005+10+2],[241032+251032]
7,第7天,h_soldierhead_30905.png,33055,[7+8],3,2013,3,2014,1,2057,[50028+50024+1],[120013+120005+10+2],[50028]
