英雄ID,描述,英雄初始星级,英雄上限星级,英雄获取的立即前往,卡牌所属条目
主键,（不解析）,,,,-2为抽卡限定；-1为活动限定；1-7则是对应的阶级竞技场
SoldierID,null,DefaultStar,TopStar,QuickToStage,Source
index,null,int,int,jsons,int
10000,勇士,1,7,[48],1
10200,矮人火枪手,1,7,[48],1
10300,盗贼,1,7,[48],1
10400,老铁匠,1,7,[48],3
10500,魔剑士,1,7,[48],4
10600,维京人之盾,1,7,[48],2
10700,火焰女王,1,7,[48],6
10900,牧师,1,7,[48],2
11000,圣骑士,1,7,[48],2
11100,影舞者,1,7,[48],4
12000,盾妹,1,7,[48],4
20000,嗜血狼人,1,7,[48],1
20500,牛头人,1,7,[48],4
20900,投石车,1,7,[48],4
30000,生命精灵,1,7,[48],1
30100,精灵射手,1,7,[48],1
30300,小鹿,1,7,[48],3
30400,水元素,1,7,[48],2
30500,夜刃,1,7,[48],3
30600,炽焰幼龙,1,7,[48],2
30700,石巨人,1,7,[48],5
30800,海巨人,1,7,[48],7
30900,森巨人,1,7,[48],6
31000,精灵女王,1,7,[48],5
31100,火元素,1,7,[48],3
40000,骷髅战士,1,7,[48],1
40100,木乃伊,1,7,[48],3
40200,骷髅弓手,1,7,[48],1
40300,幽灵,1,7,[48],2
40400,死灵召唤师,1,7,[48],3
40500,雪女,1,7,[48],5
40600,屠夫,1,7,[48],2
40700,死亡骑士,1,7,[48],3
40800,巫妖,1,7,[48],7
40900,吸血鬼勋爵,1,7,[48],5
41000,黑寡妇,1,7,[48],2
