天赋ID,释义,天赋名,天赋描述,天赋图标,属性加成1,属性加成1参数,属性加成2,属性加成2参数,属性加成3,属性加成3参数,属性加成4,属性加成4参数,技能加成
主键（小到大 左到右）,不解析,语言包,语言包,美术资源,战斗外属性加成表主键,,战斗外属性加成表主键,,,战斗外属性加成表主键,,战斗外属性加成表主键,[BuffID+层数]*[BuffID+层数]
ID,Null,TalentName,TalentDes,TalentPic,OutterBonusSettingID1,OutterBonusSettingNum1,OutterBonusSettingID2,OutterBonusSettingNum2,OutterBonusSettingID3,OutterBonusSettingNum3,OutterBonusSettingID4,OutterBonusSettingNum4,BuffID
int,null,int,int,string,int,int,int,int,int,int,int,int,int
1,热血 百分比物攻,3001001,3001002,Human_Talent1_Icon.png,7,15,,,,,,,
2,破甲 攻击减甲,3002001,3002002,Human_Talent2_Icon.png,,,,,,,,,[902+1]
3,远征 移速增加,3003001,3003002,Human_Talent3_Icon.png,3,20,,,,,,,
4,保疆 己方建筑增加护甲,3004001,3004002,Human_Talent4_Icon.png,,,,,,,,,[904+1]
5,士气 在场时 己方人族卡牌的CD减少3%（同一角色效果不可叠加）,3005001,3005002,Human_Talent5_Icon.png,,,,,,,,,[900+1]*[905+1]
6,动员 在场时 己方人族卡牌的水晶消耗减少5点（同一角色效果不可叠加）,3006001,3006002,Human_Talent6_Icon.png,,,,,,,,,[901+1]*[906+1]
7,海盗 出场偷取5点水晶,3007001,3007002,Human_Talent7_Icon.png,,,,,,,,,[907+1]*[909+1]
8,精英 攻击附带K倍自身等级的真实伤害,3008001,3008002,Human_Talent8_Icon.png,,,,,,,,,[908+1]
,,,,,,,,,,,,,
11,治愈 增加生命恢复,3011001,3011002,Nature_Talent1_Icon.png,,,,,,,,,[911+1]
12,天泽 增加生命最大值,3012001,3012002,Nature_Talent2_Icon.png,5,15,,,,,,,
13,宁静 魔法伤害百分比降低,3013001,3013002,Nature_Talent3_Icon.png,13,20,,,,,,,
