任务ID,说明,任务标题,任务类型,任务图标,完成条件描述,解锁等级,是否显示,立即前往,完成条件,条件参数1,条件参数2,条件参数3,需完成次数,未完成提示,奖励经验,奖励金币,奖励钻石,奖励体力,奖励抽卡券,奖励道具,结束后启动,重置周期,重置周期参数
,策划看不用解析,,1=主线        2=日常,,,,0=不显示         1=显示,[]表示没有立即前往, 1=通关指定关卡                2=为任意英雄穿戴装备         3=为任意英雄升级           4=为任意英雄升星          5=为任意英雄技能升级           6=抽卡N次                    7=使用任意经验卡              8=点金（钻石购买体力）9=领取每日体力,填0表示没有意义,填0表示没有意义,填0表示没有意义,,填0表示没有tips  语言包对应文字ID,填0表示没有，不显示,填0表示没有，不显示,填0表示没有，不显示,填0表示没有，不显示,,填[]表示没有，不显示          界面挤不开，最多配2个道具,填[]表示没有要启动的任务, 0=不可重置           1=日重置     2=周重置,填[]表示没参数
ID,Null,Title,Type,Icon,Desc,UnlockLv,Show,QuickTo,FinishCondition,,,,CompleteTimes,Tips,AwardExp,AwardCoin,AwardDiamond,AwardEnergy,AwardFlashcard,AwardItems,EndStartID,TaskReset,TaskResetParameters
index,null,int,int,string,int,int,int,json,int,int,int,int,int,int,int,int,int,int,int,item,json,int,json
3,通过普通关卡第一章第3关,50000,1,icon_task_01.png,50001,1,1,[10+1+103],27,103,0,0,1,0,0,1000,30,0,0,[],[6],0,[]
6,通过普通关卡第一章第6关,50006,1,icon_task_01.png,50007,1,1,[10+1+106],27,106,0,0,1,0,0,1000,30,0,0,[],[9],0,[]
9,通过普通关卡第一章第9关,50008,1,icon_task_01.png,50009,1,1,[10+1+109],27,109,0,0,1,0,0,1000,30,0,0,[],[12],0,[]
12,通过普通关卡第一章第12关,50010,1,icon_task_01.png,50011,1,1,[10+1+112],27,112,0,0,1,0,0,1000,30,0,0,[],[15],0,[]
15,通过普通关卡第一章第15关,50012,1,icon_task_01.png,50013,1,1,[10+1+115],27,115,0,0,1,0,0,1000,30,0,0,[],[21],0,[]
21,通过普通关卡第二章第3关,50016,1,icon_task_01.png,50017,1,1,[10+2+203],27,203,0,0,1,0,0,1000,30,0,0,[],[24],0,[]
24,通过普通关卡第二章第6关,50018,1,icon_task_01.png,50019,1,1,[10+2+206],27,206,0,0,1,0,0,1000,30,0,0,[],[27],0,[]
27,通过普通关卡第二章第9关,50020,1,icon_task_01.png,50021,1,1,[10+2+209],27,209,0,0,1,0,0,1000,30,0,0,[],[30],0,[]
30,通过普通关卡第二章第12关,50022,1,icon_task_01.png,50023,1,1,[10+2+212],27,212,0,0,1,0,0,1000,30,0,0,[],[33],0,[]
33,通过普通关卡第二章第15关,50024,1,icon_task_01.png,50025,1,1,[10+2+215],27,215,0,0,1,0,0,1000,30,0,0,[],[39],0,[]
39,通过普通关卡第三章第3关,50028,1,icon_task_01.png,50029,1,1,[10+3+303],27,303,0,0,1,0,0,1000,30,0,0,[],[42],0,[]
42,通过普通关卡第三章第6关,50030,1,icon_task_01.png,50031,1,1,[10+3+306],27,306,0,0,1,0,0,1000,30,0,0,[],[45],0,[]
45,通过普通关卡第三章第9关,50032,1,icon_task_01.png,50033,1,1,[10+3+309],27,309,0,0,1,0,0,1000,30,0,0,[],[48],0,[]
48,通过普通关卡第三章第12关,50034,1,icon_task_01.png,50035,1,1,[10+3+312],27,312,0,0,1,0,0,1000,30,0,0,[],[51],0,[]
51,通过普通关卡第三章第15关,50036,1,icon_task_01.png,50037,1,1,[10+3+315],27,315,0,0,1,0,0,1000,30,0,0,[],[57],0,[]
57,通过普通关卡第四章第3关,50040,1,icon_task_01.png,50041,1,1,[10+4+403],27,403,0,0,1,0,0,1000,30,0,0,[],[60],0,[]
60,通过普通关卡第四章第6关,50042,1,icon_task_01.png,50043,1,1,[10+4+406],27,406,0,0,1,0,0,1000,30,0,0,[],[63],0,[]
63,通过普通关卡第四章第9关,50044,1,icon_task_01.png,50045,1,1,[10+4+409],27,409,0,0,1,0,0,1000,30,0,0,[],[66],0,[]
66,通过普通关卡第四章第12关,50046,1,icon_task_01.png,50047,1,1,[10+4+412],27,412,0,0,1,0,0,1000,30,0,0,[],[69],0,[]
69,通过普通关卡第四章第15关,50048,1,icon_task_01.png,50049,1,1,[10+4+415],27,415,0,0,1,0,0,1000,30,0,0,[],[75],0,[]
75,通过普通关卡第五章第3关,50052,1,icon_task_01.png,50053,1,1,[10+5+503],27,503,0,0,1,0,0,1000,30,0,0,[],[78],0,[]
78,通过普通关卡第五章第6关,50054,1,icon_task_01.png,50055,1,1,[10+5+506],27,506,0,0,1,0,0,1000,30,0,0,[],[81],0,[]
81,通过普通关卡第五章第9关,50056,1,icon_task_01.png,50057,1,1,[10+5+509],27,509,0,0,1,0,0,1000,30,0,0,[],[84],0,[]
84,通过普通关卡第五章第12关,50058,1,icon_task_01.png,50059,1,1,[10+5+512],27,512,0,0,1,0,0,1000,30,0,0,[],[87],0,[]
