语言ID,说明,CN,,,,,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
60000,成就1标题,初生之犊Ⅰ,,,,,
60001,成就1说明,玩家等级达到15级,,,,,
60002,成就2标题,初生之犊Ⅱ,,,,,
60003,成就2说明,玩家等级达到25级,,,,,
60004,成就3标题,初生之犊Ⅲ,,,,,
60005,成就3说明,玩家等级达到35级,,,,,
60006,成就4标题,高人一等Ⅰ,,,,,
60007,成就4说明,玩家等级达到45级,,,,,
60008,成就5标题,高人一等Ⅱ,,,,,
60009,成就5说明,玩家等级达到55级,,,,,
60010,成就6标题,高人一等Ⅲ,,,,,
60011,成就6说明,玩家等级达到65级,,,,,
60012,成就7标题,独当一面Ⅰ,,,,,
60013,成就7说明,玩家等级达到75级,,,,,
60014,成就8标题,独当一面Ⅱ,,,,,
60015,成就8说明,玩家等级达到85级,,,,,
60016,成就9标题,独当一面Ⅲ,,,,,
60017,成就9说明,玩家等级达到95级,,,,,
60018,成就10标题,得力双雄Ⅰ,,,,,
60019,成就10说明,拥有2个10级的英雄,,,,,
60020,成就11标题,得力双雄Ⅱ,,,,,
60021,成就11说明,拥有2个20级的英雄,,,,,
60022,成就12标题,得力双雄Ⅲ,,,,,
60023,成就12说明,拥有2个30级的英雄,,,,,
60024,成就13标题,四足鼎立Ⅰ,,,,,
60025,成就13说明,拥有4个40级的英雄,,,,,
60026,成就14标题,四足鼎立Ⅱ,,,,,
60027,成就14说明,拥有4个50级的英雄,,,,,
60028,成就15标题,四足鼎立Ⅲ,,,,,
60029,成就15说明,拥有4个60级的英雄,,,,,
60030,成就16标题,群起之势Ⅰ,,,,,
60031,成就16说明,拥有7个70级的英雄,,,,,
60032,成就17标题,群起之势Ⅱ,,,,,
60033,成就17说明,拥有7个80级的英雄,,,,,
60034,成就18标题,群起之势Ⅲ,,,,,
60035,成就18说明,拥有7个90级的英雄,,,,,
60036,成就19标题,精英麾下Ⅰ,,,,,
60037,成就19说明,拥有任意2星英雄,,,,,
60038,成就20标题,精英麾下Ⅱ,,,,,
60039,成就20说明,拥有任意3星英雄,,,,,
60040,成就21标题,精英麾下Ⅲ,,,,,
60041,成就21说明,拥有任意4星英雄,,,,,
60042,成就22标题,王牌将领Ⅰ,,,,,
60043,成就22说明,拥有任意5星英雄,,,,,
60044,成就23标题,王牌将领Ⅱ,,,,,
60045,成就23说明,拥有任意6星英雄,,,,,
60046,成就24标题,王牌将领Ⅲ,,,,,
60047,成就24说明,拥有任意7星英雄,,,,,
60048,成就25标题,熟能生巧Ⅰ,,,,,
60049,成就25说明,任意英雄的任意技能升到3级,,,,,
60050,成就26标题,熟能生巧Ⅱ,,,,,
60051,成就26说明,任意英雄的任意技能升到4级,,,,,
60052,成就27标题,熟能生巧Ⅲ,,,,,
60053,成就27说明,任意英雄的任意技能升到5级,,,,,
60054,成就28标题,炫彩紫气Ⅰ,,,,,
60055,成就28说明,拥有8件紫色品质的装备,,,,,
60056,成就29标题,炫彩紫气Ⅱ,,,,,
60057,成就29说明,拥有12件紫色品质的装备,,,,,
60058,成就30标题,炫彩紫气Ⅲ,,,,,
60059,成就30说明,拥有16件紫色品质的装备,,,,,
60060,成就31标题,五湖四海Ⅰ,,,,,
60061,成就31说明,拥有10个不同的英雄,,,,,
60062,成就32标题,五湖四海Ⅱ,,,,,
60063,成就32说明,拥有15个不同的英雄,,,,,
60064,成就33标题,五湖四海Ⅲ,,,,,
60065,成就33说明,拥有20个不同的英雄,,,,,
60066,成就34标题,求同存异Ⅰ,,,,,
60067,成就34说明,拥有25个不同的英雄,,,,,
60068,成就35标题,求同存异Ⅱ,,,,,
60069,成就35说明,拥有30个不同的英雄,,,,,
60070,成就36标题,求同存异Ⅲ,,,,,
60071,成就36说明,拥有35个不同的英雄,,,,,
60072,成就37标题,卧虎藏龙Ⅰ,,,,,
60073,成就37说明,拥有5个不同的召唤师,,,,,
60074,成就38标题,卧虎藏龙Ⅱ,,,,,
60075,成就38说明,拥有10个不同的召唤师,,,,,
60076,成就39标题,卧虎藏龙Ⅲ,,,,,
60077,成就39说明,拥有15个不同的召唤师,,,,,
60078,成就40标题,逐星者Ⅰ,,,,,
60079,成就40说明,关卡累计获得50颗星星,,,,,
60080,成就41标题,逐星者Ⅱ,,,,,
60081,成就41说明,关卡累计获得100颗星星,,,,,
60082,成就42标题,逐星者Ⅲ,,,,,
60083,成就42说明,关卡累计获得150颗星星,,,,,
60084,成就43标题,星宇争辉Ⅰ,,,,,
