语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
1,系统提示,大部分刺客在出场时都会进入潜行！
2,,潜行中的刺客可以成功避过战士和守卫的察觉！
3,,布鲁斯的光环可以使己方士兵的魔攻得到提升（25%）
4,,雪莉的冰霜护盾在破碎后会冻结附近的敌人！
5,,将水晶升到4级就可以解锁召唤师的终极技能了！
6,,真实伤害无视所有护甲魔抗以及伤害免疫！
7,,物理攻击虽然能暴击但是可以被闪避！
8,,魔法攻击无法被闪避但配合特定天赋便可以暴击！
9,,森巨人作为一个近战贤者可以有效防止刺客越过你的前排！
10,,艾丽卡的大熊可以一屁股瓦解敌方的后排火力！
11,,被冰冻的单位受到的伤害会提升60%！
12,,法师英雄需要吟唱蓄满蓝条才可以释放强力的法术！
13,,英雄每次升星都将提高基础属性并且得到1个天赋点！
14,,英雄都有各自的技能并且还可以装备天赋！
15,,勇士的跳劈技能对高血量的敌人有不错的杀伤效果！
16,,提高火枪手的攻速就能频繁的触发他的加农炮技能了！
17,,盗贼的探云手技能可以偷取敌方的能量水晶！
18,,老铁匠更适合在后方为友军提供护盾！
19,,魔剑士在对抗魔法伤害的敌人时有先天优势！
20,,维京人的肉弹冲锋可以打断敌人的吟唱技能！
21,,火女可以对敌人造成可观的伤害，还能为友军提供保护！
22,,牧师的治疗术没有技能冷却时间！
23,,圣骑士的冲锋技能可以击飞小范围内的敌人！
24,,盾卫的防御姿态在附近没有敌人时就会解除。
25,,高闪避率可以提升影舞者的刀扇技能施放次数！
26,,狼人的利爪挥击在叠满层数后可以获得巨额的伤害提升！
27,,牛头人的战争践踏可对范围内敌人造成眩晕效果！
28,,你知道吗？投石车的投掷频率与攻速有关噢~
29,,在小精灵的爆炸范围内，友军的负面效果会被清除！
30,,神射手的灵动反击可以与敌人拉开距离的同时造成击退！
31,,小鹿拥有出色的范围伤害技能！
32,,水元素的冰晶箭在命中同一个目标多次后可以将其冰冻！
33,,夜刃的暗夜一击具有高额的爆发伤害，但是无法暴击！
34,,森巨人在施放大地滋养时不能进行移动和攻击。
35,,你知道吗？炽焰龙的名字“辟谷”是莱奥取的~
36,,巨人们可以免疫击退击飞和冰冻等控制效果。
37,,石巨人有很强的防御能力，但它缺乏伤害技能~
38,,海巨人的怒涛龙卷在施放完毕后会对自己造成眩晕。
39,,骷髅战和骷髅弓会在死亡的位置进行复生。
40,,木乃伊的瘟疫毒雾会对场上所有非死灵族单位生效！
41,,诅咒效果会让敌人死后有概率变成骷髅战。
42,,死召师属性数值越高，他的召唤物属性也就越高。
43,,风雪姬的技能可以很好的限制前方敌人的进攻！
44,,屠夫在毒雾中可以获得额外的吸血。
45,,巫妖有优秀的范围伤害能力，还能造成一定的控制效果！
46,,吸血鬼化身白发血蝠后可以获得极高的魔法免疫！
47,,莱奥的战意觉醒可以强化他的其他两个技能！
48,,布鲁斯的三个技能都附带燃烧效果！
49,,雪莉的三个技能都附带冰冻效果！
50,,尽量在叠满3层闪电印记的情况下施放约修亚的电弧力场！
51,,注意！艾丽卡的三个技能都需要点击施放位置哦！
52,,留意冰墙施放的位置，它会在破碎后冻结附近的所有单位！
53,,希尔娅的潜影斩可以直接对召唤师造成大量伤害！
54,,罗迪亚克的圣光审判配合范围伤害可以瞬间扭转局势！
55,,英雄有6种职业：守卫，战士，刺客，射手，法师，贤者。
56,,英雄们分为三大种族：人族，自然族和死灵族。
57,,一般情况下，同种族的英雄配合会比多种族混搭的要好。
58,,系统每2小时就自动赠送1个竞技场的战利品宝箱哦~！
59,,首次通关世界冒险中的关卡可以获得丰厚的奖励！
60,,首次进入竞技场将获得5个战利品宝箱的奖励噢！
61,,在队伍界面长按英雄头像，可查看英雄详情。
62,,和其他人多多分享交流，搭配出适合自己的阵容和天赋！

















