语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
1100001,角色名称,蜘蛛女王
1100002,角色描述,蜘蛛一族的女皇。
1100101,角色名称,巫妖
1100102,角色描述,
1100201,角色名称,
1100202,角色描述,
1100301,角色名称,
1100302,角色描述,
1100401,角色名称,
1100402,角色描述,
1100501,角色名称,
1100502,角色描述,
1101101,角色名称,野蛮黑熊
1101102,角色描述,
1101201,角色名称,呼啸灰狼
1101202,角色描述,
1101301,角色名称,奥若拉
1101302,角色描述,
1101401,角色名称,骷髅召唤师
1101402,角色描述,
1101501,角色名称,奥若拉
1101502,角色描述,
1101601,角色名称,骷髅统领
1101602,角色描述,
1101701,角色名称,腥血屠夫
1101702,角色描述,
1101801,角色名称,掘墓者
1101802,角色描述,
1101901,角色名称,巫妖
1101902,角色描述,
1102001,角色名称,公会骑士
1102002,角色描述,
1102101,角色名称,公会骑士
1102102,角色描述,
1102201,角色名称,罗迪亚克
1102202,角色描述,
1102301,角色名称,残暴熊怪
1102302,角色描述,
1102401,角色名称,掘墓爆破工
1102402,角色描述,
1102501,角色名称,蛛魔斯派克
1102502,角色描述,
1103101,角色名称,刀锋魅影
1103102,角色描述,
1103201,角色名称,影分身
1103202,角色描述,
1103301,角色名称,绝影刺客
1103302,角色描述,
1103401,角色名称,老练火枪手
1103402,角色描述,
1103501,角色名称,烈焰法师
1103502,角色描述,
1103601,角色名称,恶霸骑士
1103602,角色描述,
1103701,角色名称,林地小鹿
1103702,角色描述,
1103801,角色名称,奥若拉
1103802,角色描述,
1103901,角色名称,圣光牧师
1103902,角色描述,
1104001,角色名称,工匠大师
1104002,角色描述,
1104101,角色名称,海巨人
1104102,角色描述,
1104201,角色名称,嗜血牛头人
1104202,角色描述,
1104301,角色名称,腥血屠夫
1104302,角色描述,
1104401,角色名称,死亡骑士
1104402,角色描述,
1104501,角色名称,约修亚
1104502,角色描述,
1105101,角色名称,嗜血小精灵
1105102,角色描述,
1105201,角色名称,嗜血小鹿
1105202,角色描述,
1105301,角色名称,嗜血狼人
1105302,角色描述,
1105401,角色名称,矮人火枪手
1105402,角色描述,
1105501,角色名称,维京人之盾
1105502,角色描述,
1105601,角色名称,英勇圣骑
1105602,角色描述,
1105701,角色名称,嗜血夜刃
1105702,角色描述,
1105801,角色名称,嗜血射手
1105802,角色描述,
1105901,角色名称,嗜血牛头人
1105902,角色描述,
1106001,角色名称,木乃伊
1106002,角色描述,
1106101,角色名称,辉夜雪姬
1106102,角色描述,
1106201,角色名称,巫妖
1106202,角色描述,
1106301,角色名称,嗜血水元素
1106302,角色描述,
1106401,角色名称,狂暴泉灵
1106402,角色描述,
1106501,角色名称,诅咒树魔
1106502,角色描述,
1106601,角色名称,森巨人
1106602,角色描述,
1106701,角色名称,森巨人
1106702,角色描述,
1106801,角色名称,邪恶树魔
1106802,角色描述,
1106901,角色名称,嗜血狼人
1106902,角色描述,
1107001,角色名称,嗜血狼人
1107002,角色描述,
1107101,角色名称,嗜血狼人
1107102,角色描述,
1107201,角色名称,嗜血牛头人
1107202,角色描述,
1107301,角色名称,嗜血牛头人
1107302,角色描述,
1107401,角色名称,嗜血牛头人
1107402,角色描述,
1107501,角色名称,巡弋骑士
1107502,角色描述,
1107601,角色名称,巡弋骑士
1107602,角色描述,
1107701,角色名称,巡弋骑士
1107702,角色描述,
1107801,角色名称,盗墓贼头目
1107802,角色描述,
1107901,角色名称,盗墓贼头目
1107902,角色描述,
1108001,角色名称,瘟疫使者
1108002,角色描述,
1108101,角色名称,死亡骑士
1108102,角色描述,
1108201,角色名称,死亡骑士
1108202,角色描述,
1108301,角色名称,骸骨巨龙
1108302,角色描述,
1108701,角色名称,精灵射手
1108702,角色描述,
1108801,角色名称,精灵射手
1108802,角色描述,
1108901,角色名称,精灵射手
1108902,角色描述,
1109001,角色名称,石巨人守卫
1109002,角色描述,
1109101,角色名称,石巨人守卫
1109102,角色描述,
1109201,角色名称,石巨人守卫
1109202,角色描述,
1109301,角色名称,嗜血屠夫
1109302,角色描述,
1109401,角色名称,嗜血屠夫
1109402,角色描述,
1109501,角色名称,自然族青年
1109502,角色描述,
1109601,角色名称,巫妖
1109602,角色描述,
1109701,角色名称,巫妖
1109702,角色描述,
1109801,角色名称,巫妖
1109802,角色描述,
1109901,角色名称,死亡骑士
1109902,角色描述,
1110001,角色名称,死亡骑士
1110002,角色描述,
1110101,角色名称,骷髅召唤师
1110102,角色描述,

1110501,角色名称,骑士统领
1110502,角色描述
