语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
100,系统提示,角色正在战斗中...
101,,战斗次数不足
102,,战斗状态异常
103,,爬塔以至最高楼层
104,,消耗星星不足
105,,体力不足
150,,pvp房间已有
199,,
,,
200,,背包空间不足
201,,道具不存在
202,,装备不存在
203,,道具不足
204,,最大格子数
,,
300,,卡包不足
301,,英雄不存在
302,,英雄没有穿装备
303,,英雄满星
304,,英雄等级不足
305,,英雄碎片不足
306,,英雄为整卡
307,,技能书不对应
308,,英雄等级限制
,,
350,,天赋开启失败
351,,该天赋已经开启
,,
400,,金币不足
,,
402,,钻石不足
403,,体力不足
404,,塔币不足
405,,竞技币不足
406,,特权等级不够
407,,玩家等级不够
408,,试练次数不足
409,,金币购买次数不足
410,,体力购买次数不足
411,,精英关卡挑战次数不足
412,,公会贡献不足
413,,精英关卡购买次数不足
414,,商店刷新次数不足
,,
450,,邮件已经领取
,,
500,,任务已经领取
502,,任务未完成
503,,任务不存在
,,
550,,成就已经领取
551,,成就未完成
552,,成就不存在
,,
600,,召唤师不存在
,,
650,,试练挑战次数不足
651,,试练未开启
,,
700,,关卡未开启
701,,关卡未解锁
702,,关卡已完成
750,,远征结束
751,,关卡已经通关
752,,奖励未发放，不能设置

,,
801,,您的帐号已经登录，如非本人操作，请修改密码后重新登录。
802,,您的帐号因非法使用已被封停至%d年%d月%d日%d时%d分，具体原因请联系客服。
803,,您的帐号因在别处登录，如非本人操作，请修改密码后重新登录。
,,
900,,该礼包码不存在或已失效
901,,平台非法
902,,渠道非法
903,,服务器非法

950,,月卡过期
951,,没有购买月卡
952,,月卡当日不能领取


,,
