语言ID,策划说明,CN,
主键,,,
ID,Null,Content,,,,,
index,null,string,,,,,
1,,<br/><font face='fonts/msyh.ttf' size='22'><font face='fonts/msyh.ttf' color='B3EE3A' size='24'>敌人</font>位于关卡右边！</font>,
2,,<br/><font face='fonts/msyh.ttf' size='22'>在游戏中，你将扮演<font face='fonts/msyh.ttf' color='B3EE3A' size='24'>召唤师</font>！击败对面的敌人以取得胜利！</font>,
3,,点击释放召唤师技能,
4,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>水晶</font>，是召唤师力量的源泉，消耗一定量的水晶可将水晶等级提升，并解锁<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>召唤师技能</font>！点击<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>水晶按钮</font>升级水晶！</font>,
5,,<font face='fonts/msyh.ttf' size='20'>点击<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>英雄头像</font>即可召唤他们出战，召唤英雄需要消耗水晶，每个英雄都有自己的<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>水晶消耗值</font>！</font>,
6,,<font face='fonts/msyh.ttf' size='21'>己方英雄会在召唤师身后出现，每个英雄都有各自的<font face='fonts/msyh.ttf' color='B3EE3A' size='22'>冷却时间</font>，根据战场形势召唤合适的英雄是制胜的关键！</font>,
7,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>埃迪</font>：我身手矫捷，擅长对付高血量的敌人</font>,
8,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>火枪手</font>：只要有战士的掩护，我就能在后排输出成吨的伤害</font>,
9,,召唤师，今天就是你的死期！,
10,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>技能：冲锋号角</font>，可以提升己方英雄的<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>攻速</font>和<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>移速</font>！</font>,
11,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='22'>觉醒</font>：终极技能，可以对敌人造成重创！</font>,
12,,点击水晶按钮升级水晶,
13,,<font face='fonts/msyh.ttf' size='22'>召唤师技能会在水晶达到<font face='fonts/msyh.ttf' color='B3EE3A' size='24'>2-3-4</font>这三个等级时，依次解锁！</font>,
14,,<font face='fonts/msyh.ttf' size='21'>当场上敌方的英雄较多时，可以使用召唤师技能缓解一下局势，技能CD已经完成了，尝试着释放一次吧！</font>,
15,,点击释放召唤师终极技能,
16,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>技能：剑气斩</font>，可以对敌人造成多段伤害！</font>,
17,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>盗贼</font>：我是一个刺客，可以绕过前排切入后排！</font>,
18,,呼~~累死我了，这种天气还让我来这里，妮莎你是有什么急事吗？,
19,,之前你说要参加竞技场的比赛，今天是要教你一些战斗技巧，我还特地拜托了艾丽卡来和你进行练习！,
20,,<font face='fonts/msyh.ttf' size='20'>你的身份是一名<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>召唤师</font>，你战斗的位置在地图<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>左侧</font>，而你的对手在地图<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>右侧</font>。</font>,
21,,<font face='fonts/msyh.ttf' size='20'>现在<font face='fonts/msyh.ttf' color='B3EE3A' size='22'>艾丽卡</font>就是你的对手，击败你的对手，即可获得胜利！</font>,
22,,原来是个萌妹子，看起来没什么战斗力啊~没意思！,
23,,哼！要不是妮莎拜托我，我才懒得和你这个竞技场菜鸟对战！,
24,,哈哈哈~要是输了你可别哭鼻子哟！,
25,,来啊，互相伤害啊！谁怕谁啊！,
27,,点击英雄头像召唤林克！,
28,,噢~正好可以当做热身，那我们快点开始吧！,
29,,点击英雄头像召唤火枪手！,
30,,点击英雄头像召唤盗贼！,
31,,<font face='fonts/msyh.ttf' size='20'>在面对大批敌人时，剑气斩击可以很好地减缓场面上的压力！点击<font face='fonts/msyh.ttf' color='B3EE3A' size='21'>技能图标</font>释放技能！</font>,
32,,哇！技能这么叼啊？那我水晶直接升到4级岂不是更叼？,
