语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
1001000,角色名称,布鲁斯
1001001,角色描述,布鲁斯受到魔法学院第二任校长洛里斯的启蒙&开始研习火焰魔法&其强大的实力在神魔之战后声名鹊起&魔法学院曾举荐他担任第四任校长&布鲁斯婉拒后开始了隐居生活&期间他收养了一名孤儿&将其取名为莱奥。
1001002,角色描述,精通火系法术&在他强有力的法术面前任何防御都不值一提。
1001100,角色名称,雪莉
1001101,角色描述,冰霜女皇雪莉用她缔造的冰霜之核封印了魔王的肉体&她近乎消耗了全部的魔力而陷入了沉睡&多年之后她终于苏醒&但是冰霜之核的异动让她产生了不详的预感&她决定动身前往封印魔王的天脊山一探究竟。
1001102,角色描述,在她的寒冰法术面前&就连空气中的水分也难逃冰冻的命运。
1001200,角色名称,希尔娅
1001201,角色描述,希尔娅被誉为精灵族的刺客大师&她具有高超的刺杀技巧以及灵动的战术思维&她创立了第一个刺客公会&还撰写了一本关于刺客的指导书&随着刺客公会的逐渐壮大&“残阳”组织也开始盯上了希尔娅和她的公会。
1001202,角色描述,令人闻风丧胆的刺客&行踪诡秘&杀人于无形。
1001300,角色名称,艾丽卡
1001301,角色描述,艾丽卡的父亲是塔玛拉的国王奥登&但是显贵的公主却有诸多礼仪和举止的限制&这让艾丽卡觉得在宫殿里生活十分无趣&她向往着人族社会多姿多彩的生活&于是她在父王庆生宴会期间溜出了宫殿&动身前往亚特兰。
1001302,角色描述,天真烂漫的精灵少女&擅长召唤术和精灵法术。
1001400,角色名称,约修亚
1001401,角色描述,约修亚与生俱来的雷电魔法天赋&招致了杀身之祸&尤达米尔觊觎其力量而将其双亲杀害&幸好洛菲特出手救下了年幼的约修亚&但失去双亲的创伤却无法轻易修补&17岁那年他与洛菲特告别&开始了他的复仇之旅。
1001402,角色描述,冷酷的雷电魔法使&迅雷不及掩耳的法术令敌人猝不及防。
1001500,角色名称,莱奥
1001501,角色描述,当年被布鲁斯收养的孤儿&其体内蕴含着一股神秘的力量&可以强化莱奥的各项能力&但是莱奥发现这股力量很难驾驭&稍有不慎就会令自己失去控制&于是他遵循布鲁斯的建议&前往魔法学院找寻控制力量的答案。
1001502,角色描述,手持大剑的热血少年&喜欢与英雄并肩作战&鼓舞士气。
1001600,角色名称,罗迪亚克
1001601,角色描述,罗迪亚克自幼受到其父亲的影响&立志成为一名惩奸除恶的骑士&16岁时便入伍成为了一名亚特兰士兵&时隔一年就被举荐为巡弋骑士团的一员&18岁担任巡弋骑士团团长&开始致力于对抗西海岸的维京海盗。
1001602,角色描述,帅气正直的骑士&他手中的剑被赋予了圣光的庇护之力。
1010000,角色名称,勇士
1010001,角色描述,勇往直前的战士&他的熟练跳劈经常能够找到敌人的弱点并打出附带百分比生命值的伤害。大量勇士的推进往往能产生奇效。
1010002,角色描述,勇往直前的年轻战士&行动敏捷&擅长使用单手剑对敌人造成打击。
1010100,角色名称,法师学徒
1010101,角色描述,最高魔法师学院的学徒每一个都是法师精英&他们天赋异禀&血统纯正而源远流长。
1010102,角色描述,最高魔法师学院的学徒每一个都是法师精英&他们天赋异禀&血统纯正而源远流长
1010200,角色名称,火枪手
1010201,角色描述,擅长远距离作战的狙击手&拥有丰富的作战经验和高超的射击技巧。
1010202,角色描述,擅长远距离作战的狙击手&拥有丰富的作战经验和高超的射击技巧。
1010300,角色名称,盗贼
1010301,角色描述,行动迅捷的小个子盗贼&对敌人施展偷窃并造成爆发伤害。
1010302,角色描述,行动迅捷的小个子盗贼&对敌人施展偷窃并造成爆发伤害。
1010400,角色名称,老铁匠
1010401,角色描述,拥有上乘手艺的工匠&擅长打造器械并为友军提供援护。
1010402,角色描述,拥有上乘手艺的工匠&擅长打造器械并为友军提供援护。
1010500,角色名称,魔剑士
1010501,角色描述,上古魔剑赋予了她抵御法术的强大力量&当魔剑觉醒时对于所有人都会是一场噩梦！
1010502,角色描述,外表冷峻的剑士&强大的战斗力被人誉为战场的女武神。
1010600,角色名称,维京人
1010601,角色描述,长着大胡子的维京人&庞大的身躯为后方友军提供良好的输出环境。
1010602,角色描述,长着大胡子的维京人&庞大的身躯为后方友军提供良好的输出环境。
1010700,角色名称,火女
1010701,角色描述,对火焰法术情有独钟的天才&除了能用火焰重创敌人之外&她还能运用烈焰保护友军！
1010702,角色描述,热情如火的美丽法师&擅长威力强大的火系魔法。
1010800,角色名称,巨炮少女
