语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
2000001,技能消耗描述,冷却:20秒
2000002,技能消耗描述,冷却:50秒
2000003,技能消耗描述,冷却:70秒
2000011,技能消耗描述,冷却:20秒
2000012,技能消耗描述,冷却:45秒
2000013,技能消耗描述,冷却:65秒
2000021,技能消耗描述,冷却:25秒
2000022,技能消耗描述,冷却:30秒
2000023,技能消耗描述,冷却:70秒
2000031,技能消耗描述,冷却:20秒
2000032,技能消耗描述,冷却:30秒
2000033,技能消耗描述,冷却:50秒
2000041,技能消耗描述,冷却:35秒
2000042,技能消耗描述,冷却:40秒
2000043,技能消耗描述,冷却:90秒
2000051,技能消耗描述,冷却:35秒
2000052,技能消耗描述,冷却:35秒
2000053,技能消耗描述,冷却:70秒
2000061,技能消耗描述,冷却:15秒
2000062,技能消耗描述,冷却:30秒
2000063,技能消耗描述,冷却:80秒
2001010,技能名称,熔火之心
2001020,技能描述,提升我方全体英雄25%的魔攻。
2001011,技能名称,大火球术
2001021,技能描述,召唤一枚高温火球，对范围内敌人造成魔法伤害，附带8秒的燃烧效果：每秒造成少量魔法伤害。
2001012,技能名称,炽焰冲击
2001022,技能描述,召唤燃烧的陨石，对指定范围内的敌人造成大量魔法伤害，附带8秒燃烧效果：每秒造成少量魔法伤害
2001013,技能名称,龙焰燎原
2001023,技能描述,召唤火龙王喷吐龙焰，对全屏敌人造成巨额魔法伤害，附带8秒的燃烧效果：每秒造成少量魔法伤害。
2001110,技能名称,冰霜血统
2001120,技能描述,战斗开始即为自身套上1个冰霜护盾：护盾存在时前方小范围内敌人攻速减半，护盾碎裂后使周围的敌人冰冻5秒：所受伤害提升。
2001111,技能名称,寒冰箭
2001121,技能描述,对一个敌人造成魔法伤害并将其冰冻5秒：期间所受伤害提升并且大幅降低周围敌人的攻速和移速。
2001112,技能名称,冰霜之墙
2001122,技能描述,召唤一堵中立冰墙进行阻隔，墙体被打碎后会冻结附近的所有单位5秒：期间所受伤害提升。
2001113,技能名称,暴风雪
2001123,技能描述,召唤暴风雪，对全屏敌人造成魔法伤害的同时冰冻5秒并施加冰冻效果：所受伤害提升。
2001210,技能名称,刺客诡道
2001220,技能描述,己方每派出1个刺客单位时，都会同时召唤1个“影子刺客”参与作战。
2001211,技能名称,影分身
2001221,技能描述,主动召唤1个持续20秒的“影子统领”加入战场：使场上的“影子刺客”暴击率和闪避率提升20%。
2001212,技能名称,刺杀
2001222,技能描述,随机消灭一个敌方英雄。
2001213,技能名称,潜影斩
2001223,技能描述,直接对敌方召唤师造成巨额物理伤害。
2001310,技能名称,精灵守护
2001320,技能描述,每7.5秒自动为场上1名生命值最少的友军或者召唤师自身回复少量生命值。
2001311,技能名称,精灵之光
2001321,技能描述,使得指定范围内的我方英雄和召唤师持续回复生命值。
2001312,技能名称,不稳定传送门
2001322,技能描述,在指定地点放置一个传送门，随机召唤1个自然族单位。
2001313,技能名称,召唤博尔斯
2001323,技能描述,在指定地点召唤博尔斯加入战斗，博尔斯最多存活30秒，博尔斯拥有不俗的生存和战斗能力。
2001410,技能名称,闪电印记
2001420,技能描述,每5秒对1个随机敌人附加1层闪电印记（最多3层）：每层增加对敌人造成的伤害，叠满3层后会对该敌人造成最大生命值的持续伤害。
2001411,技能名称,闪电弧球
2001421,技能描述,对直线上的所有敌人造成魔法伤害并造成硬直，如果敌人身上附带闪电印记则造成3秒的晕眩。该技能可破除潜行。
2001412,技能名称,闪电风暴
2001422,技能描述,召唤多道闪电随机打击敌人，每道闪电都会造成魔法伤害和硬直，并施加1层闪电印记。
2001413,技能名称,电弧冲击
2001423,技能描述,施放两道电弧冲击波，造成大量魔法伤害，第2道冲击波还将秒杀具有3层闪电印记的敌人。该技能可破除潜行。
2001510,技能名称,战魂
2001520,技能描述,挥舞大剑进行自卫反击：杀伤靠近自身范围内的单体敌人。
2001511,技能名称,冲锋号角
2001521,技能描述,吹响号角，大幅提升我方全体的移动速度和攻击速度，持续8秒，战意觉醒状态下可提升该技能效果。
2001512,技能名称,剑气斩击
2001522,技能描述,挥舞大剑施放4道剑气，对敌人造成物理伤害和短暂的控制效果，战意觉醒状态下可提升该技能效果。
2001513,技能名称,战意觉醒
2001523,技能描述,莱奥激发潜力大幅提升自身属性，随后加入战场和英雄们并肩作战，持续30秒。
2001610,技能名称,圣光鼓舞
2001620,技能描述,提升我方全体英雄25%的物攻。
2001611,技能名称,神圣打击
