语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
30001,道具名称,金币袋(小)
30002,道具描述,使用可获得小额金币
30003,道具名称,金币袋(中)
30004,道具描述,使用可获得中额金币
30005,道具名称,金币袋(大)
30006,道具描述,使用可获得大额金币
30007,道具名称,钻石袋(小)
30008,道具描述,使用可获得小额钻石
30009,道具名称,钻石袋(中)
30010,道具描述,使用可获得中额钻石
30011,道具名称,钻石袋(大)
30012,道具描述,使用可获得大额钻石
30013,道具名称,新手礼包
30014,道具描述,使用可获得大量物品
30015,道具名称,GM礼包
30016,道具描述,金币钻石塔币竞技币各999999
30017,道具名称,2500金
30018,道具描述,使用后可获得2500金币
30021,道具名称,金币
30022,道具描述,金币
30023,道具名称,钻石
30024,道具描述,钻石
30025,道具名称,竞技币
30026,道具描述,竞技币
30027,道具名称,能量碎片
30028,道具描述,能量碎片
30029,道具名称,体力
30030,道具描述,体力
30031,道具名称,公会币
30032,道具描述,公会币
30033,道具名称,召唤师经验
30034,道具描述,召唤师经验
30035,道具名称,抽卡券
30036,道具描述,抽卡券
30037,道具名称,月卡
30038,道具描述,30天月卡
30039,道具名称,公会声望
30040,道具描述,公会声望
30050,道具名称,樱桃
30051,道具描述,英雄使用后增加20经验
30052,道具名称,香蕉
30053,道具描述,英雄使用后增加50经验
30054,道具名称,凤梨
30055,道具描述,英雄使用后增加100经验
30056,道具名称,面包
30057,道具描述,英雄使用后增加150经验
30058,道具名称,火腿
30059,道具描述,英雄使用后增加200经验
30060,道具名称,鸡肉
30061,道具描述,英雄使用后增加300经验
30062,道具名称,初级经验书
30063,道具描述,英雄使用后增加500经验
30064,道具名称,中级经验书
30065,道具描述,英雄使用后增加1000经验
30066,道具名称,高级经验书
30067,道具描述,英雄使用后增加2000经验
30068,道具名称,特级经验书
30069,道具描述,英雄使用后增加5000经验
30070,道具名称,体力瓶(小)
30071,道具描述,使用后获得30点体力
30072,道具名称,体力瓶(中)
30073,道具描述,使用后获得60点体力
30074,道具名称,体力瓶(大)
30075,道具描述,使用后获得120点体力
30076,道具名称,桑德利尔金箱
30077,道具描述,在桑德利尔的远征作战中，伤害量排行第1名的公会成员获得此奖励！
30078,道具名称,桑德利尔银箱
30079,道具描述,在桑德利尔的远征作战中，伤害量排行第2名的公会成员获得此奖励！
30080,道具名称,桑德利尔铜箱
30081,道具描述,在桑德利尔的远征作战中，伤害量排行第3名的公会成员获得此奖励！
30082,道具名称,桑德利尔礼箱
30083,道具描述,在桑德利尔的远征作战中，伤害量排行第4名-第10名的公会成员获得此奖励！
30084,道具名称,亚特兰金箱
30085,道具描述,在亚特兰的远征作战中，伤害量排行第1名的公会成员获得此奖励！
30086,道具名称,亚特兰银箱
30087,道具描述,在亚特兰的远征作战中，伤害量排行第2名的公会成员获得此奖励！
30088,道具名称,亚特兰铜箱
30089,道具描述,在亚特兰的远征作战中，伤害量排行第3名的公会成员获得此奖励！
30090,道具名称,亚特兰礼箱
30091,道具描述,在亚特兰的远征作战中，伤害量排行第4名-第10名的公会成员获得此奖励！
30092,道具名称,远征通关宝箱
30093,道具描述,公会击破所选远征地区的最终BOSS后，奖励给公会所有成员的宝箱。
30094,道具名称,远征通关宝箱
30095,道具描述,公会击破所选远征地区的最终BOSS后，奖励给公会所有成员的宝箱。
30096,道具名称,十连抽卡券
30097,道具描述,可以进行一次十连抽！
30100,道具名称,进化石
30101,道具描述,英雄升星的必备材料
30110,道具描述,锻造装备的基础材料之一
30111,道具名称,赤铜
30112,道具名称,钢铁
30113,道具名称,白银
30114,道具名称,紫金
30115,道具名称,绢布
30116,道具名称,蚕丝
30117,道具名称,七彩羽
30118,道具名称,龙鳞
30119,道具名称,琥珀
30120,道具名称,翡翠
30121,道具名称,水晶
30122,道具名称,星屑
30123,道具名称,锻造石
30124,道具描述,装备制作的必备材料
30125,道具名称,强化石
30126,道具描述,提升制作出高品质装备的成功率
30127,道具名称,20级利刃图
30128,道具描述,制作装备的重要材料
30129,道具名称,20级手杖图
30130,道具描述,制作装备的重要材料
30131,道具名称,20级铸剑图
30132,道具描述,制作装备的重要材料
30133,道具名称,20级枪弓图
30134,道具描述,制作装备的重要材料
30135,道具名称,20级法杖图
30136,道具描述,制作装备的重要材料
30137,道具名称,35级铸剑图
30138,道具描述,制作装备的重要材料
30139,道具名称,35级枪弓图
30140,道具描述,制作装备的重要材料
30141,道具名称,35级利刃图
30142,道具描述,制作装备的重要材料
30143,道具名称,35级法杖图
