语言ID,说明,CN,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
101,中午12点提醒登游戏,忙碌的学习和工作之余，还请各位召唤师注意劳逸结合，现在就来一局召唤师竞技场吧！,
102,晚上20点提醒竞技场,召唤师！来自各方的高手都齐聚竞技场，是时候证明自己的实力了！,
103,第2天登录送十连抽抽卡券11点发,卡牌店老板娘送福利啦！总计195元的10连抽卡券和150钻石随手得~~！,
104,第2天登录送十连抽抽卡券16点发,登陆游戏即可领取价值180元的10连抽卡券，欧皇养成，指日可待！,
105,第2天登录送十连抽抽卡券21点发,开服送福利！现在登录即送价值180元的10连抽卡券！再多送你150钻石哟！,
106,第3天登陆送金色装备,现在登录即可获得200钻石和幽灵碎片*8！,
107,第3天登陆送金色装备,七日活动火热进行中！进入游戏即可获得200钻石和幽灵碎片*8！,
108,第4天登陆送？？？,召唤师~亚特王城为您送来了250钻石和小精灵碎片*8，好好利用吧！,
109,第4天登陆送？？？,开服活动送不停！现在登录即送250钻石以及小精灵碎片*8！,
110,第5天登陆送？？？,还在为四处搜集锻造材料而烦恼吗？老司机送您300钻石和装备锻造材料！,
111,第5天登陆送？？？,装备锻造材料免费送喽！再送你300钻石噢~现在就去游戏中领取吧！,
112,第6天登陆送？？？,福利不断~送到手软！登陆即领350钻石和木乃伊碎片*10！,
113,第6天登陆送？？？,感谢大家一直以来的支持，现在登录即可获赠350钻石和木乃伊碎片*10！,
114,第7天登陆送？？？,七日狂欢！现在进入游戏即可获得400钻石和森巨人碎片*10！,
115,第7天登陆送？？？,最后的狂欢！快上车！现在登录即可获得400钻石和森巨人碎片*10！,
116,连续2天没登录游戏,召唤师离开的第3天，想你！,
117,连续2天没登录游戏,召唤师！英雄们都在主城等候着你呢！,
118,连续2天没登录游戏,纷争和动乱萦绕着埃米尔大陆，召唤师！是时候出击了！,
119,连续2天没登录游戏,在日常忙碌过后，回到多彩的埃米尔大陆，来一场紧张激烈的对战，岂不美哉？,
120,连续2天没登录游戏,召唤师！我们虽然认识您不久，但是您不在的时刻度日如年！,
121,连续2天没登录游戏,还记得你上次在竞技场出色的表现吗？观众们都期待着你能带来精彩的对决~,
122,连续2天没登录游戏,学如逆水行舟，身为召唤师更是要不断磨练自己的技艺，才会有所进步！,
123,连续2天没登录游戏,如果你还能看到这条推送，还犹豫什么！赶紧到竞技场来一场5分钟的PVP吧！,
124,连续2天没登录游戏,我知道，你没有抛弃过我，但也请时常回来看看我~,
125,连续2天没登录游戏,哎呀~不小心被你看到了！既然看到了就点一下吧~~,
126,连续2天没登录游戏,哎呀~不小心被你看到了！既然看到了就请点一下吧~~,
127,连续2天没登录游戏,哎呀~不小心被你看到了！既然看到了就再点一下吧~~,
128,连续2天没登录游戏,哎呀~不小心被你看到了！既然看到了就多点一下吧~~,
129,连续2天没登录游戏,哎呀~不小心被你看到了！既然看到了就最后点一下吧~~,
,,,
