语言ID,说明,CN
主键,,
ID,Null,Content
index,null,string
0,空,
1,属性,近战攻击距离%s%%
2,属性,远程攻击距离%s%%
3,属性,移动速度%s%%
4,属性,生命%s
5,属性,生命%s%%
6,属性,物理攻击%s
7,属性,物理攻击%s%%
8,属性,魔法攻击%s
9,属性,魔法攻击%s%%
10,属性,物理减伤%s%%
11,属性,护甲%s
12,属性,护甲%s%%
13,属性,魔法减伤%s%%
14,属性,魔抗%s
15,属性,魔抗%s%%
16,属性,物理穿透%s
17,属性,物理穿透%s%%
18,属性,魔法穿透%s
19,属性,魔法穿透%s%%
20,属性,攻击速度%s%%
21,属性,吸血%s%%
22,属性,反弹%s%%
23,属性,闪避%s%%
24,属性,暴击%s%%
25,属性,暴击伤害%s%%
26,属性,怒气上限%s
27,属性,怒气上限%s%%
28,属性,怒气回复%s%%
29,属性,魔法上限%s
30,属性,魔法上限%s%%
31,属性,魔法回复%s%%
32,属性,质量%s
33,属性,霸体上限%s
34,属性,霸体上限%s%%
35,属性,霸体回复%s%%
36,属性,仇恨%s
,,
,,
101,英雄特性,唯一
102,英雄特性,冲锋
103,英雄特性,潜行
104,英雄特性,祝福
105,英雄特性,控制
106,英雄特性,暴击
107,英雄特性,群伤
108,英雄特性,护甲
109,英雄特性,魔抗
110,英雄特性,吸血
111,英雄特性,反弹
112,英雄特性,灵巧
113,英雄特性,削弱
114,英雄特性,嘲讽
115,英雄特性,强壮
116,英雄特性,强击
117,英雄特性,召唤
201,英雄特性描述,己方场上只允许存在一只。
202,英雄特性描述,具有冲锋能力。
203,英雄特性描述,出场进入潜行状态。
204,英雄特性描述,能够为友方回复生命值或添加护盾。
205,英雄特性描述,技能或普攻能够限制敌方的行动能力。
206,英雄特性描述,具有暴击能力。
207,英雄特性描述,能够对多个对象造成大量伤害。
208,英雄特性描述,较高的物理防护。
209,英雄特性描述,较高的魔法抗性。
210,英雄特性描述,具有吸血能力。
211,英雄特性描述,能够反弹敌方造成的伤害。
212,英雄特性描述,较高的闪避能力。
213,英雄特性描述,技能或普攻能够削弱敌方单位的属性。
214,英雄特性描述,具有较高的仇恨值，容易吸引敌方火力。
215,英雄特性描述,较高的生命值。
216,英雄特性描述,较高的单体伤害，能够克制肉盾型单位。
217,英雄特性描述,能够召唤士兵为自己作战。
,,
10104,英雄属性,近战攻击距离%s
10105,英雄属性,远程攻击距离%s
10106,英雄属性,物理攻击%s
10107,英雄属性,魔法攻击%s
10108,英雄属性,护甲%s
10109,英雄属性,魔抗%s
10110,英雄属性,物理穿透%s
10111,英雄属性,魔法穿透%s
10112,英雄属性,攻击速度%s
10113,英雄属性,移动速度%s
10114,英雄属性,生命%s
10115,英雄属性,怒气上限%s
10116,英雄属性,怒气回复%s
10117,英雄属性,魔法上限%s
10118,英雄属性,魔法回复%s
10119,英雄属性,霸体上限%s
10120,英雄属性,霸体回复%s
10121,英雄属性,仇恨%s
10203,英雄属性,物理减伤%s
10204,英雄属性,魔法减伤%s
10205,英雄属性,吸血%s%%
10206,英雄属性,反弹%s%%
10207,英雄属性,闪避%s%%
10208,英雄属性,暴击%s%%
10209,英雄属性,暴击伤害%s%%
10210,英雄属性,角色质量%s
