语言ID（英雄1-5000|召唤师5000-10000|怪物10000-15000|魔王15000-20000）,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
1,英雄名称,勇士
2,英雄描述,
3,英雄技能1名称,五次攻击后释放的劈砍攻击，具有两倍的攻击强度
4,英雄技能1描述,
5,英雄技能2名称,
6,英雄技能2描述,
7,2星天赋名称,
8,2星天赋描述,
9,3星天赋名称,
10,3星天赋描述,
11,4星天赋名称,
12,4星天赋描述,
13,5星天赋名称,
14,5星天赋描述,
,,
21,英雄名称,盗贼
22,英雄描述,
23,英雄技能1名称,
24,英雄技能1描述,
25,英雄技能2名称,
26,英雄技能2描述,
27,2星天赋名称,
28,2星天赋描述,
29,3星天赋名称,
30,3星天赋描述,
31,4星天赋名称,
32,4星天赋描述,
33,5星天赋名称,
34,5星天赋描述,
,,
41,英雄名称,矮人火枪手
42,英雄描述,
43,英雄技能1名称,
44,英雄技能1描述,
45,英雄技能2名称,
46,英雄技能2描述,
47,2星天赋名称,
48,2星天赋描述,
49,3星天赋名称,
50,3星天赋描述,
51,4星天赋名称,
52,4星天赋描述,
53,5星天赋名称,
54,5星天赋描述,
,,
61,英雄名称,老铁匠
62,英雄描述,
63,英雄技能1名称,
64,英雄技能1描述,
65,英雄技能2名称,
66,英雄技能2描述,
67,2星天赋名称,
68,2星天赋描述,
69,3星天赋名称,
70,3星天赋描述,
71,4星天赋名称,
72,4星天赋描述,
73,5星天赋名称,
74,5星天赋描述,
,,
81,英雄名称,维京人
82,英雄描述,
83,英雄技能1名称,
84,英雄技能1描述,
85,英雄技能2名称,
86,英雄技能2描述,
87,2星天赋名称,
88,2星天赋描述,
89,3星天赋名称,
90,3星天赋描述,
91,4星天赋名称,
92,4星天赋描述,
93,5星天赋名称,
94,5星天赋描述,
,,
101,英雄名称,牧师
102,英雄描述,
103,英雄技能1名称,
104,英雄技能1描述,
105,英雄技能2名称,
106,英雄技能2描述,
107,2星天赋名称,
108,2星天赋描述,
109,3星天赋名称,
110,3星天赋描述,
111,4星天赋名称,
112,4星天赋描述,
113,5星天赋名称,
114,5星天赋描述,
,,
121,英雄名称,火焰女王
122,英雄描述,
123,英雄技能1名称,
124,英雄技能1描述,
125,英雄技能2名称,
126,英雄技能2描述,
127,2星天赋名称,
128,2星天赋描述,
129,3星天赋名称,
130,3星天赋描述,
131,4星天赋名称,
132,4星天赋描述,
133,5星天赋名称,
134,5星天赋描述,
,,
141,英雄名称,魔剑士
142,英雄描述, 
143,英雄技能1名称,
144,英雄技能1描述,
145,英雄技能2名称,
146,英雄技能2描述,
147,2星天赋名称,
148,2星天赋描述,
149,3星天赋名称,
150,3星天赋描述,
151,4星天赋名称,
152,4星天赋描述,
153,5星天赋名称,
154,5星天赋描述,
,,
161,英雄名称,影舞者
162,英雄描述,
163,英雄技能1名称,
164,英雄技能1描述,
165,英雄技能2名称,
166,英雄技能2描述,
167,2星天赋名称,
168,2星天赋描述,
169,3星天赋名称,
170,3星天赋描述,
171,4星天赋名称,
172,4星天赋描述,
173,5星天赋名称,
174,5星天赋描述,
,,
181,英雄名称,圣骑士
182,英雄描述,
183,英雄技能1名称,
184,英雄技能1描述,
185,英雄技能2名称,
186,英雄技能2描述,
187,2星天赋名称,
188,2星天赋描述,
189,3星天赋名称,
190,3星天赋描述,
191,4星天赋名称,
192,4星天赋描述,
193,5星天赋名称,
194,5星天赋描述,
,,
201,英雄名称,小精灵
202,英雄描述,
203,英雄技能1名称,
204,英雄技能1描述,
205,英雄技能2名称,
206,英雄技能2描述,
207,2星天赋名称,
208,2星天赋描述,
209,3星天赋名称,
210,3星天赋描述,
211,4星天赋名称,
212,4星天赋描述,
213,5星天赋名称,
214,5星天赋描述,
,,
221,英雄名称,夜刃
222,英雄描述,
223,英雄技能1名称,
224,英雄技能1描述,
225,英雄技能2名称,
226,英雄技能2描述,
227,2星天赋名称,
228,2星天赋描述,
229,3星天赋名称,
230,3星天赋描述,
231,4星天赋名称,
232,4星天赋描述,
233,5星天赋名称,
234,5星天赋描述,
,,
241,英雄名称,鹿妖
242,英雄描述,
243,英雄技能1名称,
244,英雄技能1描述,
245,英雄技能2名称,
246,英雄技能2描述,
247,2星天赋名称,
248,2星天赋描述,
249,3星天赋名称,
250,3星天赋描述,
251,4星天赋名称,
252,4星天赋描述,
253,5星天赋名称,
254,5星天赋描述,
,,
261,英雄名称,狼人
262,英雄描述,
263,英雄技能1名称,
264,英雄技能1描述,
265,英雄技能2名称,
266,英雄技能2描述,
