语言ID,说明,CN,,,,,,,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
50000,任务标题,踏入征途,,,,,,,
50001,任务说明,通过普通关卡第一章第3关,,,,,,,
50002,任务标题,踏入征途,,,,,,,
50003,任务说明,通过普通关卡第一章第4关,,,,,,,
50004,任务标题,踏入征途,,,,,,,
50005,任务说明,通过普通关卡第一章第5关,,,,,,,
50006,任务标题,踏入征途,,,,,,,
50007,任务说明,通过普通关卡第一章第6关,,,,,,,
50008,任务标题,踏入征途,,,,,,,
50009,任务说明,通过普通关卡第一章第9关,,,,,,,
50010,任务标题,踏入征途,,,,,,,
50011,任务说明,通过普通关卡第一章第12关,,,,,,,
50012,任务标题,踏入征途,,,,,,,
50013,任务说明,通过普通关卡第一章第15关,,,,,,,
50014,任务标题,踏入征途,,,,,,,
50015,任务说明,通过普通关卡第一章第18关,,,,,,,
50016,任务标题,踏入征途,,,,,,,
50017,任务说明,通过普通关卡第二章第3关,,,,,,,
50018,任务标题,踏入征途,,,,,,,
50019,任务说明,通过普通关卡第二章第6关,,,,,,,
50020,任务标题,踏入征途,,,,,,,
50021,任务说明,通过普通关卡第二章第9关,,,,,,,
50022,任务标题,踏入征途,,,,,,,
50023,任务说明,通过普通关卡第二章第12关,,,,,,,
50024,任务标题,踏入征途,,,,,,,
50025,任务说明,通过普通关卡第二章第15关,,,,,,,
50026,任务标题,踏入征途,,,,,,,
50027,任务说明,通过普通关卡第二章第18关,,,,,,,
50028,任务标题,踏入征途,,,,,,,
50029,任务说明,通过普通关卡第三章第3关,,,,,,,
50030,任务标题,踏入征途,,,,,,,
50031,任务说明,通过普通关卡第三章第6关,,,,,,,
50032,任务标题,踏入征途,,,,,,,
50033,任务说明,通过普通关卡第三章第9关,,,,,,,
50034,任务标题,踏入征途,,,,,,,
50035,任务说明,通过普通关卡第三章第12关,,,,,,,
50036,任务标题,踏入征途,,,,,,,
50037,任务说明,通过普通关卡第三章第15关,,,,,,,
50038,任务标题,踏入征途,,,,,,,
50039,任务说明,通过普通关卡第三章第18关,,,,,,,
50040,任务标题,踏入征途,,,,,,,
50041,任务说明,通过普通关卡第四章第3关,,,,,,,
50042,任务标题,踏入征途,,,,,,,
50043,任务说明,通过普通关卡第四章第6关,,,,,,,
50044,任务标题,踏入征途,,,,,,,
50045,任务说明,通过普通关卡第四章第9关,,,,,,,
50046,任务标题,踏入征途,,,,,,,
50047,任务说明,通过普通关卡第四章第12关,,,,,,,
50048,任务标题,踏入征途,,,,,,,
50049,任务说明,通过普通关卡第四章第15关,,,,,,,
50050,任务标题,踏入征途,,,,,,,
50051,任务说明,通过普通关卡第四章第18关,,,,,,,
50052,任务标题,踏入征途,,,,,,,
50053,任务说明,通过普通关卡第五章第3关,,,,,,,
50054,任务标题,踏入征途,,,,,,,
50055,任务说明,通过普通关卡第五章第6关,,,,,,,
50056,任务标题,踏入征途,,,,,,,
50057,任务说明,通过普通关卡第五章第9关,,,,,,,
50058,任务标题,踏入征途,,,,,,,
50059,任务说明,通过普通关卡第五章第12关,,,,,,,
50060,任务标题,踏入征途,,,,,,,
50061,任务说明,通过普通关卡第五章第15关,,,,,,,
50062,任务标题,踏入征途,,,,,,,
50063,任务说明,通过普通关卡第五章第18关,,,,,,,
50064,任务标题,踏入征途,,,,,,,
50065,任务说明,通过普通关卡第六章第3关,,,,,,,
50066,任务标题,踏入征途,,,,,,,
50067,任务说明,通过普通关卡第六章第6关,,,,,,,
50068,任务标题,踏入征途,,,,,,,
50069,任务说明,通过普通关卡第六章第9关,,,,,,,
50070,任务标题,踏入征途,,,,,,,
50071,任务说明,通过普通关卡第六章第12关,,,,,,,
50072,任务标题,踏入征途,,,,,,,
50073,任务说明,通过普通关卡第六章第15关,,,,,,,
50074,任务标题,踏入征途,,,,,,,
50075,任务说明,通过普通关卡第六章第18关,,,,,,,
50076,任务标题,踏入征途,,,,,,,
50077,任务说明,通过普通关卡第七章第3关,,,,,,,
50078,任务标题,踏入征途,,,,,,,
50079,任务说明,通过普通关卡第七章第6关,,,,,,,
50080,任务标题,踏入征途,,,,,,,
50081,任务说明,通过普通关卡第七章第9关,,,,,,,
50082,任务标题,踏入征途,,,,,,,
50083,任务说明,通过普通关卡第七章第12关,,,,,,,
50084,任务标题,踏入征途,,,,,,,
50085,任务说明,通过普通关卡第七章第15关,,,,,,,
50086,任务标题,踏入征途,,,,,,,
50087,任务说明,通过普通关卡第八章第3关,,,,,,,
50088,任务标题,踏入征途,,,,,,,
