语言ID,说明,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
1,,VIP升级
900091000,vip0,<div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>1</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次体力\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天可以购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>1</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次金币\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>金币暴击最大倍数</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>2</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>倍\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>精英关卡重置次数可购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>1</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>背包格最大可扩展至</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>120</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>格\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店出售物品共</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>8</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>种\n</div>
900091001,vip0,<div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>2</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次体力\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天可以购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>5</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次金币\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>金币暴击最大倍数</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>2</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>倍\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>精英关卡重置次数可购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>1</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>背包格最大可扩展至</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>140</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>格\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店出售物品共</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>9</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>种\n</div>
900091002,vip0,<div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>3</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次体力\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天可以购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>20</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次金币\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>金币暴击最大倍数</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>5</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>倍\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>精英关卡重置次数可购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>1</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>背包格最大可扩展至</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>160</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>格\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店出售物品共</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>10</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>种\n</div>
900091003,vip0,<div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>4</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次体力\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天可以购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>30</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次金币\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>金币暴击最大倍数</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>5</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>倍\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>精英关卡重置次数可购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>2</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>背包格最大可扩展至</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>180</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>格\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店出售物品共</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>10</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>种\n</div>
900091004,vip0,<div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>5</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次体力\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天可以购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>40</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次金币\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>金币暴击最大倍数</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>5</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>倍\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>精英关卡重置次数可购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>2</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>背包格最大可扩展至</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>220</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>格\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店出售物品共</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>11</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>种\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店可享受</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>9</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>折\n</div>
900091005,vip0,<div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>6</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次体力\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>每天可以购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>50</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次金币\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>金币暴击最大倍数</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>5</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>倍\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>精英关卡重置次数可购买</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>2</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>次\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>背包格最大可扩展至</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>260</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>格\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店出售物品共</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>11</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>种\n</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>神秘商店可享受</div><div fontcolor=#ffe013 outline=1&#401c09 fontsize=24>9</div><div fontcolor=#ffffff outline=1&#401c09 fontsize=18>折\n</div>
