语言ID,说明,CN,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
2,,宗师级召唤师,
3,,联盟主席,
4,,暗夜开锁者,
5,,急性子牧师,
6,,圣骑士赌徒,
7,,倒煤的矿工,
8,,素食主义屠夫,
9,,死灵族媒婆,
10,,旱鸭子海盗,
11,,大龄女祭司,
12,,纯情木乃伊,
13,,贫血症吸血鬼,
14,,口吃的巫妖,
15,,瘸腿的水精灵,
16,,长脖子弓箭手,
17,,萝莉控巨人,
18,,魔剑士大妈,
19,,风骚影舞者,
20,,巨龙的后裔,
21,,好色的小精灵,
22,,你的公会会长,
23,,魔法学院校友,
24,,火焰杂耍法师,
25,,贪吃的大熊怪,
26,,维京健身教练,
27,,圣灵堂的宿管,
28,,铁公鸡好友,
29,,矮人军火商,
30,,晕血症狼人,
31,,投粪车装填手,
32,,刻薄学院导师,
33,,退休老铁匠,
34,,竞技场裁判,
35,,职业选手小号,
36,,牛头人程序员,
37,,爬塔管理员,
38,,痴呆老法师,
39,,中级翡翠恶魔,
40,,懒惰的护卫,
41,,诚实的铸甲师,
42,,开朗的龙族,
43,,特攻神父,
44,,残忍的祭司,
45,,权贵剑士,
46,,碳素黑驯兽师,
47,,混乱愤怒辅助,
48,,温柔的玫瑰红,
49,,守序英雄工匠,
50,,勇敢的夕阳橙,
51,,执着的珊瑚藤,
52,,玫瑰红狂战士,
53,,开朗的橄榄棕,
54,,温柔的原野绿,
55,,巧克莉,
56,,香子兰,
57,,碳素黑猎魔人,
58,,混血法师,
59,,史诗荣耀辅助,
60,,传奇愤怒,
61,,传奇斥候,
62,,混乱半兽人,
63,,非凡发明家,
64,,权贵矮人,
65,,隐秘半神刺客,
66,,悲伤的海盗,
67,,中立英雄牧师,
68,,诚实的孔雀蓝,
69,,友好的低调灰,
70,,执着的神偷,
71,,隐秘富商,
72,,传奇玫瑰红,
73,,初级象牙白,
74,,原野绿恶魔,
75,,豪放的龙族,
76,,王者辅助,
77,,乐观的山茶花,
78,,半神矮人,
79,,海蓝宝骑士,
80,,中立铂金随从,
81,,英雄狂战士,
82,,萝莉控欧巴,
83,,奈美酱,
84,,最聪明的六六,
85,,混乱愤怒刺客,
86,,薇薇安,
87,,热情的特攻,
88,,诚实的部落,









