语言ID,说明,CN,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
1,游戏大厅,是否花费钻石换取体力？,
2,,今日已经达到最大使用次数,
3,,今日已用%d/%d次,
4,,提升特权等级可获得更多次数,
5,,召唤师，您的钻石不够了耶~~~,
6,,恭喜您！召唤师成功升到%d级,
7,,请输入6个以内的汉字名称,
8,,您输入的名字含有敏感词，请重新输入,
9,,召唤师，快回来！体力打鸡血补满！小伙伴们等着你去战斗！”,
10,,召唤师！商店最近运来新一批奇珍异宝，快去淘宝吧！,
11,,本期暂不开启，敬请期待,
12,,抽卡,
13,,任务,
14,,召唤师,
15,,英雄,
16,,背包,
17,,副本试炼,
18,,排行榜,
19,,公会,
20,,竞技场,
21,,商店,
22,,世界冒险,
23,,充值,
24,,邮件,
25,,好友,
26,,等级,
27,,所属公会：,
28,,召唤师经验：,
29,,召唤师数量：,
30,,英雄数量：,
31,,音乐,
32,,音效,
33,,开,
34,,关,
35,,更改头像,
36,,更改昵称,
37,,推送设置,
38,,礼包兑换,
39,,系统头像,
40,,英雄头像,
41,,当英雄在关卡中战斗%d次时解锁,
42,,召唤师头像,
43,,获得召唤师立即解锁,
44,,取个新名字吧，让小伙们猜猜你是谁吧,
45,,八个汉字以内,
46,,首次改名免费,
47,,特权%d,
48,,购买体力次数：%d/%d\n每天凌晨%2d时%2d分\n自动回复%d体力,
49,,购买体力次数：%d/%d\n您的体力已经回满,
50,,成就,
51,,这个名字已经被用啦，取个新的名字吧！,
52,,购买体力,
53,,体力恢复满,
54,,商店刷新,
55,,活动,
56,,签到,
57,背包,成功解锁%d行背包,
58,,全部,
59,,装备,
60,,消耗品,
61,,拥有%d件,
62,,出售,
63,,出售数量,
64,,出售价格,
65,,最大,
66,,当前已经为最大出售数量,
67,,出售数量最少为1个,
68,,背包解锁,
69,,购买数量,
70,,解锁价格,
71,,购买价格,
72,,当前已经为最大购买数量,
73,,购买数量最少为1个,
74,,你确定要解锁5个背包格子？,
75,,你是否确定花费以下的钻石解锁6个英雄卡包格子？,
76,,售罄,
77,,刷新剩余时间：,
78,世界地图,第%s章,
79,,领取,
80,,新章节未解锁,
81,,获得奖励,
82,,挑战,
83,,消耗体力,
84,,可能掉落,
85,,关卡达成3星可开启扫荡功能,
86,,队伍设置,
87,,一键编队,
88,,开始战斗,
89,,当前队伍已经满员,
90,,请先选择召唤师,
91,,请先选择英雄,
92,,召唤师，您的队伍没满员，是否真的进入关卡？,
93,,关卡未解锁,
94,,普通,
95,,精英,
96,,扫荡,
97,,多次扫荡,
98,英雄抽卡,召唤大厅,
99,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>再购买</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%d</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>个必得</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>蓝色品质以上</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>英雄!</div>,
100,,抽一次,
101,,十连抽,
102,,原价：,
103,,每天凌晨0点重置免费抽一次,
104,,免费,
105,,获得%s,
106,,再来一次,
107,,返回,
108,,一键翻牌,
109,,刷新,
110,,刷新商品需要花费,
111,,体力不足,
112,,体力不足，是否花费钻石进行购买？,
113,,获得,
114,英雄技能升级,%d/%d,
115,,已满级,
116,,升级还需：,
117,,该卡牌已达等级上限,
118,,您的背包空间不足！,
119,,您的英雄卡包空间不足！,
120,,卡包解锁,
123,,水晶消耗：,
124,,冷却时间：,
125,英雄卡包,您当前没有获得该种族英雄，继续努力吧,
126,,出售,
127,,已选%d个英雄,
128,,是否确定出售%d星以上英雄？,
129,,是否确定出售%d级以上英雄？,
130,,该英雄为此种英雄的最后一个，是否确定出售？,
131,,当前英雄数量：%d/%d,
132,,您是否确定给该英雄解锁，升级时可能会成为材料被吞噬掉？,
133,,您是否确定给该英雄上锁，升级时该英雄不能成为升级材料？,
134,,出售成功,
135,,该英雄已上锁，请先解锁方能出售,
136,英雄强化案,已满级，提升星级可提高等级上限,
137,,材料不足,
138,,请先升到%d级后升星,
139,,前往升级,
140,,升星材料不足，单击材料可自动前往收集,
141,,触摸材料框选择要吞噬的英雄,
142,,获得经验  ,
143,,距离下一等级经验  ,
144,,已将剩余的%d个英雄碎片转化成%d个金币,
145,,同时最多选取%d个材料，再次单击已选中的材料，可取消选中,
146,,加经验,
147,,小成功！,
148,,成功！,
149,,大成功！,
150,,超大成功！,
151,,小试牛刀1.2倍经验加成↑,
