按钮名称,描述,音效ID
唯一标识,界面名（按钮名）,UIEffect表
buttonName,description,effectID
string,string,int
EnterButton_1,登录界面（Enter）,1
EnterButton_2,登录界面（Preview）,1
CheckBox,登录界面（新手引导）,3
HeadButton,大厅（头像）,4
RankingButton,大厅（排行榜）,4
SignButton,大厅（签到）,4
MailButton,大厅（邮件）,4
ActivityButton,大厅（活动）,4
TeamButton,大厅（队伍）,
FriendButton,大厅（好友）,4
DrawCardButton,大厅（抽卡）,
ShopButton,大厅（商店）,
CoinButton,大厅（金币+）,35
PowerButton,大厅（体力+）,4
EnergTipButton,大厅（体力tip）,4
PowerButton_0,大厅（钻石+）,32
TaskButton,大厅（任务）,
SummonerButton,大厅（召唤师）,
HeroButton,大厅（英雄,3
BagButton,大厅（背包）,9
TrailButton,大厅（副本战斗）,4
GuildButton,大厅（工会）,
ArenaButton,大厅（竞技场）,
StoryButton,大厅（剧情）,
TalkButton,大厅（聊天）,4
BoonButton,大厅（首冲）,4
SevenDayButton,大厅（七天）,4
SmithShopButton,大厅（铁匠铺）,
SettingButton,个人设置（系统设置）,4
HelpButton,个人设置（帮助信息）,4
ChangeHeadButton,个人设置（更改头像）,4
ChangeNameButton,个人设置（更改昵称）,
PushButton,个人设置（推送设置）,4
PackageButton,个人设置（礼包兑换）,4
CloseButton,个人设置（关闭叉号）,5
CloseButton_0,个人设置（关闭叉号）,5
HeadPanel,更改头像（头像选择）,2
UseButton,更改头像（使用）,2
MusicButton,个人设置（音乐）,3
SoundButton,个人设置（音效）,3
ButtonPanel,活动（左侧选项卡按钮）,3
ReciveButton,领取按钮,10
Button_Close,关闭（叉号）,5
OpenButton,推送设置（开关）,3
PushSetButton_1,排行榜（本服竞技）,3
PushSetButton_2,排行榜（召唤等级）,3
PushSetButton_3,排行榜（工会）,3
PushSetButton_4,排行榜（爬塔试炼）,3
QuestionButton,排行榜（问号）,4
BackButton,排行榜（返回箭头）,5
ReadButton,邮件（已读）,3
UnReadButton,邮件（未读）,3
Button_OneKeyGet,邮件（一键领取）,10
ReceiveButton,邮件（领取）,10
Button_Confrim,邮件（确定）,2
LeftButton,VIP（向左）,11
RightButton,VIP（向右）,11
RechargeButton,VIP（充值）,4
TenButton,抽卡（十连抽）,
OneceButton,抽卡（抽一次）,
OneKeyFlipButton,抽卡（一键翻牌）,39
AgainOneceButton,抽卡（再抽一次）,
AgainTenButton,抽卡（再抽十次）,
RefreshButton,商店（刷新）,55
ShopItem,商店（商品）,4
TaskButton1,任务（成就）,3
AchieveButton,任务（成就）,3
SkillButton1,召唤师（技能1）,
SkillButton2,召唤师（技能2）,
SkillButton3,召唤师（技能3）,
UnlockButton,召唤师（购买确认）,14
BuySummonerButton,召唤师（购买）,4
BuyButton,召唤师（购买）,
StoryButton,召唤师（故事）,
CardButton,召唤师（卡牌）,11
TabButton_1,英雄卡包（全部）,3
TabButton_2,英雄卡包（人族）,3
TabButton_3,英雄卡包（死灵族）,3
TabButton_4,英雄卡包（自然族）,3
TabButton_5,英雄卡包（其他族）,3
SaleButton,英雄卡包（出售黄）,17
OrderButton,英雄卡包（排序下拉）,36
Button_Level,英雄卡包（等级）,3
Button_Star,英雄卡包（星级）,3
Button_ConS,英雄卡包（水晶消耗）,3
Button_ConM,英雄卡包（时间）,3
SalaButton,英雄卡包（出售绿）,2
CancelButton,英雄卡包（取消）,5
CardPanel,英雄卡包（碎片）,4
EqButton1,英雄界面（装备1）,3
EqButton2,英雄界面（装备2）,3
EqButton3,英雄界面（装备3）,3
EqButton4,英雄界面（装备4）,3
EqButton5,英雄界面（装备5）,3
EqButton6,英雄界面（装备6）,3
AutoWearButton,英雄界面（一键穿装）,15
UpLevelButton,英雄界面（升级）,4
UpStarButton,英雄界面（升星）,4
SkillButton_1,英雄界面（技能1）,3
