资源ID,资源类型（0都不是---1是csb1.6骨骼---2是spine---3是csb2文件）,资源加载路径(json/csb),资源加载路径atlas,皮肤ID
主键,0都不是---1是csb1.6骨骼---2是spine---3是csb2文件,json/csb,,
ResID,Type,JsonCsb,Atlas,SkinID
index,int,string,string,int
1,3,ui_new/f_fight/bloodbar/TipBloodNum.csb,,
2,3,ui_new/f_fight/bloodbar/BloodBar_S.csb,,
3,3,ui_new/f_fight/bloodbar/BloodBar_M.csb,,
4,3,ui_new/f_fight/bloodbar/BloodBar_L.csb,,
5,3,ui_new/f_fight/bloodbar/BloodBar_Summoner.csb,,
6,3,ui_new/f_fight/effect/Fight_MatchSkill_Tips.csb,,
7,3,ui_new/f_fight/ExitFigthTips.csb,,
8,3,ui_new/f_fight/Fight.csb,,
9,3,ui_new/f_fight/Fight_MatchSkill.csb,,
10,3,ui_new/f_fight/PauseFightTips.csb,,
11,3,ui_new/f_fight/ReadyGo.csb,,
12,3,stage/p_prison/doodad/prison_cage01.csb,,
13,3,stage/n_newbie/doodad/waterdrops.csb,,
14,3,ui_new/p_public/effect/fog/ScreenFog.csb,,
101,3,ui_new/p_public/effect/BgSpeedEffect.csb,,
102,3,ui_new/p_public/effect/Dying.csb,,
103,3,ui_new/p_public/effect/lightning_node.csb,,
104,3,ui_new/p_public/effect/Shining.csb,,
105,3,ui_new/p_public/effect/SkillRange.csb,,
106,3,ui_new/p_public/effect/SkillRange_Screen.csb,,
201,2,role/anytime/Json/anytime.json,role/anytime/Json/anytime.atlas,
202,1,role/anytime/AnyTime_Buff_Cocos/AnyTime_Buff_Cocos.csb,,
203,2,role/anytime/AnyTime_Buff_CocosNew/AnyTime_Buff.json,role/anytime/AnyTime_Buff_CocosNew/AnyTime_Buff.atlas,
401,2,role/public/Attack_Enhanced/Attack_Enhanced.json,role/public/Attack_Enhanced/Attack_Enhanced.atlas,
402,2,role/public/Attack_Effect/Attack_Effect.json,role/public/Attack_Effect/Attack_Effect.atlas,
403,2,role/public/Aura_Fire/Aura_Fire.json,role/public/Aura_Fire/Aura_Fire.atlas,
404,2,role/public/Buff_Awaken/Buff_Awaken.json,role/public/Buff_Awaken/Buff_Awaken.atlas,
405,2,role/public/Blood_Buff/Blood_Buff.json,role/public/Blood_Buff/Blood_Buff.atlas,
