角色ID,角色星级（除了士兵以外，其他角色为0）,ResID,BankID
主键,,,
RoleID,Star,ResID,BankID
index,int,json,json
0,0,[1+2+3+4+5+6+7+8+9+10+11+101+102+103+104+105+106+201+202+203+401+410+414+415+423+429],
1000,0,[1000+1001+1002+1003+1004+1005+1006+1007],[music/1000.bank]
1100,0,[1101+1102+1103+1104+1105+1106+1107+1108+1160],[music/1100.bank]
1200,0,[1201+1202+1203+1204+1205+1206+1207+406],[music/1200.bank+music/301200.bank]
1300,0,[432+448+449+1300+1301+1302+1303+1304+1305+1306+30911+426+428+30400+30401+30402+30403+30900+30902+30903+30907+30908+30909+30910+30911+30912+10605+450+30302+30303+30304+30306+30307+30308+30311],[music/1300.bank+music/30300.bank+music/30400.bank+music/30900.bank+music/301304.bank]
1400,0,[1400+1401+1402+1403+1405+1406+1407+1408+1409+1410+1411+1412],[music/1400.bank]
1500,0,[1500+1502+1503+1504+1505+1506+1507+1508+1509+1511+404+424],[music/1500.bank]
1600,0,[1600+1601+1602+1603+1604+1605+1606+1607+1608+411+412],[music/1600.bank]
10000,1,[401+10000+10003+10004+10005],[music/10000.bank]
10000,2,[401+10000+10003+10004+10005],[music/10000.bank]
10000,3,[401+10000+10003+10004+10005],[music/10000.bank]
10000,4,[401+10000+10003+10004+10005],[music/10000.bank]
10000,5,[401+10000+10003+10004+10005],[music/10000.bank]
10000,6,[401+10000+10003+10004+10005],[music/10000.bank]
10000,7,[401+10000+10003+10004+10005],[music/10000.bank]
10200,1,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10200,2,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10200,3,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10200,4,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10200,5,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10200,6,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10200,7,[410+424+425+10200+10203+10204+10205],[music/10200.bank]
10300,1,[10300+10303+10304+10305],[music/10300.bank]
10300,2,[10300+10303+10304+10305],[music/10300.bank]
10300,3,[10300+10303+10304+10305],[music/10300.bank]
10300,4,[10300+10303+10304+10305],[music/10300.bank]
10300,5,[10300+10303+10304+10305],[music/10300.bank]
10300,6,[10300+10303+10304+10305],[music/10300.bank]
10300,7,[10300+10303+10304+10305],[music/10300.bank]
10400,1,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10400,2,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10400,3,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10400,4,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10400,5,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10400,6,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10400,7,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
10500,1,[10500+10503+10507],[music/10500.bank]
10500,2,[10500+10503+10507],[music/10500.bank]
10500,3,[10500+10503+10507],[music/10500.bank]
10500,4,[10500+10503+10507],[music/10500.bank]
10500,5,[10500+10503+10507],[music/10500.bank]
10500,6,[10500+10503+10507],[music/10500.bank]
10500,7,[10500+10503+10507],[music/10500.bank]
10600,1,[10305+10600+10603+10604+10605],[music/10600.bank]
10600,2,[10305+10600+10603+10604+10605],[music/10600.bank]
10600,3,[10305+10600+10603+10604+10605],[music/10600.bank]
10600,4,[10305+10600+10603+10604+10605],[music/10600.bank]
10600,5,[10305+10600+10603+10604+10605],[music/10600.bank]
10600,6,[10305+10600+10603+10604+10605],[music/10600.bank]
10600,7,[10305+10600+10603+10604+10605],[music/10600.bank]
10700,1,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10700,2,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10700,3,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10700,4,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10700,5,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10700,6,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10700,7,[427+10700+10703+10704+10705+10706+10707+10708],[music/10700.bank]
10900,1,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
