,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,星落起手,MoveStatus_4,Is_MyAttribute(0*303*0*20.0),Is_HasTarget(0*12),,,Do_ChangeStatus(36),Do_AddBuffForMe([30301+1]*[30303+1]),,
2,清除怒意,MoveStatus_4,Is_MyBuff(0*30302),Is_HasTarget(1*12),,,Do_DelBuffForMe([30302+30303]),,,
3,清除怒意,MoveStatus_4,Is_MyAttribute(0*303*1*0.0),Is_MyBuff(0*30302),,,Do_DelBuffForMe([30302+30303]),,,
4,普通技能,MoveStatus_4,Is_SkillReady(0*30301),Is_FindTarget(0*12),,,Do_CastSkill(30301),,,
5,星落取消,SkillStatus_37,Is_MyAttribute(0*303*1*0.0),Is_MyBuff(0*30302),,,Do_DelBuffForMe([30302+30303]),Do_ChangeStatus(38),,
6,星落取消,SkillStatus_37,Is_MyBuff(0*30302),Is_HasTarget(1*12),,,Do_DelBuffForMe([30302+30303]),Do_ChangeStatus(38),,
7,流星雨释放,SkillStatus_37,Is_SkillReady(0*30302),Is_MyBuff(0*30303),Is_FindTarget(0*12),,Do_CastSkill(30302),,,
