序号,AI文件,状态文件
主键,,
ID,AI,Status
index,string,string
1000,1000_AIData.csv,1000_Status.csv
1100,1100_AIData.csv,1100_Status.csv
1200,1200_AIData.csv,1200_Status.csv
1300,1300_AIData.csv,1300_Status.csv
1400,1400_AIData.csv,1400_Status.csv
1500,1500_AIData.csv,1500_Status.csv
1600,1600_AIData.csv,1600_Status.csv
10000,10000_AIData.csv,10000_Status.csv
10200,10200_AIData.csv,10200_Status.csv
10300,10300_AIData.csv,10300_Status.csv
10400,10400_AIData.csv,10400_Status.csv
10500,10500_AIData.csv,10500_Status.csv
10600,10600_AIData.csv,10600_Status.csv
10700,10700_AIData.csv,10700_Status.csv
10900,10900_AIData.csv,10900_Status.csv
11000,11000_AIData.csv,11000_Status.csv
11100,11100_AIData.csv,11100_Status.csv
11201,11201_AIData.csv,11200_Status.csv
11301,11301_AIData.csv,11300_Status.csv
11401,11401_AIData.csv,11400_Status.csv
11501,11501_AIData.csv,11500_Status.csv
11601,11601_AIData.csv,11600_Status.csv
11701,11701_AIData.csv,11700_Status.csv
12000,12000_AIData.csv,12000_Status.csv
19000,19000_AIData.csv,19000_Status.csv
20000,20000_AIData.csv,20000_Status.csv
20500,20500_AIData.csv,20500_Status.csv
20900,20900_AIData.csv,20900_Status.csv
21101,21101_AIData.csv,21100_Status.csv
21201,21201_AIData.csv,21200_Status.csv
21301,21301_AIData.csv,21300_Status.csv
30000,30000_AIData.csv,30000_Status.csv
30100,30100_AIData.csv,30100_Status.csv
30300,30300_AIData.csv,30300_Status.csv
30400,30400_AIData.csv,30400_Status.csv
30500,30500_AIData.csv,30500_Status.csv
30600,30600_AIData.csv,30600_Status.csv
30700,30700_AIData.csv,30700_Status.csv
30800,30800_AIData.csv,30800_Status.csv
30900,30900_AIData.csv,30900_Status.csv
31000,31000_AIData.csv,31000_Status.csv
31100,31100_AIData.csv,31100_Status.csv
40000,40000_AIData.csv,40000_Status.csv
40100,40100_AIData.csv,40100_Status.csv
40101,40100_AIData.csv,40101_Status.csv
40200,40200_AIData.csv,40200_Status.csv
40201,40200_AIData.csv,40201_Status.csv
