角色ID,角色备注,角色表现,角色偏色,角色大小缩放,角色特效大小缩放值,角色子弹发射点,角色头部特效播放点,角色身上特效播放点,角色血条长度,角色状态表ID,角色AI表ID,角色技能1,角色技能2,角色技能3,角色技能4,角色技能5,角色技能6,角色技能7,角色技能8,角色技能9,角色技能10,角色技能11,角色技能12,卡片名字,卡片描述,卡片表现,卡片头像表现,种族,职业,性别,攻击方式,角色攻击距离
100000-199999 ,策划标注给自己看的无效列,对应骨骼文件名,[r+g+b],,,[x+y],[x+y],[x+y],[哪种血条+X+Y],填的是AIAndStatus.csv中的序号,,,,,,,,,,,,,,对应语言包ID,对应语言包ID,对应美术资源,对应美术资源,1人族2亡灵3自然4其它,1战士2刺客3射手4法师5辅助6卫士,1男2女3中,1近战2远程,"0=无,1=近,2=中,3=远,4=很远"
Role.ClassID,Null,Role.ClassAnimationName,Role.GRB,Role.ClassScale,Role.ClassEffectScale,"Role.ClassFireOffsetX,Y","Role.ClassHeadOffsetX,Y","Role.ClassHitOffsetX,Y",Role.ClassHPLine,Role.ClassStatusID,Role.ClassAIID,Role.ClassSkill1,Role.ClassSkill2,Role.ClassSkill3,Role.ClassSkill4,Role.ClassSkill5,Role.ClassSkill6,Role.ClassSkill7,Role.ClassSkill8,Role.ClassSkill9,Role.ClassSkill10,Role.ClassSkill11,Role.ClassSkill12,Card.Name,Card.Desc,Card.Picture,Card_Headicon,Card.Race,Card.Vocation,Card.Sex,Card.AttackType,Card.AttackDistance
index,null,int,json,float,float,json,json,json,json,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,int,int,int,int,int
100100,新手关艾丽卡,1300,[],1,1,[0+130],[0+408],[0+155],[3+-5+205],100100,100100,100101,100102,100103,0,0,0,0,0,0,0,0,0,1120122,1001301,,icon_summoner_1300.png,2,4,3,2,3
100101,新手关罗迪亚克,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+200],100101,100101,170101,170102,170103,170104,1604,,,,,,,,1120124,1001601,summoner_1600.png,icon_summoner_1600.png,1,1,1,1,1
100102,新手关刺客,1201,[],1,1,[80+60],[0+258],[0+80],[3+0+200],100102,100102,170200,170201,170204,170205,170206,170208,170209,,,,,,1120127,1001201,summoner_1200.png,icon_summoner_1200.png,1,1,1,1,1
100103,新手关约修亚,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],100103,100103,170301,170302,170303,170310,170311,170312,,,,,,,1120123,1001401,summoner_1400.png,icon_summoner_1400.png,1,1,1,1,1
100104,新手关火法,1000,[],1,1,[100+80],[0+268],[0+80],[3+0+210],100104,100104,170401,170402,170403,170404,170405,,,,,,,,1120126,1001001,summoner_1000.png,icon_summoner_1000.png,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100,黑熊,21200,[],1.2,1,[0+60],[40+280],[30+60],[3+48+270],101100,101100,101101,101102,,,,,,,,,,,1101101,1101102,0,h_soldierhead_21200.png,3,1,3,1,1
101200,灰狼,21300,[],1.5,0.9,[0+40],[20+180],[0+70],[3+28+200],101200,101200,21301,21302,,,,,,,,,,,1101201,1101202,0,h_soldierhead_21300.png,3,2,3,1,1
101300,野兽女,100400,[],0.9,1,[0+60],[10+280],[10+80],[3+9+200],101300,101300,101301,101302,101303,,,,,,,,,,1101301,1101302,0,h_soldierhead_100400.png,3,1,1,1,1
101400,骷髅召唤师,40400,[],1.1,1,[80+80],[20+260],[20+80],[13+20+230],101400,101400,101401,,,,,,,,,,,,1101401,1101402,0,h_soldierhead_40402.png,2,4,1,2,3
101500,野兽女,100400,[],0.9,1,[0+60],[10+280],[10+80],[3+9+200],101500,101500,101301,101302,101303,,,,,,,,,,1101501,1101502,0,h_soldierhead_100400.png,3,1,1,1,1
101600,骷髅长老,40402,[],1.1,1,[80+80],[20+260],[20+80],[13+20+230],101600,101600,101401,,,,,,,,,,,,1101601,1101602,0,h_soldierhead_40404.png,2,4,1,2,3
101700,屠夫,40600,[],1.2,0.9,[0+80],[0+260],[0+80],[3+0+260],101700,101700,40600,40601,40602,,,,,,,,,,1101701,1101702,0,h_soldierhead_40603.png,2,1,1,1,1
101800,掘墓人,100200,[],1.2,1,[50+90],[0+265],[0+90],[3+0+260],101800,101800,101801,101802,,,,,,,,,,,1101801,1101802,0,h_soldierhead_100200.png,2,1,1,1,1
101900,巫妖女,40801,[],1.2,0.8,[40+140],[7+278],[20+135],[13+10+280],101900,101900,40800,,,,,,,,,,,,1101901,1101902,0,h_soldierhead_40803.png,2,4,2,2,3
102000,公会骑士,11001,[],1,0.9,[80+40],[10+282],[20+100],[3+10+230],102000,102000,102001,102002,,,,,,,,,,,1102001,1102002,0,h_soldierhead_11002.png,1,1,1,1,1
102100,公会骑士,11000,[],1,0.9,[80+40],[10+282],[20+100],[3+10+230],102100,102100,102001,102002,102101,,,,,,,,,,1102101,1102102,0,h_soldierhead_11004.png,1,1,1,1,1
102200,罗迪亚克,1600,[],1.1,1,[100+90],[0+240],[0+90],[3+0+205],102200,102200,102201,102203,,,,,,,,,,,1102201,1102202,0,icon_summoner_1600.png,1,1,1,1,1
102300,熊怪,100100,[],1,1.3,[40+100],[40+429],[36+100],[3+40+360],102300,102300,102301,102302,102303,,,,,,,,,,1102301,1102302,0,h_soldierhead_100100.png,3,1,1,1,1
102400,掘墓爆破手,11400,[],1.2,0.9,[60+100],[20+215],[10+75],[3+20+200],102400,102400,102400,,,,,,,,,,,,1102401,1102402,0,h_soldierhead_11400.png,1,1,1,1,1
102500,蛛魔斯派克,100051,[],1.8,1,[40+0],[0+240],[0+60],[3+0+350],102500,102500,102507,102511,102561,,,,,,,,,,1102501,1102502,0,h_soldierhead_100004.png,3,4,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103100,影舞者,30801,[],1.1,0.8,[50+70],[10+238],[10+90],[3+0+210],103100,103100,103101,103102,103103,103104,,,,,,,,,1103101,1103102,0,h_soldierhead_30803.png,1,2,2,1,1
103200,影,1205,[],1.2,0.8,[0+60],[0+200],[20+60],[3+0+190],103200,103200,1211,1212,1213,1214,,,,,,,,,1103201,1103202,0,icon_summoner_1200.png,3,2,3,1,2
103300,刺客少女,1201,[],1,0.8,[80+60],[0+250],[0+80],[3+0+200],103300,103300,103302,1208,103303,,,,,,,,,,1103301,1103302,0,icon_summoner_1200.png,3,2,2,2,4
