角色ID,角色备注,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值
100000-999999,策划标注给自己看的无效列,,,,,,,,,,"填0-1,百分比数值",,,"填0-1,百分比数值",,,,,"逻辑上这个数值无效,供显示只用","填0-100,百分比数值","填0-100,百分比数值","填0-100,百分比数值","填0-100,百分比数值","填0-100,百分比数值","填0-无穷,百分比数值",兽族一般不为0其他种族为0,一般都必须填0,,每秒回复多少点,5(轻)~15(重),,每秒回复多少点,一般填50
Role.ClassID,Null,Role.ClassFireRange,Role.ClassFarFireRange,Role.ClassSpeed,Role.ClassHP,Role.ClassHPGrowUp,Role.ClassPAttack,Role.ClassPAttackGrowUp,Role.ClassMattack,Role.ClassMAttackGrowUp,Role.ClassDefend,Role.ClassPGuard,Role.ClassPguardGrowUp,Role.ClassResustance,Role.ClassMGuard,Role.ClassMguardGrowUp,Role.ClassPPenetrate,Role.ClassMpenetrate,Role.ClassAttackSpeed,Role.ClassVampire,Role.ClassRebound,Role.ClassMiss,Role.ClassCrit,Role.ClassCritGrowUp,Role.ClassCritDamage,Role.ClassRage,Role.ClassRageRecover,Role.ClassMP,Role.ClassMPRecover,Role.ClassMass,Role.ClassEndure,Role.ClassEndureRecover,Role.ClassHaterd
index,null,int,int,int,int,int,int,int,int,int,float,int,int,float,int,int,int,int,int,float,float,float,float,float,float,int,int,int,int,float,int,int,int
100100,新手关艾丽卡,200,600,125,10000,450,0,0,6000,10,0,0,0,0,0,0,0,0,62,0,0,0,80,0,0,0,0,10000,800,14,90000,500,50
100101,新手关罗迪亚克,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
100102,新手关刺客,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
100103,新手关约修亚,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
100104,新手关火法,100,650,70,10000,450,320,5,600,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100,黑熊,320,200,150,3800,60,210,5,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
101200,灰狼,250,200,150,4600,40,330,6,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,5,750,150,40
101300,野兽女,250,700,150,6600,120,360,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,999,100,50
101400,骷髅召唤师,300,550,80,7000,210,0,0,316,7,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,5,400,80,50
101500,野兽女,250,700,150,9000,250,360,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,999,100,50
101600,骷髅长老,300,550,80,13000,310,0,0,380,9,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,5,400,80,50
101700,屠夫,260,300,80,15000,450,736,16,0,0,0,0,0,0,0,0,0,0,83,40,0,0,0,0,0,0,0,0,0,7,1500,300,60
101800,掘墓人,260,700,125,17000,360,440,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,50
101900,巫妖,200,550,100,18000,300,0,0,840,15,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,4500,5,400,80,50
102000,公会骑士,300,300,166,16000,300,600,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
102100,公会骑士,300,300,166,16000,300,600,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
102200,罗迪亚克,250,300,166,18000,315,344,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
102300,熊怪,300,700,0,17200,0,760,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,5000,300,70
102400,掘墓爆破手,100,430,84,15500,350,640,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,5,400,80,50
102500,蛛魔斯帕克,300,800,63,20000,360,0,0,730,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,999,100,50
