角色ID,角色备注,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值
1000-9999,策划标注给自己看的无效列,,,,,,,,,,"填0-1,百分比数值",,,"填0-1,百分比数值",,,,,"逻辑上这个数值无效,供显示只用","填0-100,百分比数值","填0-100,百分比数值","填0-100,百分比数值","填0-100,百分比数值","填0-100,百分比数值","填0-无穷,百分比数值",兽族一般不为0其他种族为0,一般都必须填0,,每秒回复多少点,5(轻)~15(重),,每秒回复多少点,一般填50
Role.ClassID,Null,Role.ClassFireRange,Role.ClassFarFireRange,Role.ClassSpeed,Role.ClassHP,Role.ClassHPGrowUp,Role.ClassPAttack,Role.ClassPAttackGrowUp,Role.ClassMattack,Role.ClassMAttackGrowUp,Role.ClassDefend,Role.ClassPGuard,Role.ClassPguardGrowUp,Role.ClassResustance,Role.ClassMGuard,Role.ClassMguardGrowUp,Role.ClassPPenetrate,Role.ClassMpenetrate,Role.ClassAttackSpeed,Role.ClassVampire,Role.ClassRebound,Role.ClassMiss,Role.ClassCrit,Role.ClassCritGrowUp,Role.ClassCritDamage,Role.ClassRage,Role.ClassRageRecover,Role.ClassMP,Role.ClassMPRecover,Role.ClassMass,Role.ClassEndure,Role.ClassEndureRecover,Role.ClassHaterd
index,null,int,int,int,int,int,int,int,int,int,float,int,int,float,int,int,int,int,int,float,float,float,float,float,float,int,int,int,int,float,int,int,int
300000,火法火龙,100,350,650,99999,12,184,6,400,7,1,200,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,99999,99999,50
300001,冰法冰块,100,350,65,10000,225,216,7,400,9,0,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1000,400,90
300002,影子统领,150,150,250,1128,24,334,8,0,0,0,0,0,0,0,0,0,0,167,0,0,50,50,0,0,0,0,0,0,6,750,150,40
300003,传送门,200,125,80,48000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
300004,艾丽卡小鹿,100,650,135,754,12,0,0,153,4,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,5,120,15,50
300005,艾丽卡水元素,100,450,84,1528,24,0,0,640,15,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,7,120,15,50
300006,艾丽卡大树,250,375,67,9253,208,0,0,603,14,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,0,0,11,2000,250,70
300007,艾丽卡熊,200,125,100,7274,161,700,15,0,0,0,500,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
300008,艾丽卡前身,200,125,100,48000,10,216,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,10000,10000,50
300009,新手引导关大熊,200,125,100,15000,161,5000,15,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
300010,新手引导关妮莎,200,125,100,1500000,161,5000,15,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
300011,影刺客,150,150,250,1128,24,334,8,0,0,0,0,0,0,0,0,0,0,167,0,0,50,50,0,0,0,0,0,0,6,750,150,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301001,骷髅战士lv1,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301002,骷髅战士lv2,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301003,二星骷髅射手,200,600,125,296,6,146,4,0,0,0,0,0,0,0,0,50,0,62,0,0,0,0,0,0,0,0,0,0,5,400,50,50
301004,二星巫妖,200,525,100,3228,41,0,0,1636,53,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
