角色ID,角色备注,角色表现,角色偏色,角色大小缩放,角色特效大小缩放值,角色子弹发射点,角色头部特效播放点,角色身上特效播放点,角色血条长度,角色状态表ID,角色AI表ID,角色技能1,角色技能2,角色技能3,角色技能4,角色技能5,角色技能6,角色技能7,角色技能8,角色技能9,角色技能10,角色技能11,角色技能12,卡片名字,卡片描述,卡片表现 ,卡片头像表现 ,种族,职业,性别,攻击方式,角色攻击距离,英雄玩家技能1,英雄玩家技能2,英雄玩家技能3,英雄水晶提升速率
1000-9999,策划标注给自己看的无效列,对应骨骼文件名,[r+g+b],角色多大,角色身上的特效多大,[x+y],[x+y],[x+y],[哪种血条+X+Y],填的是AIAndStatus.csv中的序号,,,,,,,,,,,,,,对应语言包ID,对应语言包ID,对应美术图片,对应美术图片,1人族2亡灵3自然4其它,1战士2刺客3射手4法师5辅助6卫士,1男2女3中,1近战2远程,"0=无,1=近,2=中,3=远,4=很远",就是玩家可以点击释放的技能,,,这个英雄默认的水晶回复速度
Role.ClassID,Null,Role.ClassAnimationName,Role.GRB,Role.ClassScale,Role.ClassEffectScale,"Role.ClassFireOffsetX,Y","Role.ClassHeadOffsetX,Y","Role.ClassHitOffsetX,Y",Role.ClassHPLine,Role.ClassStatusID,Role.ClassAIID,Role.ClassSkill1,Role.ClassSkill2,Role.ClassSkill3,Role.ClassSkill4,Role.ClassSkill5,Role.ClassSkill6,Role.ClassSkill7,Role.ClassSkill8,Role.ClassSkill9,Role.ClassSkill10,Role.ClassSkill11,Role.ClassSkill12,Card.Name,Card.Desc,Card.Picture,Card_Headicon,Card.Race,Card.Vocation,Card.Sex,Card.AttackType,Card.AttackDistance,Role.ClassPlayerSkill1,Role.ClassPlayerSkill2,Role.ClassPlayerSkill3,Role.ClassCrystalSpeedPrarm
index,null,int,json,float,float,json,json,json,json,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,int,int,int,int,int,int,int,int,float
1000,火法老头,1000,[],1,1,[100+80],[5+260],[0+80],[3+5+220],1000,1000,1066,1000,1005,,,,,,,,,,1001000,1001001,summoner_1000.png,icon_summoner_1000.png,1,4,1,2,4,1001,1002,1003,1
1100,冰法老妇,1101,[],1,1,[40+80],[0+250],[0+80],[3+-5+210],1100,1100,1166,1104,1105,1106,1107,1100,,,,,,,1001100,1001101,summoner_1100.png,icon_summoner_1100.png,1,4,2,2,4,1101,1102,1103,1
1200,刺客少女,1201,[],1,1,[80+60],[0+240],[0+80],[3+0+200],1200,1200,1266,1208,1201,,,,,,,,,,1001200,1001201,summoner_1200.png,icon_summoner_1200.png,3,2,2,2,4,1206,1204,1205,1
1300,艾丽卡,1300,[],1,1,[80+60],[0+245],[0+80],[3+-5+205],1300,1300,1366,1303,1304,1305,1300,1308,,,,,,,1001300,1001301,summoner_1300.png,icon_summoner_1300.png,3,5,2,2,4,1301,1302,1306,1
1400,约修亚,1400,[],1,1,[20+50],[0+240],[0+80],[3+0+200],1400,1400,1466,1403,,,1411,,,,,,,,1001400,1001401,summoner_1400.png,icon_summoner_1400.png,1,4,1,2,4,1401,1402,1410,1
1500,莱奥,1500,[],1,1,[-10+70],[30+230],[30+70],[3+30+190],1500,1500,1566,1505,1506,1508,1509,1510,1502,1503,1511,,,,1001500,1001501,summoner_1500.png,icon_summoner_1500.png,1,1,1,2,4,1504,1501,1507,1
1600,罗迪亚克,1600,[],1,1,[15+90],[10+250],[15+90],[3+10+210],1600,1600,1666,1604,,,,,,,,,,,1001600,1001601,summoner_1600.png,icon_summoner_1600.png,1,5,1,2,4,1601,1602,1603,1
91500,莱奥,1500,[],1,1,[-10+70],[30+195],[30+70],[3+30+190],91500,91500,1566,1505,1506,1508,1509,1510,1502,1503,,,,,1001500,1001501,summoner_1500.png,icon_summoner_1500.png,1,1,1,2,4,91504,91501,91507,1
